Treatments,Time,CA,BT,BU,CS,CD,DP,CH,BV
MS001-BT,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0
MS001-BT,12.0,0.0,1.0603483642290608,0.0,0.0,0.3698182854376057,0.0,0.0,0.0
MS001-BT,24.0,0.0,0.9636965158659234,0.0,0.0,0.25597019613407657,0.0,0.0,0.0
MS001-BT-BU-CA,0.0,0.0025,0.0025,0.0025,0.0,0.0025,0.0,0.0,0.0
MS001-BT-BU-CA,12.0,0.0015091677921084668,0.8445475940665214,0.1726509618889979,0.0,0.522125627919039,0.0,0.0,0.0
MS001-BT-BU-CA,24.0,0.017405097910183232,0.7660258187789962,0.16953412162113402,0.0,0.15003496935635316,0.0,0.0,0.0
MS001-BU,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0
MS001-BU,12.0,0.0,0.0,0.47728243717619523,0.0,0.6682175944904714,0.0,0.0,0.0
MS001-BU,24.0,0.0,0.0,0.4754698012319447,0.0,0.2638635177680553,0.0,0.0,0.0
MS001-BV,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005
MS001-BV,12.0,0.0,0.0,0.0,0.0,0.664092629399227,0.0,0.0,0.5874074082674396
MS001-BV,24.0,0.0,0.0,0.0,0.0,0.32628454762798315,0.0,0.0,0.7005487703720168
MS001-CA,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0
MS001-CA,12.0,0.004086546317707689,0.0,0.0,0.0,0.806246807348959,0.0,0.0,0.0
MS001-CA,24.0,0.0559093275376851,0.0,0.0,0.0,0.4244240031289816,0.0,0.0,0.0
MS001-CH,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0
MS001-CH,12.0,0.0,0.0,0.0,0.0,0.5894243917831273,0.0,0.08024227388353927,0.0
MS001-CH,24.0,0.0,0.0,0.0,0.0,0.3696689428849631,0.0,0.06416437044837024,0.0
MS001-CH-BT-BU-BV,0.0,0.0,0.002,0.002,0.0,0.002,0.0,0.002,0.002
MS001-CH-BT-BU-BV,12.0,0.0,0.5720164729289289,0.1527090595596531,0.0,0.2565880823123516,0.0,0.12857694791071836,0.21144282328834815
MS001-CH-BT-BU-BV,24.0,0.0,0.5096222497750065,0.14137218022454198,0.0,0.1279426628398462,0.0,0.13697372063128355,0.2347558235293218
MS001-CH-BU-CA,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0
MS001-CH-BU-CA,12.0,0.004357791712133086,0.0,0.5283912112724132,0.0,0.5090310381030938,0.0,0.023553283245693248,0.0
MS001-CH-BU-CA,24.0,0.08394816448596021,0.0,0.5184812883338634,0.0,0.12923071193758742,0.0,0.030839815909255636,0.0
MS001-CH-DP-BT-BU,0.0,0.0,0.002,0.002,0.0,0.002,0.002,0.002,0.0
MS001-CH-DP-BT-BU,12.0,0.0,0.6117563282806673,0.2191140363906751,0.0,0.2139192455126312,0.039293315827465314,0.04791710065522777,0.0
MS001-CH-DP-BT-BU,24.0,0.0,0.5774733801904149,0.18882376542994492,0.0,0.01995889237422663,0.0992959913466704,0.13678131199207647,0.0
MS001-CH-DP-CA,0.0,0.0025,0.0,0.0,0.0,0.0025,0.0025,0.0025,0.0
MS001-CH-DP-CA,12.0,0.01397782824707429,0.0,0.0,0.0,0.44809369853622244,0.19457997926750994,0.04218184761585995,0.0
MS001-CH-DP-CA,24.0,0.07880065650188535,0.0,0.0,0.0,0.2096559579582952,0.22444623258794597,0.0542638216185401,0.0
MS001-CS,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0
MS001-CS,12.0,0.0,0.0,0.0,0.03296064208624918,0.6617060242470841,0.0,0.0,0.0
MS001-CS,24.0,0.0,0.0,0.0,0.0179310186965391,0.25073565097012757,0.0,0.0,0.0
MS001-CS-BT-BU-BV,0.0,0.0,0.002,0.002,0.002,0.002,0.0,0.0,0.002
MS001-CS-BT-BU-BV,12.0,0.0,0.764916785118829,0.11889239759945702,0.028255347644221888,0.4021301163786182,0.0,0.0,0.14730536959220739
MS001-CS-BT-BU-BV,24.0,0.0,0.756933075680089,0.13411457729803009,0.0332416170007832,0.13749084513732293,0.0,0.0,0.19221986588377468
MS001-CS-BT-BU-CA,0.0,0.002,0.002,0.002,0.002,0.002,0.0,0.0,0.0
