Treatments,Time,CA,BT,BU,CS,CD,DP,CH,BV
MS008-BT,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0
MS008-BT,12.0,0.0,1.0811501771911467,0.0,0.0,0.33784982747552,0.0,0.0,0.0
MS008-BT,24.0,0.0,0.9638596058739174,0.0,0.0,0.2028070657927494,0.0,0.0,0.0
MS008-BU,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0
MS008-BU,12.0,0.0,0.0,0.45599169365265885,0.0,0.5658416020140079,0.0,0.0,0.0
MS008-BU,24.0,0.0,0.0,0.4216500187475621,0.0,0.32618333258577126,0.0,0.0,0.0
MS008-BU-BV-CA,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0,0.0,0.0025
MS008-BU-BV-CA,12.0,0.004465397376086991,0.0,0.27143057225396433,0.0,0.4940447304433095,0.0,0.0,0.3907259692599725
MS008-BU-BV-CA,24.0,0.05668947343764371,0.0,0.37165063467694104,0.0,0.205285303484649,0.0,0.0,0.33520793073409955
MS008-BV,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005
MS008-BV,12.0,0.0,0.0,0.0,0.0,0.661839367309579,0.0,0.0,0.4724939703570876
MS008-BV,24.0,0.0,0.0,0.0,0.0,0.21415052830222392,0.0,0.0,0.7796827900311095
MS008-CA,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0
MS008-CA,12.0,0.0024362988986972255,0.0,0.0,0.0,0.6723970334346361,0.0,0.0,0.0
MS008-CA,24.0,0.01569646972082452,0.0,0.0,0.0,0.5559701882791755,0.0,0.0,0.0
MS008-CH,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0
MS008-CH,12.0,0.0,0.0,0.0,0.0,0.5434933446665714,0.0,0.10367332466676206,0.0
MS008-CH,24.0,0.0,0.0,0.0,0.0,0.42516784553609654,0.0,0.0946654957972368,0.0
MS008-CH-BT-BU-BV,0.0,0.0,0.002,0.002,0.0,0.002,0.0,0.002,0.002
MS008-CH-BT-BU-BV,12.0,0.0,0.42025125521098183,0.1322170262168656,0.0,0.18089693469018986,0.0,0.11392096861729435,0.2188804995980016
MS008-CH-BT-BU-BV,24.0,0.0,0.44060462242231946,0.1169307754119812,0.0,0.11635860198486202,0.0,0.1951175063995884,0.21965518644791557
MS008-CH-DP-BT-CA,0.0,0.002,0.002,0.0,0.0,0.002,0.002,0.002,0.0
