Treatments,species,true,pred,stdv
CH-DP-BT-BU,BT,0.6339901759318601,0.596697,0.12613072
CH-DP-BT-BU,BU,0.2117660435033956,0.25756496,0.07827738
CH-DP-BT-BU,DP,0.0648399147459723,0.11674645,0.06028544
CH-DP-BT-BU,CH,0.1067371971521051,0.20178404,0.044491556
CH-DP-BU-CA,CA,0.0191433278667381,7.604786e-13,0.03959304
CH-DP-BU-CA,BU,0.4571509190075828,0.5745101,0.07914368
CH-DP-BU-CA,DP,0.0882253348661699,0.15058425,0.06158444
CH-DP-BU-CA,CH,0.1371470789261758,0.24753708,0.045912452
CH-DP-BV-CA,CA,0.0363949549930706,0.064135276,0.04446712
CH-DP-BV-CA,DP,0.0490459876014358,0.14949848,0.062608935
CH-DP-BV-CA,CH,0.3422311404617775,0.33914357,0.047826234
CH-DP-BV-CA,BV,0.4346612566103826,0.48235768,0.079943344
CS-BT-BU-BV,BT,0.7511902908194625,0.78865206,0.124065585
CS-BT-BU-BV,BU,0.0995727628880415,0.08942934,0.07760885
CS-BT-BU-BV,CS,0.1499757877039886,0.18458346,0.05982399
CS-BT-BU-BV,BV,0.161094477255174,0.15783453,0.07527449
CS-BT-BU-CA,CA,0.0776543371225044,1.2015865e-06,0.039593045
CS-BT-BU-CA,BT,0.8380836003230359,0.82421196,0.12378883
CS-BT-BU-CA,BU,0.1587390785737334,0.18570505,0.07925131
CS-BT-BU-CA,CS,0.1318562859807262,0.14521526,0.05913924
CS-BT-BV-CA,CA,0.0872970773466872,0.025980396,0.041173775
CS-BT-BV-CA,BT,0.7937678247416654,0.9103815,0.1294268
CS-BT-BV-CA,CS,0.1537480560177169,0.1961154,0.061749242
CS-BT-BV-CA,BV,0.1951870635605971,0.18183835,0.076732695
CS-CH-BT-BU,BT,0.5641571044095368,0.62894666,0.12549871
CS-CH-BT-BU,BU,0.1650772994128221,0.29391396,0.078464836
CS-CH-BT-BU,CS,0.0262661693510769,0.062305752,0.056676432
CS-CH-BT-BU,CH,0.2289993904932306,0.18352447,0.044666186
CS-CH-BT-BU-BV-CA,CA,0.0590608962975826,2.386903e-05,0.039593525
CS-CH-BT-BU-BV-CA,BT,0.4574309835406763,0.5307537,0.12946796
CS-CH-BT-BU-BV-CA,BU,0.0982327074862059,0.1860014,0.07835122
CS-CH-BT-BU-BV-CA,CS,0.0223644178985529,0.054100495,0.055845294
CS-CH-BT-BU-BV-CA,CH,0.1943480669888727,0.23682381,0.04384465
CS-CH-BT-BU-BV-CA,BV,0.121229590454776,0.19837204,0.07605635
CS-CH-BT-BU-CA,CA,0.0284409443303742,1.4457214e-07,0.03959304
CS-CH-BT-BU-CA,BT,0.5574777936885481,0.62554157,0.1253598
CS-CH-BT-BU-CA,BU,0.1695321566775706,0.2969441,0.07819326
CS-CH-BT-BU-CA,CS,0.0186459845758129,0.054376557,0.056163106
CS-CH-BT-BU-CA,CH,0.1349031227276941,0.1892834,0.044248324
CS-CH-BT-CA,CA,0.0556751956445031,0.05148273,0.044315245
CS-CH-BT-CA,BT,0.7452632632198698,0.8678548,0.14234506
CS-CH-BT-CA,CS,0.0217383208428758,0.08562518,0.058406662
CS-CH-BT-CA,CH,0.1479898892927514,0.15794472,0.047454666
CS-CH-BU-BV,BU,0.1783429059459744,0.31154087,0.084952004
CS-CH-BU-BV,CS,0.0182952427340506,0.076561734,0.058858816
CS-CH-BU-BV,CH,0.257695827124943,0.3094041,0.04617529
CS-CH-BU-BV,BV,0.4079993395283651,0.4509721,0.08228004
CS-CH-BV-CA,CA,0.0403684796596857,0.056805663,0.045000304
CS-CH-BV-CA,CS,0.0177717431263171,0.10304823,0.062319607
CS-CH-BV-CA,CH,0.2300045416566911,0.3096066,0.04942777
CS-CH-BV-CA,BV,0.7240218872239725,0.75793743,0.077966385
CS-CH-DP-BT-BU,BT,0.6373917630227731,0.64550316,0.12381879
CS-CH-DP-BT-BU,BU,0.181481186182036,0.22027759,0.07683581
CS-CH-DP-BT-BU,CS,0.0165771067431536,0.036614917,0.055430267
CS-CH-DP-BT-BU,DP,0.0618493590154029,0.11898191,0.060051553
CS-CH-DP-BT-BU,CH,0.1272005800366343,0.15025811,0.043407142
CS-CH-DP-BT-BU-BV-CA,CA,0.0281679869687717,2.9533512e-05,0.0395937
CS-CH-DP-BT-BU-BV-CA,BT,0.5420046876967496,0.578466,0.12622987
CS-CH-DP-BT-BU-BV-CA,BU,0.1566968368406277,0.17103991,0.07723043
CS-CH-DP-BT-BU-BV-CA,CS,0.0191291170326012,0.03552448,0.05525183
CS-CH-DP-BT-BU-BV-CA,DP,0.063880382940612,0.104368396,0.0600199
