Comms,Richness,CD OD
CD+,1,0.67667687
CD+BV,2,0.47335234
CD+CH,2,0.30453274
CD+CH-BV,3,5.5603537e-05
CD+DP,2,0.44622186
CD+DP-BV,3,0.35498077
CD+DP-CH,3,0.18271248
CD+DP-CH-BV,4,0.00029462253
CD+CS,2,0.53067315
CD+CS-BV,3,0.13937853
CD+CS-CH,3,0.31398186
CD+CS-CH-BV,4,0.00040364638
CD+CS-DP,3,0.37097412
CD+CS-DP-BV,4,0.1885985
CD+CS-DP-CH,4,0.18094116
CD+CS-DP-CH-BV,5,0.0010425438
CD+BU,2,0.54312813
CD+BU-BV,3,0.46690813
CD+BU-CH,3,0.18997172
CD+BU-CH-BV,4,0.0006207132
CD+BU-DP,3,0.34357584
CD+BU-DP-BV,4,0.3408345
CD+BU-DP-CH,4,0.11409799
CD+BU-DP-CH-BV,5,0.002094396
CD+BU-CS,3,0.44439408
CD+BU-CS-BV,4,0.23737188
CD+BU-CS-CH,4,0.18962377
CD+BU-CS-CH-BV,5,0.001975295
CD+BU-CS-DP,4,0.28751343
CD+BU-CS-DP-BV,5,0.22135468
CD+BU-CS-DP-CH,5,0.11118211
CD+BU-CS-DP-CH-BV,6,0.004103554
CD+BT,2,0.23724845
CD+BT-BV,3,0.22057438
CD+BT-CH,3,0.04646702
CD+BT-CH-BV,4,0.0035948253
CD+BT-DP,3,0.16276485
CD+BT-DP-BV,4,0.16058908
CD+BT-DP-CH,4,0.03921091
CD+BT-DP-CH-BV,5,0.0066283303
CD+BT-CS,3,0.15885183
CD+BT-CS-BV,4,0.12604722
CD+BT-CS-CH,4,0.052970666
CD+BT-CS-CH-BV,5,0.0069244085
CD+BT-CS-DP,4,0.11633236
CD+BT-CS-DP-BV,5,0.10269823
CD+BT-CS-DP-CH,5,0.038989577
CD+BT-CS-DP-CH-BV,6,0.008918147
CD+BT-BU,3,0.21904534
CD+BT-BU-BV,4,0.21427613
CD+BT-BU-CH,4,0.040852033
CD+BT-BU-CH-BV,5,0.0111348005
CD+BT-BU-DP,4,0.14964503
CD+BT-BU-DP-BV,5,0.15542634
CD+BT-BU-DP-CH,5,0.032607466
CD+BT-BU-DP-CH-BV,6,0.013348053
CD+BT-BU-CS,4,0.15337752
CD+BT-BU-CS-BV,5,0.1399045
CD+BT-BU-CS-CH,5,0.041150406
CD+BT-BU-CS-CH-BV,6,0.014071682
CD+BT-BU-CS-DP,5,0.10839224
CD+BT-BU-CS-DP-BV,6,0.10713395
CD+BT-BU-CS-DP-CH,6,0.030874146
CD+BT-BU-CS-DP-CH-BV,7,0.014351779
CD+CA,2,0.59326386
CD+CA-BV,3,0.45165053
CD+CA-CH,3,0.3829433
CD+CA-CH-BV,4,0.0001158707
CD+CA-DP,3,0.36541352
CD+CA-DP-BV,4,0.3328471
CD+CA-DP-CH,4,0.17873411
CD+CA-DP-CH-BV,5,0.00045699294
CD+CA-CS,3,0.4659988
CD+CA-CS-BV,4,0.15683997
CD+CA-CS-CH,4,0.28079388
CD+CA-CS-CH-BV,5,0.00053917675
CD+CA-CS-DP,4,0.29999468
CD+CA-CS-DP-BV,5,0.1791389
CD+CA-CS-DP-CH,5,0.1499893
CD+CA-CS-DP-CH-BV,6,0.0012424429
CD+CA-BU,3,0.5427942
CD+CA-BU-BV,4,0.4666937
CD+CA-BU-CH,4,0.2752262
CD+CA-BU-CH-BV,5,0.0010548334
CD+CA-BU-DP,4,0.34682983
CD+CA-BU-DP-BV,5,0.34390116
CD+CA-BU-DP-CH,5,0.15046549
CD+CA-BU-DP-CH-BV,6,0.0029254432
CD+CA-BU-CS,4,0.46340525
CD+CA-BU-CS-BV,5,0.26944587
CD+CA-BU-CS-CH,5,0.24038956
CD+CA-BU-CS-CH-BV,6,0.0026854204
CD+CA-BU-CS-DP,5,0.29845774
CD+CA-BU-CS-DP-BV,6,0.23492025
CD+CA-BU-CS-DP-CH,6,0.13624413
CD+CA-BU-CS-DP-CH-BV,7,0.0050706044
CD+CA-BT,3,0.1947946
CD+CA-BT-BV,4,0.19463588
CD+CA-BT-CH,4,0.04330589
CD+CA-BT-CH-BV,5,0.0070726653
CD+CA-BT-DP,4,0.13233396
CD+CA-BT-DP-BV,5,0.14129962
CD+CA-BT-DP-CH,5,0.033600744
CD+CA-BT-DP-CH-BV,6,0.009376823
CD+CA-BT-CS,4,0.1297121
CD+CA-BT-CS-BV,5,0.11583141
CD+CA-BT-CS-CH,5,0.04106493
CD+CA-BT-CS-CH-BV,6,0.009425427
CD+CA-BT-CS-DP,5,0.093446165
CD+CA-BT-CS-DP-BV,6,0.09156373
CD+CA-BT-CS-DP-CH,6,0.030678835
CD+CA-BT-CS-DP-CH-BV,7,0.010407944
CD+CA-BT-BU,4,0.21810369
CD+CA-BT-BU-BV,5,0.212706
CD+CA-BT-BU-CH,5,0.05148018
CD+CA-BT-BU-CH-BV,6,0.014957285
CD+CA-BT-BU-DP,5,0.1518978
CD+CA-BT-BU-DP-BV,6,0.15681347
CD+CA-BT-BU-DP-CH,6,0.038851935
CD+CA-BT-BU-DP-CH-BV,7,0.016331593
CD+CA-BT-BU-CS,5,0.1617323
CD+CA-BT-BU-CS-BV,6,0.14667803
CD+CA-BT-BU-CS-CH,6,0.0485843
CD+CA-BT-BU-CS-CH-BV,7,0.017144145
CD+CA-BT-BU-CS-DP,6,0.114534445
CD+CA-BT-BU-CS-DP-BV,7,0.112155005
CD+CA-BT-BU-CS-DP-CH,7,0.0356474
CD+CA-BT-BU-CS-DP-CH-BV,8,0.016735915
