Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CS,CD,DP,CH,BV,CA*CA,CA*BT,CA*BU,CA*CS,CA*CD,CA*DP,CA*CH,CA*BV,BT*CA,BT*BT,BT*BU,BT*CS,BT*CD,BT*DP,BT*CH,BT*BV,BU*CA,BU*BT,BU*BU,BU*CS,BU*CD,BU*DP,BU*CH,BU*BV,CS*CA,CS*BT,CS*BU,CS*CS,CS*CD,CS*DP,CS*CH,CS*BV,CD*CA,CD*BT,CD*BU,CD*CS,CD*CD,CD*DP,CD*CH,CD*BV,DP*CA,DP*BT,DP*BU,DP*CS,DP*CD,DP*DP,DP*CH,DP*BV,CH*CA,CH*BT,CH*BU,CH*CS,CH*CD,CH*DP,CH*CH,CH*BV,BV*CA,BV*BT,BV*BU,BV*CS,BV*CD,BV*DP,BV*CH,BV*BV
CA,0.2517585130990817,0.0077952305,7.837645235057636e-229,6.076562e-05,6.642174e-07,1.5264253e-06,4.1058905e-07,4.9576875e-06,1.1108849e-06,3.3919728e-06,4.1748985e-06,-0.00013730559,-5.5591456e-05,-6.234945e-05,-0.000120243756,-0.00011919677,-0.00019514767,-0.00018020881,-2.2479659e-05,-0.0003187167,-1.2422846e-06,-9.200599e-07,-2.7636528e-07,2.0124978e-07,4.4086823e-06,7.81316e-06,-1.8813524e-06,-2.5618872e-06,2.1277012e-07,-1.034398e-06,2.2634213e-06,-6.0414122e-06,7.5280172e-06,-7.3418973e-06,4.0325986e-06,1.1807985e-05,2.6750582e-08,1.025187e-06,-8.2392415e-07,-6.9745624e-07,1.2945052e-05,-3.939743e-06,3.3669075e-06,1.553692e-05,-5.7267353e-06,-7.8636585e-06,3.2573407e-05,-9.627158e-06,2.6876081e-05,-3.1337906e-05,-4.3653316e-08,-6.7890345e-05,-9.636802e-08,-1.9656325e-07,-1.4828576e-05,1.1081212e-06,-8.80055e-06,3.1039253e-06,4.9927312e-08,0.00016117205,-5.459198e-06,-1.06430225e-05,9.323301e-05,-9.760086e-06,1.437334e-05,-4.2633174e-06,-5.515791e-06,3.2001797e-05,-4.862681e-07,2.5689133e-07,6.2227955e-06,-9.228184e-06,3.4126806e-05,-1.4072495e-05,-2.262627e-06
BT,0.8138535178761129,0.030097846,4.972605398947601e-161,6.642174e-07,0.0009058803,8.984865e-05,1.1026109e-05,5.425612e-05,8.852336e-06,2.3833863e-05,0.00011236426,-1.4358561e-06,6.0052414e-05,1.7332173e-05,3.1765354e-05,1.5565832e-06,-2.8820754e-05,2.3032855e-05,-1.2277538e-06,-0.002403602,-0.00079710607,-0.0008041064,-0.00013599562,-0.00045239477,-0.00022766527,-0.001221538,-0.00038318426,-0.00014185606,0.00018422228,-4.444001e-05,-0.00039455123,-0.00015707845,-0.00030255914,-0.00022902942,9.130823e-06,-5.00579e-05,4.7488415e-05,-7.7990995e-07,-2.260613e-05,-1.2315514e-05,-1.6171227e-05,-1.7624823e-05,-1.4231164e-05,-4.5059704e-05,0.00020672362,-1.9781304e-05,-0.0004817965,-5.7669564e-05,-0.00018439222,-0.00012098674,1.2979184e-05,-6.5953165e-05,3.1923402e-05,3.4059854e-06,4.540071e-05,-3.082279e-06,-2.5220083e-05,-2.4358842e-05,-3.7705047e-06,-0.00014210859,4.1905027e-05,-1.1556858e-05,-7.80202e-05,-2.363162e-05,-6.1401945e-05,-3.10728e-05,-2.4693201e-05,-0.00028893878,0.00036025824,-1.5759739e-05,-0.00031332523,-0.00014315835,-0.00021119419,-0.00023285043,-5.634333e-05
BU,0.7291133370139471,0.021768266,5.830192243865285e-246,1.5264253e-06,8.984865e-05,0.00047385742,9.0300155e-06,0.0002982492,1.1621439e-05,3.476454e-05,0.00024764804,-3.429502e-06,7.886273e-06,5.870695e-05,1.2676123e-05,3.0598465e-05,8.5371885e-06,2.5421596e-06,8.206527e-07,-9.718985e-05,-8.0244914e-05,2.2594642e-05,-2.7893533e-05,-8.773055e-05,-7.708213e-05,-0.0002319655,-3.261798e-05,-0.00031772844,-0.00045624454,-0.0004107105,-0.0003078334,-0.000812333,-0.00071282504,-0.00042751431,-0.00065860467,1.2752516e-05,-1.0819333e-06,1.5855869e-05,-1.8283e-05,1.1914764e-05,7.649526e-06,1.559756e-05,-3.789099e-05,-8.402396e-05,-0.00024272599,-0.00011009761,-0.0005553501,-0.0004988017,-0.00076086255,-0.00031497396,-0.00036956996,8.378025e-05,-6.42751e-06,2.3173985e-05,9.757693e-05,-2.7036724e-06,-9.762447e-05,-2.8108057e-05,-9.336459e-06,2.6055893e-06,-2.0546753e-05,2.8274235e-05,-0.00029205828,2.7745045e-05,-0.00012899925,-4.6234014e-05,-5.4112883e-05,-0.0002461441,-0.00018051593,-0.00014540134,-0.00014100416,-0.0005835381,-0.0005789887,-0.0004621908,-0.00015153339
CS,0.2652859872162188,0.009519738,6.714819634862505e-171,4.1058905e-07,1.1026109e-05,9.0300155e-06,9.062541e-05,1.311244e-05,2.0810123e-06,9.144114e-06,4.6590562e-06,-9.107608e-07,2.1138285e-06,8.686587e-06,1.2080368e-05,-1.0797877e-06,-7.994502e-06,-3.012638e-06,1.7070458e-06,0.00014117248,-3.876086e-06,8.170785e-06,2.9420178e-05,-1.0183495e-05,-1.866175e-05,-3.016244e-05,2.8579502e-06,5.9875816e-05,6.20086e-06,-2.254038e-06,0.00033711156,-1.397957e-05,-4.966608e-05,-1.6427295e-05,-8.552905e-06,-0.00013068962,-7.5243406e-05,-4.069865e-05,-0.00018796227,-0.00017992398,-0.00048879586,-0.00021022602,-7.315595e-05,-2.468694e-07,1.906817e-06,1.7588744e-05,0.00027425578,-2.3195198e-05,-9.154898e-05,-1.533221e-05,-8.23605e-06,-8.445872e-06,9.687632e-07,3.1764448e-06,-2.3660032e-05,-2.996047e-07,-2.7452139e-05,-2.5244226e-06,-1.43462e-06,8.5526015e-05,-1.8635538e-07,1.25235665e-05,0.0005470925,-2.2460745e-05,-9.0161186e-05,-1.0200264e-05,-2.3848293e-05,9.287865e-06,1.1200621e-05,1.7428676e-05,-1.6840556e-06,-6.092756e-06,3.5465702e-05,-2.2848923e-05,-2.18315e-06
CD,0.8339164273939499,0.056199633,8.26218137339773e-50,4.9576875e-06,5.425612e-05,0.0002982492,1.311244e-05,0.003158399,2.7042986e-05,6.786256e-05,0.0003545373,-1.1406109e-05,1.4190728e-05,3.466431e-05,-3.5650748e-06,0.00036179603,3.391664e-05,-5.9081366e-08,2.897552e-06,9.4161915e-05,-4.4600172e-05,2.2014636e-05,-6.305519e-06,-0.00010749812,-7.9282974e-05,-5.3868294e-05,4.324873e-06,-0.00018293803,-0.00025483337,-0.00028747538,-0.00043388532,0.0004894421,-0.0009839962,-0.00010141317,-0.00028426413,-1.802195e-05,-1.61704e-06,2.013403e-05,-2.7590124e-05,0.00047575732,-6.942554e-05,5.705466e-05,-4.250549e-05,-0.0002273707,-0.0025870795,-0.0024887545,-0.0027507425,-0.00560781,-0.0070525403,-0.0057712183,-0.0024811649,-7.128654e-05,-1.7131284e-05,1.6862946e-06,5.03774e-05,2.2719141e-05,-0.000107251195,-1.8240857e-05,-5.630774e-07,-0.00019442769,-1.22698875e-05,3.625075e-06,-0.00059237506,0.0008910756,-0.000118394535,-0.0001098424,-5.0572355e-05,-0.00042473918,-0.00023084308,-0.00023098034,-0.00017578309,0.0006100784,-0.0010993688,-0.000296457,-0.00029546
DP,0.30178351848333,0.0133011965,5.8255955325106156e-114,1.1108849e-06,8.852336e-06,1.1621439e-05,2.0810123e-06,2.7042986e-05,0.00017692182,6.2755275e-06,2.6779562e-05,-2.4209112e-06,1.5500017e-08,4.110666e-06,1.3860024e-05,-3.053858e-06,3.13849e-05,1.0044199e-05,-1.4991184e-06,8.0321915e-05,-4.0565737e-06,3.530562e-08,6.1788382e-06,3.6854622e-06,-1.5669135e-05,1.7228867e-05,1.6112085e-07,-1.8202963e-05,1.5979454e-05,-2.5091347e-06,-0.00012014336,9.378469e-06,1.7393375e-05,1.7910437e-05,1.8230932e-05,-4.6065006e-06,1.4117867e-06,3.0414183e-06,-4.277406e-06,5.14844e-06,0.0003189151,1.8756902e-05,3.7147475e-07,-4.2414347e-05,1.3297636e-05,2.325929e-05,-0.00013504119,-3.9379363e-05,0.0005192258,7.266331e-05,1.8135837e-05,0.00040110716,-7.790172e-05,-5.161349e-05,-0.00026035224,-7.1949675e-05,-0.0014192376,-0.00015470322,-5.683503e-05,-9.803057e-05,1.2397315e-05,1.0220662e-05,-0.00015403995,7.72893e-06,0.00027604023,-7.51445e-06,2.0072539e-05,-8.15522e-05,6.2712e-06,4.1018244e-05,-6.951545e-05,2.319417e-06,0.00085339166,-5.77002e-06,-1.3409899e-05
CH,0.46659846156144297,0.01220243,0.0,3.3919728e-06,2.3833863e-05,3.476454e-05,9.144114e-06,6.786256e-05,6.2755275e-06,0.00014889929,2.0779878e-06,-7.40978e-06,-2.9790722e-06,-1.5744197e-05,2.6432639e-05,-1.1861512e-06,7.391402e-05,-2.1826283e-05,-2.0521975e-05,-6.132583e-05,-1.9094688e-05,7.4577783e-06,-1.3075707e-05,-1.6946648e-05,-1.3347524e-05,-1.5733307e-05,-1.1538961e-05,-1.2206597e-05,-2.4861827e-05,-2.0201414e-05,-0.00011898566,-6.0788127e-05,-5.1069128e-05,-9.6624404e-05,-6.5777764e-05,2.8649214e-05,-2.024025e-06,-5.690769e-06,-1.8404342e-05,-2.3329554e-05,8.259173e-05,-9.515499e-05,-5.353229e-05,-5.569765e-05,-5.2728814e-05,-7.63189e-05,-0.0003917179,-8.2700615e-05,-9.019202e-05,-0.00023247903,-0.00012253961,3.2205244e-05,-2.485048e-06,-4.7825205e-07,2.2064116e-05,-4.5693187e-06,-3.4915185e-05,-3.6283163e-05,-1.6206883e-05,-0.0007960961,-0.00012271541,-0.00017028768,-0.0009996761,-0.00029838568,-0.00018965491,-0.00017236805,-0.00020299417,-2.6413321e-05,2.1282467e-05,1.6621067e-05,-2.3591901e-05,-3.054114e-05,-9.266433e-05,-2.4434323e-05,1.257698e-06
BV,0.9130299375228392,0.034041345,1.828550533147566e-158,4.1748985e-06,0.00011236426,0.00024764804,4.6590562e-06,0.0003545373,2.6779562e-05,2.0779878e-06,0.0011588131,-9.466584e-06,1.0725536e-05,1.7739472e-05,3.684012e-05,2.6565647e-05,8.4664e-06,3.4049592e-06,3.5987887e-05,5.3827556e-05,-9.168369e-05,-2.416706e-05,-0.00010863384,-7.729304e-05,-2.0291502e-05,-0.00059820485,3.672871e-05,-0.00020463219,-0.00015172396,-0.00017030744,-0.001578212,-0.0005345368,-0.00035512558,-0.000898514,0.0004689765,9.904493e-06,1.2748216e-06,-2.1926996e-06,-9.623368e-06,1.1789418e-05,-1.5290643e-05,-6.990397e-05,-1.997933e-05,-0.000107528605,-0.0002587949,-0.00037344501,-0.0007868417,-0.0006235687,-0.00063606194,-0.000990751,0.00019979764,0.00020391523,-6.0457237e-06,-2.1919717e-05,2.4630086e-05,-4.6217083e-06,-0.00023762636,-6.106127e-05,2.1249984e-05,-8.84155e-05,-5.275858e-06,-2.3429622e-05,0.00031110924,6.982802e-05,2.0687805e-05,2.0998484e-06,-0.00010781963,-0.0003288855,-0.0011914676,-0.0013789773,3.5661364e-05,-0.0013233575,-0.002400272,-0.0012420185,-0.00097092666
CA*CA,-0.27512142085414415,0.019422708,1.510039902480943e-45,-0.00013730559,-1.4358561e-06,-3.429502e-06,-9.107608e-07,-1.1406109e-05,-2.4209112e-06,-7.40978e-06,-9.466584e-06,0.0003772416,0.00012472748,0.00014090225,0.00026333937,0.00026617508,0.00042380203,0.00039728475,5.1715415e-05,0.00071870134,2.7892352e-06,1.9234924e-06,1.778653e-07,-4.765002e-07,-9.419715e-06,-1.6218251e-05,4.2081065e-06,6.7303276e-06,-4.6279035e-07,2.3740743e-06,-3.788414e-06,1.3382429e-05,-1.6194585e-05,1.631094e-05,-9.1892725e-06,-2.5708268e-05,-2.8811328e-08,-2.2952372e-06,1.8276146e-06,1.4829792e-06,-2.8356153e-05,8.981327e-06,-7.5613775e-06,-3.2017913e-05,1.2891312e-05,1.7762253e-05,-7.2931136e-05,2.2432754e-05,-5.904271e-05,6.6617045e-05,-1.2700288e-07,0.0001580639,1.6592519e-07,3.448871e-07,3.31187e-05,-2.4721003e-06,1.9167139e-05,-6.5629247e-06,-1.480578e-07,-0.00036315518,1.17357395e-05,2.3169194e-05,-0.00019982322,2.0997953e-05,-3.190889e-05,9.331143e-06,1.139866e-05,-7.148056e-05,1.3084557e-06,-5.6130375e-08,-1.3546034e-05,2.0443847e-05,-7.554696e-05,3.091015e-05,5.1579136e-06
CA*BT,-0.13450175454233,0.016844073,1.4039865447059838e-15,-5.5591456e-05,6.0052414e-05,7.886273e-06,2.1138285e-06,1.4190728e-05,1.5500017e-08,-2.9790722e-06,1.0725536e-05,0.00012472748,0.0002837228,2.9035064e-05,-0.0002353581,9.238619e-05,0.00022200347,0.00011918059,-9.522996e-06,-0.003746655,-3.7419974e-05,-3.1050346e-05,-4.6807203e-05,-2.7348347e-05,-8.165117e-05,1.7619073e-05,2.0681267e-05,-2.2809249e-05,3.502566e-05,-5.4082598e-06,-3.0315658e-05,-3.984329e-06,-8.8632536e-05,-2.5361789e-05,-1.1981077e-05,1.633579e-05,1.2129785e-05,-5.27491e-06,-4.4259764e-06,-3.1744648e-06,-8.440507e-05,1.0269016e-05,-2.2927823e-06,-7.060055e-05,5.6154455e-05,8.0031505e-06,-0.00014072342,-2.8371265e-05,-0.00027185032,2.3873123e-05,-2.0215017e-05,0.00011119692,3.0266026e-06,-8.2709994e-07,2.0103305e-05,-7.266642e-06,-1.666566e-05,-1.0481737e-05,2.7449735e-06,-4.1342857e-05,5.8910024e-05,2.477311e-07,9.1862945e-05,1.0470349e-05,-0.00014609954,1.068453e-06,-1.03693255e-05,-6.912545e-05,6.042798e-05,-3.4199435e-05,-4.979968e-05,-1.0405065e-05,-7.27682e-05,-2.7387097e-05,-8.330582e-06
CA*BU,-0.1594645509896984,0.02900807,3.85764295003043e-08,-6.234945e-05,1.7332173e-05,5.870695e-05,8.686587e-06,3.466431e-05,4.110666e-06,-1.5744197e-05,1.7739472e-05,0.00014090225,2.9035064e-05,0.0008414681,-0.00033862374,3.1576263e-05,-0.00040441917,0.0002987767,-4.5902752e-06,-0.000110475106,-8.236777e-06,-2.6793366e-05,-9.923045e-07,-8.0906113e-07,2.0527901e-05,-0.00012643024,-8.031342e-06,4.382131e-05,-5.8506095e-05,-2.4278132e-05,0.00020124155,-8.0459635e-05,-4.379554e-05,-7.744999e-05,-9.4155825e-05,1.8087854e-05,-1.26641025e-05,3.6437195e-05,-1.7281776e-05,-4.8381473e-05,0.00017063442,7.1832865e-06,-4.9240243e-05,-6.959598e-05,5.676461e-06,0.0002141378,-0.00087830616,-9.058375e-05,-0.00035229223,6.054263e-05,-8.027689e-05,-0.00015020721,4.9113532e-06,-7.812831e-06,1.1118397e-05,-2.3876012e-06,-5.1645442e-05,-1.0773525e-05,5.7519756e-06,0.00062330405,2.2117212e-05,0.0002596544,-0.0013511247,4.673516e-05,-0.0002121639,1.6977601e-05,3.8540322e-05,-4.1656698e-05,-3.3050223e-05,0.00012493253,8.824884e-06,-8.019144e-05,6.273926e-05,-0.00012256786,-1.0956965e-05
