Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP
BT-BU-CA-CD-CH-CS,0,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0
BT-BU-CA-CD-CH-CS,24,,,,,,,,
BU-BV-CA-CD-CH-CS,0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0
BU-BV-CA-CD-CH-CS,24,,,,,,,,
BU-BV-CD-CH-CS-DP,0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666
BU-BV-CD-CH-CS-DP,24,,,,,,,,
BU-BV-CA-CD-CH-DP,0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666
BU-BV-CA-CD-CH-DP,24,,,,,,,,
BV-CA-CD-CH-CS-DP,0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666
BV-CA-CD-CH-CS-DP,24,,,,,,,,
BV-CA-CD-CH-CS,0,0.0,0.002,0.002,0.002,0.0,0.002,0.002,0.0
BV-CA-CD-CH-CS,24,,,,,,,,
BV-CA-CD-CH,0,0.0,0.0025,0.0025,0.0025,0.0,0.0,0.0025,0.0
BV-CA-CD-CH,24,,,,,,,,
BU-CA-CD-CH-CS-DP,0,0.0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666
BU-CA-CD-CH-CS-DP,24,,,,,,,,
BU-CA-CD-CH-CS,0,0.0,0.0,0.002,0.002,0.002,0.002,0.002,0.0
BU-CA-CD-CH-CS,24,,,,,,,,
BU-CD-CH-CS-DP,0,0.0,0.0,0.002,0.002,0.002,0.002,0.0,0.002
BU-CD-CH-CS-DP,24,,,,,,,,
BU-CD-CH-CS,0,0.0,0.0,0.0025,0.0025,0.0025,0.0025,0.0,0.0
BU-CD-CH-CS,24,,,,,,,,
BU-CD-CH-DP,0,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0,0.0025
BU-CD-CH-DP,24,,,,,,,,
CA-CD-CH-CS-DP,0,0.0,0.0,0.002,0.002,0.0,0.002,0.002,0.002
CA-CD-CH-CS-DP,24,,,,,,,,
CA-CD-CH-CS,0,0.0,0.0,0.0025,0.0025,0.0,0.0025,0.0025,0.0
CA-CD-CH-CS,24,,,,,,,,
CD-CH-CS,0,0.0,0.0,0.003333333333333333,0.003333333333333333,0.0,0.003333333333333333,0.0,0.0
CD-CH-CS,24,,,,,,,,
BU-CA-CD-CS,0,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0
BU-CA-CD-CS,24,,,,,,,,
