Treatments,Time,BT,BV,CH,BU,CS,CA,DP
BT-BV-CH-DP,0,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0025
BT-BU-BV-CA-CS-DP,0,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666
BT-BU-BV-CA-DP,0,0.002,0.002,0.0,0.002,0.0,0.002,0.002
BT-BV-CA-CS-DP,0,0.002,0.002,0.0,0.0,0.002,0.002,0.002
BT-BU-CA-CH-CS,0,0.002,0.0,0.002,0.002,0.002,0.002,0.0
BT-BU-CA-CH,0,0.0025,0.0,0.0025,0.0025,0.0,0.0025,0.0
BT-BU-CH-DP,0,0.0025,0.0,0.0025,0.0025,0.0,0.0,0.0025
BT-CA-CH-CS-DP,0,0.002,0.0,0.002,0.0,0.002,0.002,0.002
BT-BU-CA-CS-DP,0,0.002,0.0,0.0,0.002,0.002,0.002,0.002
BU-BV-CA-CH-CS-DP,0,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666
BU-BV-CA-CH-CS,0,0.0,0.002,0.002,0.002,0.002,0.002,0.0
BU-BV-CH-CS,0,0.0,0.0025,0.0025,0.0025,0.0025,0.0,0.0
BU-BV-CA-CH-DP,0,0.0,0.002,0.002,0.002,0.0,0.002,0.002
BU-BV-CA-CH,0,0.0,0.0025,0.0025,0.0025,0.0,0.0025,0.0
BV-CA-CH-CS-DP,0,0.0,0.002,0.002,0.0,0.002,0.002,0.002
BV-CA-CH-CS,0,0.0,0.0025,0.0025,0.0,0.0025,0.0025,0.0
BV-CH-CS-DP,0,0.0,0.0025,0.0025,0.0,0.0025,0.0,0.0025
BV-CH-CS,0,0.0,0.003333333333333333,0.003333333333333333,0.0,0.003333333333333333,0.0,0.0
BV-CA-CH,0,0.0,0.003333333333333333,0.003333333333333333,0.0,0.0,0.003333333333333333,0.0
BV-CH-DP,0,0.0,0.003333333333333333,0.003333333333333333,0.0,0.0,0.0,0.003333333333333333
BU-BV-CA-CS,0,0.0,0.0025,0.0,0.0025,0.0025,0.0025,0.0
BU-BV-CS-DP,0,0.0,0.0025,0.0,0.0025,0.0025,0.0,0.0025
BU-BV-CA-DP,0,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0025
BU-BV-DP,0,0.0,0.003333333333333333,0.0,0.003333333333333333,0.0,0.0,0.003333333333333333
BV-CA-CS-DP,0,0.0,0.0025,0.0,0.0,0.0025,0.0025,0.0025
BU-CA-CH-CS,0,0.0,0.0,0.0025,0.0025,0.0025,0.0025,0.0
BU-CA-CH-DP,0,0.0,0.0,0.0025,0.0025,0.0,0.0025,0.0025
BU-CA-CS-DP,0,0.0,0.0,0.0,0.0025,0.0025,0.0025,0.0025
BU-CA-CS,0,0.0,0.0,0.0,0.003333333333333333,0.003333333333333333,0.003333333333333333,0.0
CA-CS-DP,0,0.0,0.0,0.0,0.0,0.003333333333333333,0.003333333333333333,0.003333333333333333
