Treatments,species,true,pred,stdv
BT-BV-MS014-BU-CS-CA-DP_0,BT,0.660482988,0.8015883564949036,0.21920590102672577
BT-BV-MS014-BU-CS-CA-DP_0,BV,0.047684671,0.06134137883782387,0.06442949175834656
BT-BV-MS014-BU-CS-CA-DP_0,CD,0.637122202,0.7016597390174866,0.120602086186409
BT-BV-MS014-BU-CS-CA-DP_0,BU,0.32357306,0.2354937344789505,0.13124102354049683
BT-BV-MS014-BU-CS-CA-DP_0,CS,0.081338199,0.028195880353450775,0.058821845799684525
BT-BV-MS014-BU-CS-CA-DP_0,CA,0.031466646,0.012894373387098312,0.020772431045770645
BT-BV-MS014-BU-CS-CA-DP_0,DP,0.024665554,0.04108865559101105,0.05749620124697685
BT-BV-MS014-BU-CS-CA-DP_0,BT,0.512601042,0.8918981552124023,0.22728636860847473
BT-BV-MS014-BU-CS-CA-DP_0,BV,0.121056219,0.007087345235049725,0.0631098523736
BT-BV-MS014-BU-CS-CA-DP_0,CD,0.767450672,0.7011026740074158,0.11751712113618851
BT-BV-MS014-BU-CS-CA-DP_0,BU,0.222210273,0.12136279046535492,0.13689088821411133
BT-BV-MS014-BU-CS-CA-DP_0,CS,0.116417441,0.0011327102547511458,0.05797466263175011
BT-BV-MS014-BU-CS-CA-DP_0,CA,0.107063495,0.010949182324111462,0.0213501937687397
BT-BV-MS014-BU-CS-CA-DP_0,DP,0.026867508,0.015002402476966381,0.057802774012088776
BT-MS014-CH-BU-CS-CA-DP_0,BT,0.797741266,0.7894205451011658,0.2102402001619339
BT-MS014-CH-BU-CS-CA-DP_0,CD,0.442580228,0.48793426156044006,0.12116818875074387
BT-MS014-CH-BU-CS-CA-DP_0,CH,0.107328258,0.08272943645715714,0.05042080581188202
BT-MS014-CH-BU-CS-CA-DP_0,BU,0.533043085,0.35906144976615906,0.13115227222442627
BT-MS014-CH-BU-CS-CA-DP_0,CS,0.023880765,0.056432075798511505,0.060023050755262375
BT-MS014-CH-BU-CS-CA-DP_0,CA,0.013958378,0.012218799442052841,0.020714065060019493
BT-MS014-CH-BU-CS-CA-DP_0,DP,0.062134693,0.06868056952953339,0.0587337464094162
BT-MS014-CH-BU-CS-CA-DP_0,BT,0.767546868,0.8305350542068481,0.21003763377666473
BT-MS014-CH-BU-CS-CA-DP_0,CD,0.456697659,0.49757033586502075,0.1172441691160202
BT-MS014-CH-BU-CS-CA-DP_0,CH,0.080393679,0.08875438570976257,0.050887562334537506
BT-MS014-CH-BU-CS-CA-DP_0,BU,0.322703459,0.25189387798309326,0.13368858397006989
BT-MS014-CH-BU-CS-CA-DP_0,CS,0.046312235,0.004862141329795122,0.05825354531407356
