Treatments,Time,CA,BT,BU,BV,CS,CD,DP,CH
BV-CA-DSM-DP,0,0.0025,0,0,0.0025,0,0.0025,0.0025,0
BU-DSM-CH-DP,0,0,0,0.0025,0,0,0.0025,0.0025,0.0025
BU-CA-DSM-CS,0,0.0025,0,0.0025,0,0.0025,0.0025,0,0
BU-BV-DSM-CH-CS,0,0,0,0.002,0.002,0.002,0.002,0,0.002
BU-BV-CA-DSM-CH,0,0.002,0,0.002,0.002,0,0.002,0,0.002
BU-BV-DSM-CH-DP,0,0,0,0.002,0.002,0,0.002,0.002,0.002
BV-CA-DSM-CH-CS,0,0.002,0,0,0.002,0.002,0.002,0,0.002
BV-DSM-CH-CS-DP,0,0,0,0,0.002,0.002,0.002,0.002,0.002
BU-BV-CA-DSM-CS,0,0.002,0,0.002,0.002,0.002,0.002,0,0
BU-CA-DSM-CH-CS,0,0.002,0,0.002,0,0.002,0.002,0,0.002
CA-DSM-CH-CS-DP,0,0.002,0,0,0,0.002,0.002,0.002,0.002
BU-CA-DSM-CS-DP,0,0.002,0,0.002,0,0.002,0.002,0.002,0
BU-BV-CA-DSM-CH-CS,0,0.001666667,0,0.001666667,0.001666667,0.001666667,0.001666667,0,0.001666667
BU-BV-DSM-CH-CS-DP,0,0,0,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667
BU-BV-CA-DSM-CH-DP,0,0.001666667,0,0.001666667,0.001666667,0,0.001666667,0.001666667,0.001666667
BV-CA-DSM-CH-CS-DP,0,0.001666667,0,0,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667
BV-CA-DSM-DP,12,0.007062962,0,0,0.567801963,0,0.20820663,0.117761779,0
BU-DSM-CH-DP,12,0,0,0.723803737,0,0,0.07849953,0.199420421,0.018109649
BU-CA-DSM-CS,12,0.0142734,0,0.559675899,0,0.078618431,0.458098913,0,0
BU-BV-DSM-CH-CS,12,0,0,1.268392776,0.403375091,0.120671738,0.040232365,0,0.106744681
BU-BV-CA-DSM-CH,12,0.025526594,0,1.109022068,0.471705394,0,0.059534963,0,0.154877671
BU-BV-DSM-CH-DP,12,0,0,0.772685094,0.371349208,0,0.070549296,0.20093471,0.071148342
BV-CA-DSM-CH-CS,12,0.030446501,0,0,1.056505512,0.103165638,0.046324336,0,0.139224671
BV-DSM-CH-CS-DP,12,0,0,0,0.552906288,0.023714614,0.02982499,0.2834124,0.066475038
BU-BV-CA-DSM-CS,12,0.024470807,0,0.533302807,0.286887916,0.062426725,0.411911721,0,0
BU-CA-DSM-CH-CS,12,0.010714421,0,0.583501499,0,0.070973789,0.170861871,0,0.071281813
CA-DSM-CH-CS-DP,12,0.002372087,0,0,0,0.00621008,0.015316909,0.112577945,0.014356307
BU-CA-DSM-CS-DP,12,0.008491512,0,0.43967468,0,0.01670204,0.437421385,0.193043732,0
BU-BV-CA-DSM-CH-CS,12,0.014074667,0,0.720322563,0.327054177,0.081290788,0.074578621,0,0.139345868
BU-BV-DSM-CH-CS-DP,12,0,0,0.844382469,0.212812393,0.042033159,0.171802426,0.132901944,0.099234314
BU-BV-CA-DSM-CH-DP,12,0.011005731,0,0.825105242,0.279026817,0,0.120709184,0.171094158,0.085225535
BV-CA-DSM-CH-CS-DP,12,0.01801681,0,0,0.358721122,0.017323456,0.036515537,0.176112692,0.063310399
BV-CA-DSM-DP,24,0.008001326,0,0,0.526314192,0,0.536953337,0.147564423,0
BU-DSM-CH-DP,24,0,0,0.711119475,0,0,0.086312183,0.586218257,0.061516752
BU-CA-DSM-CS,24,0.029564252,0,0.430147929,0,0.100594504,0.665026579,0,0
BU-BV-DSM-CH-CS,24,0,0,0.835891228,0.087881231,0.175300889,0.118195971,0,0.162980662
BU-BV-CA-DSM-CH,24,0.054080999,0,0.750442492,0.117204016,0,0.168906944,0,0.210365519
BU-BV-DSM-CH-DP,24,0,0,0.879126155,0.068449047,0,0.106669658,0.245189493,0.116565626
BV-CA-DSM-CH-CS,24,0.314156381,0,0,0.493123224,0.208232524,0.041633459,0,0.124854403
BV-DSM-CH-CS-DP,24,0,0,0,0.36590288,0.053052957,0.055509042,0.708372901,0.07932882
BU-BV-CA-DSM-CS,24,0.175153788,0,0.23294533,0.117419544,0.140287402,0.645193876,0,0
BU-CA-DSM-CH-CS,24,0.031205182,0,0.623317283,0,0.29077001,0.13689682,0,0.070977396
CA-DSM-CH-CS-DP,24,0.001801186,0,0,0,0.010153879,0.024791958,0.206579762,0.010339867
BU-CA-DSM-CS-DP,24,0.005116693,0,0.48492275,0,0.049169761,0.750453861,0.514670264,0
BU-BV-CA-DSM-CH-CS,24,0.035804728,0,0.824473874,0.067127938,0.138589296,0.212827899,0,0.220676243
BU-BV-DSM-CH-CS-DP,24,0,0,0.783817764,0.063908224,0.052617219,0.29293366,0.142765656,0.155290822
BU-BV-CA-DSM-CH-DP,24,0.007199075,0,0.992746699,0.08204293,0,0.205839186,0.257916688,0.111255457
BV-CA-DSM-CH-CS-DP,24,0.026058745,0,0,0.403553844,0.075871557,0.110486417,0.671724591,0.117304838
