Treatments,species,true,pred,stdv
BT-BU-CA-CH-CS,CA,0.001343611,0.010468876920640469,0.04855405539274216
BT-BU-CA-CH-CS,BT,1.270747779,1.054144024848938,0.22770580649375916
BT-BU-CA-CH-CS,BU,0.461787571,0.41738420724868774,0.17079472541809082
BT-BU-CA-CH-CS,CS,0.047855163,0.11782857030630112,0.12592433393001556
BT-BU-CA-CH-CS,CH,0.087265923,0.1369313895702362,0.10164016485214233
BT-BU-CA-CH-CS,CA,0.001950231,0.019212348386645317,0.04953904077410698
BT-BU-CA-CH-CS,BT,0.977195438,1.169725775718689,0.23178166151046753
BT-BU-CA-CH-CS,BU,0.185898014,0.29563313722610474,0.17726677656173706
BT-BU-CA-CH-CS,CS,0.048784681,0.2515754997730255,0.13302400708198547
BT-BU-CA-CH-CS,CH,0.089504928,0.13169212639331818,0.10229723155498505
BT-BV-DSM-CH-BU-CA-DP_0,CA,0.014800791,0.009797095321118832,0.04853781312704086
BT-BV-DSM-CH-BU-CA-DP_0,BT,0.813182263,0.9394986629486084,0.22597083449363708
BT-BV-DSM-CH-BU-CA-DP_0,BU,0.465839563,0.38467228412628174,0.16993065178394318
BT-BV-DSM-CH-BU-CA-DP_0,BV,0.09684879,0.12739229202270508,0.15620797872543335
BT-BV-DSM-CH-BU-CA-DP_0,CD,0.214570373,0.16744570434093475,0.10512003302574158
BT-BV-DSM-CH-BU-CA-DP_0,DP,0.048166179,0.04492080956697464,0.15797343850135803
BT-BV-DSM-CH-BU-CA-DP_0,CH,0.221925337,0.10879810154438019,0.10122831165790558
BT-BV-DSM-CH-BU-CA-DP_0,CA,0.015594671,0.008080992847681046,0.04873151704668999
BT-BV-DSM-CH-BU-CA-DP_0,BT,0.916013137,0.9520024657249451,0.23101292550563812
BT-BV-DSM-CH-BU-CA-DP_0,BU,0.395551563,0.3691366910934448,0.1723349541425705
BT-BV-DSM-CH-BU-CA-DP_0,BV,0.021785618,0.007141402922570705,0.1546238511800766
BT-BV-DSM-CH-BU-CA-DP_0,CD,0.268988464,0.2760307788848877,0.10948929190635681
BT-BV-DSM-CH-BU-CA-DP_0,DP,0.054078452,0.10215774178504944,0.1635238230228424
BT-BV-DSM-CH-BU-CA-DP_0,CH,0.177654735,0.0813136175274849,0.10223696380853653
BT-CA-CH-CS-DP,CA,0.000971012,0.008884250186383724,0.04854665696620941
BT-CA-CH-CS-DP,BT,1.521009985,1.377792239189148,0.2245490998029709
BT-CA-CH-CS-DP,CS,0.010003916,0.09946796298027039,0.12567280232906342
BT-CA-CH-CS-DP,DP,0.068586736,0.0513971745967865,0.15835429728031158
BT-CA-CH-CS-DP,CH,0.0317617,0.12972457706928253,0.10189151763916016
BT-CA-CH-CS-DP,CA,0.000770243,0.010144868865609169,0.04907038435339928
BT-CA-CH-CS-DP,BT,1.583818709,1.4176405668258667,0.22449544072151184
BT-CA-CH-CS-DP,CS,0.025954254,0.1777126044034958,0.13425953686237335
BT-CA-CH-CS-DP,DP,0.109065238,0.06430178880691528,0.16418735682964325
BT-CA-CH-CS-DP,CH,0.090724888,0.12098965048789978,0.10275878012180328
BU-BV-CA-CH-CS,CA,0.004258164,0.026999088004231453,0.04882609471678734
BU-BV-CA-CH-CS,BU,0.57410633,0.780632495880127,0.17066465318202972
BU-BV-CA-CH-CS,BV,0.321803137,0.33924606442451477,0.1591303050518036
BU-BV-CA-CH-CS,CS,0.136334483,0.15150943398475647,0.1264934092760086
BU-BV-CA-CH-CS,CH,0.072831272,0.1911381036043167,0.10152485221624374
BU-BV-CA-CH-CS,CA,0.023035228,0.07436447590589523,0.051958564668893814
BU-BV-CA-CH-CS,BU,0.561833369,0.7257548570632935,0.17574936151504517
BU-BV-CA-CH-CS,BV,0.127546768,0.14107151329517365,0.16278547048568726
BU-BV-CA-CH-CS,CS,0.298582341,0.38609519600868225,0.13242825865745544
BU-BV-CA-CH-CS,CH,0.43116896,0.19544541835784912,0.10184241086244583
BU-BV-CA-DP,CA,0.00386736,0.04133162274956703,0.049543604254722595
BU-BV-CA-DP,BU,0.329023246,0.515830934047699,0.17236509919166565
BU-BV-CA-DP,BV,1.019240531,0.7857525944709778,0.1615181416273117
BU-BV-CA-DP,DP,0.075035573,0.0938991978764534,0.15911990404129028
BU-BV-CA-DP,CA,0.081425461,0.10549592971801758,0.06626622378826141
BU-BV-CA-DP,BU,0.475167701,0.5156393647193909,0.1783667355775833
BU-BV-CA-DP,BV,0.741704267,0.7204868197441101,0.16963616013526917
BU-BV-CA-DP,DP,0.130869266,0.18681009113788605,0.17014868557453156
BU-BV-CA-DSM-CH,CA,0.025526594,0.023069480434060097,0.04872513562440872
BU-BV-CA-DSM-CH,BU,1.109022068,0.7985750436782837,0.17029765248298645
BU-BV-CA-DSM-CH,BV,0.471705394,0.28111591935157776,0.15838490426540375
BU-BV-CA-DSM-CH,CD,0.059534963,0.18242400884628296,0.10593966394662857
BU-BV-CA-DSM-CH,CH,0.154877671,0.1528819352388382,0.10170918703079224
BU-BV-CA-DSM-CH,CA,0.054080999,0.051246125251054764,0.05079290270805359
BU-BV-CA-DSM-CH,BU,0.750442492,0.8772304058074951,0.174225851893425
BU-BV-CA-DSM-CH,BV,0.117204016,0.0940670371055603,0.16088445484638214
BU-BV-CA-DSM-CH,CD,0.168906944,0.23416629433631897,0.11789439618587494
BU-BV-CA-DSM-CH,CH,0.210365519,0.1436595618724823,0.10323889553546906
BU-BV-DSM-CH-CS,BU,1.268392776,0.7335128784179688,0.16979849338531494
BU-BV-DSM-CH-CS,BV,0.403375091,0.27629706263542175,0.15804190933704376
BU-BV-DSM-CH-CS,CS,0.120671738,0.1104346364736557,0.12550780177116394
BU-BV-DSM-CH-CS,CD,0.040232365,0.182456836104393,0.10575561225414276
BU-BV-DSM-CH-CS,CH,0.106744681,0.15206848084926605,0.10166681557893753
BU-BV-DSM-CH-CS,BU,0.835891228,0.7270984053611755,0.17299863696098328
BU-BV-DSM-CH-CS,BV,0.087881231,0.09072738140821457,0.15980127453804016
BU-BV-DSM-CH-CS,CS,0.175300889,0.24451570212841034,0.13181918859481812
BU-BV-DSM-CH-CS,CD,0.118195971,0.23292119801044464,0.11493843793869019
