Treatments,species,true,pred,stdv
BU-BV-CA-CS,CA,0.004040299,0.055716630071401596,0.04224976897239685
BU-BV-CA-CS,BU,0.223044573,0.4210875928401947,0.16671934723854065
BU-BV-CA-CS,BV,0.960231878,0.7856815457344055,0.16153481602668762
BU-BV-CA-CS,CS,0.220183258,0.22150686383247375,0.11450719833374023
BU-BV-CA-CS,CA,0.108602031,0.3673078119754791,0.059575870633125305
BU-BV-CA-CS,BU,0.130373325,0.025218693539500237,0.16753089427947998
BU-BV-CA-CS,BV,1.015951532,0.6340488195419312,0.19539643824100494
BU-BV-CA-CS,CS,0.216406416,0.7619355916976929,0.15195243060588837
BU-BV-DP,BU,0.5192192,0.5009215474128723,0.167453795671463
BU-BV-DP,BV,0.833483453,0.799100399017334,0.16152477264404297
BU-BV-DP,DP,0.163963958,0.09397712349891663,0.15008534491062164
BU-BV-DP,BU,0.812054434,0.4739106297492981,0.1702897548675537
BU-BV-DP,BV,0.408121376,0.7334302663803101,0.16716744005680084
BU-BV-DP,DP,0.251490835,0.21107350289821625,0.1552039384841919
BU-CA-CS-DP,CA,0.00466118,0.004896689206361771,0.04059095308184624
BU-CA-CS-DP,BU,0.331473233,0.5442492365837097,0.1647539734840393
BU-CA-CS-DP,CS,0.268899945,0.27238813042640686,0.11483759433031082
BU-CA-CS-DP,DP,0.162965654,0.11581205576658249,0.15061995387077332
BU-CA-CS-DP,CA,0.00358901,0.0003574826696421951,0.04056632146239281
BU-CA-CS-DP,BU,0.347596795,0.4126628637313843,0.1728721559047699
BU-CA-CS-DP,CS,0.16857426,0.39680173993110657,0.12271628528833389
BU-CA-CS-DP,DP,0.746406602,0.2850055992603302,0.15520866215229034
BU-CA_0,CA,0.070045441,0.012471610680222511,0.040692780166864395
BU-CA_0,BU,1.230954535,0.6841476559638977,0.16455195844173431
BU-CA_0,CA,0.133907125,0.013381008990108967,0.04126352444291115
BU-CA_0,BU,0.939759544,0.7037472128868103,0.16438446938991547
BV-CH-CS,BV,0.782450824,0.6585550308227539,0.1606035977602005
BV-CH-CS,CS,0.058986959,0.11187908798456192,0.11125821620225906
BV-CH-CS,CH,0.071395554,0.24290862679481506,0.10490622371435165
BV-CH-CS,BV,0.414270914,0.6112554669380188,0.16547894477844238
BV-CH-CS,CS,0.445903506,0.18533672392368317,0.123883455991745
BV-CH-CS,CH,0.299158869,0.2453952133655548,0.10496393591165543
CA-DSM-CH-CS-DP,CA,0.002372087,0.004910996649414301,0.04059688001871109
CA-DSM-CH-CS-DP,CS,0.00621008,0.093063123524189,0.11052905023097992
CA-DSM-CH-CS-DP,CD,0.015316909,0.16126370429992676,0.10437466204166412
CA-DSM-CH-CS-DP,DP,0.112577945,0.15679998695850372,0.15179811418056488
CA-DSM-CH-CS-DP,CH,0.014356307,0.15809141099452972,0.10426835715770721
CA-DSM-CH-CS-DP,CA,0.001801186,2.3598626285092905e-05,0.0405612476170063
CA-DSM-CH-CS-DP,CS,0.010153879,0.05424616113305092,0.11378704011440277
CA-DSM-CH-CS-DP,CD,0.024791958,0.17580848932266235,0.11648763716220856
CA-DSM-CH-CS-DP,DP,0.206579762,0.41466832160949707,0.15288086235523224
CA-DSM-CH-CS-DP,CH,0.010339867,0.144234299659729,0.10601098835468292
BT-BU-CA-CH,BT,1.139664297,0.9687990546226501,0.21991977095603943
BT-BU-CA-CH,BU,0.358277937,0.5327106714248657,0.18415400385856628
BT-BU-CA-CH,CH,0.036391094,0.15180276334285736,0.10488352179527283
BT-BU-CA-CH,BT,1.012235522,0.9038152098655701,0.24703648686408997
BT-BU-CA-CH,BU,0.224113412,0.6107179522514343,0.19263118505477905
BT-BU-CA-CH,CH,0.049817724,0.15929679572582245,0.10523468255996704
BT-BV-CH-DP,BT,1.440273149,1.40977942943573,0.2180229276418686
BT-BV-CH-DP,BV,0.169505055,0.14239917695522308,0.16210588812828064
BT-BV-CH-DP,DP,0.038982025,0.04565231129527092,0.16310082376003265
BT-BV-CH-DP,CH,0.05907313,0.14555253088474274,0.10499905049800873
BT-BV-CH-DP,BT,1.605372493,1.4806287288665771,0.21658198535442352
BT-BV-CH-DP,BV,0.012213557,0.010034224949777126,0.15844252705574036
BT-BV-CH-DP,DP,0.048396053,0.06805974990129471,0.16921637952327728
BT-BV-CH-DP,CH,0.194684569,0.13604897260665894,0.10551907122135162
BT-BV-DSM-CH-CS-CA-DP_0,CA,0.031072291,0.011519179679453373,0.04971212148666382
BT-BV-DSM-CH-CS-CA-DP_0,BT,1.108842269,1.3002040386199951,0.2180858999490738
BT-BV-DSM-CH-CS-CA-DP_0,BV,0.186165684,0.1459713876247406,0.1614924520254135
BT-BV-DSM-CH-CS-CA-DP_0,CS,0.044726941,0.05159911885857582,0.110893115401268
BT-BV-DSM-CH-CS-CA-DP_0,CD,0.282150634,0.12972570955753326,0.10054437816143036
BT-BV-DSM-CH-CS-CA-DP_0,DP,0.07630086,0.03311612457036972,0.16280052065849304
BT-BV-DSM-CH-CS-CA-DP_0,CH,0.126407964,0.11812394112348557,0.10476723313331604
