Treatments,species,true,pred,stdv
BT-BU-CA-CH-CS,CA,0.001343611,0.000577828090172261,0.043674442917108536
BT-BU-CA-CH-CS,BT,1.270747779,1.0766741037368774,0.21913011372089386
BT-BU-CA-CH-CS,BU,0.461787571,0.3673517107963562,0.15852880477905273
BT-BU-CA-CH-CS,CS,0.047855163,0.12325975298881531,0.11845146119594574
BT-BU-CA-CH-CS,CH,0.087265923,0.11394347995519638,0.1194002628326416
BT-BU-CA-CH-CS,CA,0.001950231,5.240159225650132e-06,0.043672140687704086
BT-BU-CA-CH-CS,BT,0.977195438,1.2041977643966675,0.23061321675777435
BT-BU-CA-CH-CS,BU,0.185898014,0.279568076133728,0.16581130027770996
BT-BU-CA-CH-CS,CS,0.048784681,0.24616332352161407,0.12395095825195312
BT-BU-CA-CH-CS,CH,0.089504928,0.15357743203639984,0.12084595113992691
BT-BV-MS001-BU-CS-CA-DP_0,CA,0.017417236,0.0026497317012399435,0.04368484765291214
BT-BV-MS001-BU-CS-CA-DP_0,BT,0.64709308,0.660677433013916,0.2254229485988617
BT-BV-MS001-BU-CS-CA-DP_0,BU,0.292826327,0.11654976010322571,0.15511885285377502
BT-BV-MS001-BU-CS-CA-DP_0,BV,0.088616829,0.15904879570007324,0.14333069324493408
BT-BV-MS001-BU-CS-CA-DP_0,CS,0.067192825,0.001333911786787212,0.11677367985248566
BT-BV-MS001-BU-CS-CA-DP_0,CD,0.64665243,0.8110348582267761,0.10962416231632233
BT-BV-MS001-BU-CS-CA-DP_0,DP,0.021701213,0.003455403260886669,0.12997408211231232
BT-BV-MS001-BU-CS-CA-DP_0,CA,0.102708403,0.0006492430111393332,0.04367988556623459
BT-BV-MS001-BU-CS-CA-DP_0,BT,0.666666238,0.7849348783493042,0.23175625503063202
BT-BV-MS001-BU-CS-CA-DP_0,BU,0.217456601,0.09152176231145859,0.1595766693353653
BT-BV-MS001-BU-CS-CA-DP_0,BV,0.026042711,0.030005794018507004,0.14125123620033264
BT-BV-MS001-BU-CS-CA-DP_0,CS,0.136722092,3.0377709236972805e-08,0.11675231158733368
BT-BV-MS001-BU-CS-CA-DP_0,CD,0.72910913,0.7188899517059326,0.10463688522577286
BT-BV-MS001-BU-CS-CA-DP_0,DP,0.023794824,0.00010941396612906829,0.12996327877044678
BT-BV-MS001-CH-CS-CA-DP_0,CA,0.020091681,0.007004058454185724,0.04370751231908798
BT-BV-MS001-CH-CS-CA-DP_0,BT,1.07483369,1.0979509353637695,0.21903932094573975
BT-BV-MS001-CH-CS-CA-DP_0,BV,0.098214733,0.13044308125972748,0.14131996035575867
BT-BV-MS001-CH-CS-CA-DP_0,CS,0.029112614,0.012622378766536713,0.11703374236822128
BT-BV-MS001-CH-CS-CA-DP_0,CD,0.536802196,0.33812767267227173,0.10715847462415695
BT-BV-MS001-CH-CS-CA-DP_0,DP,0.045720534,0.02232152409851551,0.13027693331241608
BT-BV-MS001-CH-CS-CA-DP_0,CH,0.079807893,0.13805755972862244,0.11931227892637253
BT-BV-MS001-CH-CS-CA-DP_0,CA,0.065923958,0.005727783776819706,0.04385470971465111
BT-BV-MS001-CH-CS-CA-DP_0,BT,0.994797034,1.081722378730774,0.21838442981243134
BT-BV-MS001-CH-CS-CA-DP_0,BV,0.016398097,0.011120405979454517,0.13929232954978943
BT-BV-MS001-CH-CS-CA-DP_0,CS,0.061363129,3.713465412147343e-05,0.11675238609313965
BT-BV-MS001-CH-CS-CA-DP_0,CD,0.62707319,0.46168792247772217,0.10844248533248901
BT-BV-MS001-CH-CS-CA-DP_0,DP,0.051347453,0.006331612356007099,0.1302490085363388
BT-BV-MS001-CH-CS-CA-DP_0,CH,0.092263819,0.09666647017002106,0.11966448277235031
BU-BV-CA-CH,CA,0.004616788,0.0005019945674575865,0.04367567598819733
BU-BV-CA-CH,BU,1.017512405,0.7611770629882812,0.16227474808692932
BU-BV-CA-CH,BV,0.418207935,0.4296659827232361,0.14621412754058838
BU-BV-CA-CH,CH,0.060829494,0.17522692680358887,0.12112574279308319
BU-BV-CA-CH,CA,0.029296744,1.0087712887241196e-08,0.043672140687704086
BU-BV-CA-CH,BU,1.073693261,0.8358367681503296,0.16280771791934967
BU-BV-CA-CH,BV,0.056462061,0.3810599148273468,0.15431804955005646
BU-BV-CA-CH,CH,0.355881239,0.15149147808551788,0.12123854458332062
BU-CA-MS001-CH-CS,CA,0.002283376,0.00023362497449852526,0.043672848492860794
BU-CA-MS001-CH-CS,BU,0.531532285,0.6473098993301392,0.15701916813850403
BU-CA-MS001-CH-CS,CS,0.030853721,0.03647962957620621,0.11922907084226608
BU-CA-MS001-CH-CS,CD,0.394283277,0.42248713970184326,0.1079537644982338
BU-CA-MS001-CH-CS,CH,0.012214006,0.08981155604124069,0.11939533054828644
BU-CA-MS001-CH-CS,CA,0.008825883,1.825145368172798e-08,0.043672140687704086
BU-CA-MS001-CH-CS,BU,0.534081222,0.5743810534477234,0.15956167876720428
BU-CA-MS001-CH-CS,CS,0.09581001,6.286716234171763e-05,0.11675265431404114
BU-CA-MS001-CH-CS,CD,0.485611866,0.6109801530838013,0.10699021816253662
BU-CA-MS001-CH-CS,CH,0.037171035,0.0646507665514946,0.12005770206451416
BV-CA-MS001-CH-CS,CA,0.005360866,0.023691173642873764,0.043952129781246185
BV-CA-MS001-CH-CS,BV,0.404686335,0.44702252745628357,0.14365169405937195
BV-CA-MS001-CH-CS,CS,0.045403778,0.020330118015408516,0.11763355135917664
BV-CA-MS001-CH-CS,CD,0.340075542,0.34260067343711853,0.10772962123155594
BV-CA-MS001-CH-CS,CH,0.100640166,0.22684963047504425,0.12053219974040985
BV-CA-MS001-CH-CS,CA,0.099078332,0.12938037514686584,0.04949384555220604
BV-CA-MS001-CH-CS,BV,0.414787281,0.459495484828949,0.148010715842247
BV-CA-MS001-CH-CS,CS,0.177015359,0.0012938197469338775,0.11681568622589111
BV-CA-MS001-CH-CS,CD,0.422064481,0.27785688638687134,0.12154754251241684
BV-CA-MS001-CH-CS,CH,0.085221206,0.21294285356998444,0.12121103703975677
BT-BV-MS001-CH-BU-CS-DP_0,BT,0.683111669,0.8176353573799133,0.21370117366313934
BT-BV-MS001-CH-BU-CS-DP_0,BU,0.375158092,0.24597005546092987,0.14890120923519135
BT-BV-MS001-CH-BU-CS-DP_0,BV,0.086270688,0.11996736377477646,0.1407734751701355
BT-BV-MS001-CH-BU-CS-DP_0,CS,0.02644671,0.03141532465815544,0.12045378983020782
BT-BV-MS001-CH-BU-CS-DP_0,CD,0.543376968,0.43137094378471375,0.11500275880098343
BT-BV-MS001-CH-BU-CS-DP_0,DP,0.026503928,0.028649182990193367,0.1329941302537918
BT-BV-MS001-CH-BU-CS-DP_0,CH,0.108798586,0.07992127537727356,0.10127147287130356
BT-BV-MS001-CH-BU-CS-DP_0,BT,0.656287565,0.7874199151992798,0.21634724736213684
BT-BV-MS001-CH-BU-CS-DP_0,BU,0.298780492,0.22022540867328644,0.15133364498615265
BT-BV-MS001-CH-BU-CS-DP_0,BV,0.011481231,0.0073387231677770615,0.13940411806106567
BT-BV-MS001-CH-BU-CS-DP_0,CS,0.086965211,0.006060382816940546,0.12038519978523254
BT-BV-MS001-CH-BU-CS-DP_0,CD,0.581471762,0.5560954809188843,0.11621351540088654
BT-BV-MS001-CH-BU-CS-DP_0,DP,0.020808276,0.04564399644732475,0.1364361047744751
BT-BV-MS001-CH-BU-CS-DP_0,CH,0.081872147,0.033490974456071854,0.10141933709383011
BU-BV-CA-CH-DP,CA,0.006034828,0.015321914106607437,0.043480779975652695
BU-BV-CA-CH-DP,BU,0.83136618,0.7553616762161255,0.15348321199417114
BU-BV-CA-CH-DP,BV,0.262222094,0.3543001413345337,0.14473803341388702
BU-BV-CA-CH-DP,DP,0.099728572,0.18141469359397888,0.13788215816020966
BU-BV-CA-CH-DP,CH,0.068481638,0.19488868117332458,0.10241901874542236
BU-BV-CA-CH-DP,CA,0.010589086,0.0009194785379804671,0.04338253661990166
