Comms,Richness,Objective
CD+,1,0.0
CD+DP,2,1.2534700366003158
CD+CA,2,0.8303074111439717
CD+CA-DP,3,1.6048193371341526
CD+CS,2,0.6915186425404869
CD+CS-DP,3,1.6004343660434266
CD+CS-CA,3,1.21434820124081
CD+CS-CA-DP,4,1.8539639551724694
CD+BU,2,0.1845433001919652
CD+BU-DP,3,1.200518868635502
CD+BU-CA,3,0.6825176269120092
CD+BU-CA-DP,4,1.45925249554673
CD+BU-CS,3,0.6608346437617207
CD+BU-CS-DP,4,1.482877287291446
CD+BU-CS-CA,4,1.0268572605386055
CD+BU-CS-CA-DP,5,1.6859658008479332
CD+CH,2,7.317216794101558
CD+CH-DP,3,7.349138468922096
CD+CH-CA,3,7.517769693225925
CD+CH-CA-DP,4,7.457254935436101
CD+CH-CS,3,7.422824506818943
CD+CH-CS-DP,4,7.432075916466358
CD+CH-CS-CA,4,7.5784989403826835
CD+CH-CS-CA-DP,5,7.518628221575398
CD+CH-BU,3,6.74295629161809
CD+CH-BU-DP,4,6.873431465227384
CD+CH-BU-CA,4,6.911949414455767
CD+CH-BU-CA-DP,5,6.9770397376649225
CD+CH-BU-CS,4,6.918045832414407
CD+CH-BU-CS-DP,5,6.9908531540054435
CD+CH-BU-CS-CA,5,7.051257481646475
CD+CH-BU-CS-CA-DP,6,7.076093981441641
CD+BV,2,0.5062204179715124
CD+BV-DP,3,1.266993891599835
CD+BV-CA,3,1.3316747270220368
CD+BV-CA-DP,4,1.6334456152909862
CD+BV-CS,3,0.9223478638319946
CD+BV-CS-DP,4,1.5312801184778912
CD+BV-CS-CA,4,1.5788995121054494
CD+BV-CS-CA-DP,5,1.8325450425701462
CD+BV-BU,3,0.5398805834428995
CD+BV-BU-DP,4,1.2658440634912367
CD+BV-BU-CA,4,1.052845219720382
CD+BV-BU-CA-DP,5,1.502598112639113
CD+BV-BU-CS,4,0.8785351871379774
CD+BV-BU-CS-DP,5,1.4910041450009643
CD+BV-BU-CS-CA,5,1.305312022186662
CD+BV-BU-CS-CA-DP,6,1.6920790850774043
CD+BV-CH,3,7.464872523305974
CD+BV-CH-DP,4,7.487460556763166
CD+BV-CH-CA,4,7.784065598850042
CD+BV-CH-CA-DP,5,7.63944428782834
CD+BV-CH-CS,4,7.533368570007839
CD+BV-CH-CS-DP,5,7.545761641837199
CD+BV-CH-CS-CA,5,7.802764972747891
CD+BV-CH-CS-CA-DP,6,7.676103056921641
CD+BV-CH-BU,4,6.913193895462518
CD+BV-CH-BU-DP,5,7.014381878306062
