Comms,Richness,CD OD
CD+,1,0.57898337
CD+DP,2,0.51563716
CD+CA,2,0.5462903
CD+CA-DP,3,0.5087431
CD+CS,2,0.6000482
CD+CS-DP,3,0.53418714
CD+CS-CA,3,0.57560885
CD+CS-CA-DP,4,0.5282091
CD+BU,2,0.67534304
CD+BU-DP,3,0.5667179
CD+BU-CA,3,0.675327
CD+BU-CA-DP,4,0.569863
CD+BU-CS,3,0.68007773
CD+BU-CS-DP,4,0.5756539
CD+BU-CS-CA,4,0.68022513
CD+BU-CS-CA-DP,5,0.5788743
CD+CH,2,0.2841237
CD+CH-DP,3,0.16805853
CD+CH-CA,3,0.23448105
CD+CH-CA-DP,4,0.16041861
CD+CH-CS,3,0.3855151
CD+CH-CS-DP,4,0.22531277
CD+CH-CS-CA,4,0.342847
CD+CH-CS-CA-DP,5,0.21871613
CD+CH-BU,3,0.557275
CD+CH-BU-DP,4,0.3580039
CD+CH-BU-CA,4,0.55547863
CD+CH-BU-CA-DP,5,0.35951668
CD+CH-BU-CS,4,0.5707144
CD+CH-BU-CS-DP,5,0.37206656
CD+CH-BU-CS-CA,5,0.56968033
CD+CH-BU-CS-CA-DP,6,0.3738702
CD+BV,2,0.81072503
CD+BV-DP,3,0.789248
CD+BV-CA,3,0.7288768
CD+BV-CA-DP,4,0.7307749
CD+BV-CS,3,0.8103825
CD+BV-CS-DP,4,0.7908022
CD+BV-CS-CA,4,0.735394
CD+BV-CS-CA-DP,5,0.7360707
CD+BV-BU,3,0.77348894
CD+BV-BU-DP,4,0.71699405
CD+BV-BU-CA,4,0.77540636
CD+BV-BU-CA-DP,5,0.7241018
CD+BV-BU-CS,4,0.77511287
CD+BV-BU-CS-DP,5,0.7245363
CD+BV-BU-CS-CA,5,0.77682745
CD+BV-BU-CS-CA-DP,6,0.73042303
CD+BV-CH,3,0.4919204
CD+BV-CH-DP,4,0.39756387
CD+BV-CH-CA,4,0.32671183
CD+BV-CH-CA-DP,5,0.32215884
CD+BV-CH-CS,4,0.50152016
CD+BV-CH-CS-DP,5,0.4104323
CD+BV-CH-CS-CA,5,0.35781655
CD+BV-CH-CS-CA-DP,6,0.34050807
CD+BV-CH-BU,4,0.5991858
CD+BV-CH-BU-DP,5,0.42499906
CD+BV-CH-BU-CA,5,0.59817123
CD+BV-CH-BU-CA-DP,6,0.428958
CD+BV-CH-BU-CS,5,0.60210615
CD+BV-CH-BU-CS-DP,6,0.43500787
CD+BV-CH-BU-CS-CA,6,0.60127574
CD+BV-CH-BU-CS-CA-DP,7,0.43862945
CD+BT,2,0.6441368
CD+BT-DP,3,0.6383209
CD+BT-CA,3,0.63718927
CD+BT-CA-DP,4,0.6343124
CD+BT-CS,3,0.6454822
CD+BT-CS-DP,4,0.64004534
CD+BT-CS-CA,4,0.6393477
CD+BT-CS-CA-DP,5,0.6362252
CD+BT-BU,3,0.66808105
CD+BT-BU-DP,4,0.65061677
CD+BT-BU-CA,4,0.6674399
CD+BT-BU-CA-DP,5,0.65186286
CD+BT-BU-CS,4,0.66795135
CD+BT-BU-CS-DP,5,0.653028
CD+BT-BU-CS-CA,5,0.66731656
CD+BT-BU-CS-CA-DP,6,0.65382874
CD+BT-CH,3,0.5367423
CD+BT-CH-DP,4,0.5235737
CD+BT-CH-CA,4,0.5263912
CD+BT-CH-CA-DP,5,0.5173936
CD+BT-CH-CS,4,0.5417939
CD+BT-CH-CS-DP,5,0.52894026
CD+BT-CH-CS-CA,5,0.5327054
CD+BT-CH-CS-CA-DP,6,0.5232509
CD+BT-CH-BU,4,0.58450407
CD+BT-CH-BU-DP,5,0.5431389
CD+BT-CH-BU-CA,5,0.5828446
CD+BT-CH-BU-CA-DP,6,0.5444058
CD+BT-CH-BU-CS,5,0.5858282
CD+BT-CH-BU-CS-DP,6,0.54913527
CD+BT-CH-BU-CS-CA,6,0.5843823
CD+BT-CH-BU-CS-CA-DP,7,0.55008096
CD+BT-BV,3,0.66537166
CD+BT-BV-DP,4,0.6612749
CD+BT-BV-CA,4,0.653594
CD+BT-BV-CA-DP,5,0.6529935
CD+BT-BV-CS,4,0.665892
CD+BT-BV-CS-DP,5,0.6620454
CD+BT-BV-CS-CA,5,0.6552924
CD+BT-BV-CS-CA-DP,6,0.6543081
CD+BT-BV-BU,4,0.68442017
CD+BT-BV-BU-DP,5,0.67384034
CD+BT-BV-BU-CA,5,0.6835465
CD+BT-BV-BU-CA-DP,6,0.674306
CD+BT-BV-BU-CS,5,0.6839246
CD+BT-BV-BU-CS-DP,6,0.6746512
CD+BT-BV-BU-CS-CA,6,0.6829454
CD+BT-BV-BU-CS-CA-DP,7,0.67475504
CD+BT-BV-CH,4,0.54099655
CD+BT-BV-CH-DP,5,0.5307507
CD+BT-BV-CH-CA,5,0.52638245
CD+BT-BV-CH-CA-DP,6,0.52086097
CD+BT-BV-CH-CS,5,0.5434611
CD+BT-BV-CH-CS-DP,6,0.5336488
CD+BT-BV-CH-CS-CA,6,0.53033113
CD+BT-BV-CH-CS-CA-DP,7,0.5244446
CD+BT-BV-CH-BU,5,0.585853
CD+BT-BV-CH-BU-DP,6,0.5538036
CD+BT-BV-CH-BU-CA,6,0.58421636
CD+BT-BV-CH-BU-CA-DP,7,0.55473393
CD+BT-BV-CH-BU-CS,6,0.5860184
CD+BT-BV-CH-BU-CS-DP,7,0.5574808
CD+BT-BV-CH-BU-CS-CA,7,0.5844672
CD+BT-BV-CH-BU-CS-CA-DP,8,0.55803764
