Comms,Richness,Objective
CD+,1,0.0
CD+DP,2,0.8377879807839594
CD+CA,2,0.6486048499236308
CD+CA-DP,3,1.1938876731663353
CD+CS,2,0.249361751639114
CD+CS-DP,3,0.9497160105680962
CD+CS-CA,3,0.6499011015557521
CD+CS-CA-DP,4,1.2083471191628874
CD+BU,2,0.7062151346887884
CD+BU-DP,3,1.2932698646066143
CD+BU-CA,3,1.0806577552338048
CD+BU-CA-DP,4,1.5386813210741597
CD+BU-CS,3,0.7086920032695847
CD+BU-CS-DP,4,1.317556283531749
CD+BU-CS-CA,4,0.9974042510955954
CD+BU-CS-CA-DP,5,1.5121806200061538
CD+CH,2,5.914161593786309
CD+CH-DP,3,5.461674258112908
CD+CH-CA,3,5.69398354092727
CD+CH-CA-DP,4,5.380700262833615
CD+CH-CS,3,4.904767112540348
CD+CH-CS-DP,4,4.908236529374002
CD+CH-CS-CA,4,4.826489701753065
CD+CH-CS-CA-DP,5,4.876044110870181
CD+CH-BU,3,6.057617019937964
CD+CH-BU-DP,4,5.607375577016146
CD+CH-BU-CA,4,5.890481265831968
CD+CH-BU-CA-DP,5,5.543961615396703
CD+CH-BU-CS,4,5.14554174293821
CD+CH-BU-CS-DP,5,5.124373891257815
CD+CH-BU-CS-CA,5,5.086859574465424
CD+CH-BU-CS-CA-DP,6,5.09396739197629
CD+BV,2,-0.32915042150689544
CD+BV-DP,3,0.21526388991244083
CD+BV-CA,3,0.08059440705241272
CD+BV-CA-DP,4,0.48445123532901135
CD+BV-CS,3,-0.0632331799335617
CD+BV-CS-DP,4,0.37942898566169525
CD+BV-CS-CA,4,0.22695989769940716
CD+BV-CS-CA-DP,5,0.5900498771165701
CD+BV-BU,3,0.4452767819166201
CD+BV-BU-DP,4,0.8923811370088757
CD+BV-BU-CA,4,0.6830236160633518
CD+BV-BU-CA-DP,5,1.0547387894927258
CD+BV-BU-CS,4,0.533222998093283
CD+BV-BU-CS-DP,5,0.9509575445661156
CD+BV-BU-CS-CA,5,0.7283979277601667
CD+BV-BU-CS-CA-DP,6,1.087609892863096
CD+BV-CH,3,5.287687495122761
CD+BV-CH-DP,4,5.045083195047113
CD+BV-CH-CA,4,5.119653668102562
CD+BV-CH-CA-DP,5,4.952992507161536
CD+BV-CH-CS,4,4.729581690754515
CD+BV-CH-CS-DP,5,4.654378215459234
CD+BV-CH-CS-CA,5,4.623854294039158
CD+BV-CH-CS-CA-DP,6,4.597959542190847
CD+BV-CH-BU,4,5.647314918436567
CD+BV-CH-BU-DP,5,5.3852582049309
CD+BV-CH-BU-CA,5,5.498564673017483
CD+BV-CH-BU-CA-DP,6,5.30387567956837
CD+BV-CH-BU-CS,5,5.055093036128248
CD+BV-CH-BU-CS-DP,6,4.995007168577643
CD+BV-CH-BU-CS-CA,6,4.9813273901081825
CD+BV-CH-BU-CS-CA-DP,7,4.945531900363918
CD+BT,2,0.2255917557952376
CD+BT-DP,3,0.6688586668092391
CD+BT-CA,3,0.615222097963704
CD+BT-CA-DP,4,0.9387959854639316
CD+BT-CS,3,0.45332752578720914
CD+BT-CS-DP,4,0.8112884092771875
CD+BT-CS-CA,4,0.7386583838687883
CD+BT-CS-CA-DP,5,1.0255527548415948
CD+BT-BU,3,0.7422940869416532
CD+BT-BU-DP,4,1.0785316949596222
CD+BT-BU-CA,4,1.001749847996603
CD+BT-BU-CA-DP,5,1.271596600130506
CD+BT-BU-CS,4,0.8287240274402574
CD+BT-BU-CS-DP,5,1.139535864092867
CD+BT-BU-CS-CA,5,1.0424670446283955
CD+BT-BU-CS-CA-DP,6,1.3030702975787687
CD+BT-CH,3,3.6556109805800485
CD+BT-CH-DP,4,3.618554543095585
CD+BT-CH-CA,4,3.6648663763641105
CD+BT-CH-CA-DP,5,3.6487152066309854
CD+BT-CH-CS,4,3.4036109867144617
CD+BT-CH-CS-DP,5,3.444484549289455
CD+BT-CH-CS-CA,5,3.440639757646286
CD+BT-CH-CS-CA-DP,6,3.485507692685542
CD+BT-CH-BU,4,4.227039400716219
CD+BT-CH-BU-DP,5,4.104794898849666
CD+BT-CH-BU-CA,5,4.157942846189349
CD+BT-CH-BU-CA-DP,6,4.081571486455447
CD+BT-CH-BU-CS,5,3.8595197287065055
CD+BT-CH-BU-CS-DP,6,3.8588576348764567
CD+BT-CH-BU-CS-CA,6,3.8435373429056954
CD+BT-CH-BU-CS-CA-DP,7,3.8581079109286787
CD+BT-BV,3,0.32385194408042217
CD+BT-BV-DP,4,0.6497355709422639
CD+BT-BV-CA,4,0.6017465717634387
CD+BT-BV-CA-DP,5,0.860031640841342
CD+BT-BV-CS,4,0.5008367743647248
CD+BT-BV-CS-DP,5,0.775226036770917
CD+BT-BV-CS-CA,5,0.7198052694450858
CD+BT-BV-CS-CA-DP,6,0.9496009539508705
CD+BT-BV-BU,4,0.7348664474806643
CD+BT-BV-BU-DP,5,1.0032312034116142
CD+BT-BV-BU-CA,5,0.9281160065486134
CD+BT-BV-BU-CA-DP,6,1.1546829805842496
CD+BT-BV-BU-CS,5,0.8262268170638354
CD+BT-BV-BU-CS-DP,6,1.0707216006608657
CD+BT-BV-BU-CS-CA,6,0.9911883910167578
CD+BT-BV-BU-CS-CA-DP,7,1.2030317887511792
CD+BT-BV-CH,4,3.555576949399346
CD+BT-BV-CH-DP,5,3.540721094805977
CD+BT-BV-CH-CA,5,3.563351578554329
CD+BT-BV-CH-CA-DP,6,3.561332910074568
CD+BT-BV-CH-CS,5,3.3791993927894817
CD+BT-BV-CH-CS-DP,6,3.4077269808218196
CD+BT-BV-CH-CS-CA,6,3.40335657211895
CD+BT-BV-CH-CS-CA-DP,7,3.4365799959596943
CD+BT-BV-CH-BU,5,4.0677276918170415
CD+BT-BV-CH-BU-DP,6,3.996529823359179
CD+BT-BV-CH-BU-CA,6,4.00238693148202
CD+BT-BV-CH-BU-CA-DP,7,3.963445394166879
CD+BT-BV-CH-BU-CS,6,3.804038963831811
CD+BT-BV-CH-BU-CS-DP,7,3.8013422939242165
CD+BT-BV-CH-BU-CS-CA,7,3.7763518437135
CD+BT-BV-CH-BU-CS-CA-DP,8,3.788168081747635
