Treatment,Time,Replicate,Toxin,BA,BO,BU,PJ,ER,AC,CC,CD,DP,EL,BY,CG,CH,BL,BF,BT,BV,DL,BH,RI,BP,PC,DF,CA,BC,CS
MS014-CA,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0
MS014-CA,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0
MS014-CA,0,3,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0
MS014-DP,0,1,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-DP,0,2,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-DP,0,3,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-CH,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-CH,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-CH,0,3,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-CS,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005
MS014-CS,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005
MS014-CS,0,3,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005
MS014-BT,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
MS014-BT,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
MS014-BT,0,3,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0
MS014-BU,0,1,0,0,0,0.005,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-BU,0,2,0,0,0,0.005,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-BU,0,3,0,0,0,0.005,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-BV,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0
MS014-BV,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0
MS014-BV,0,3,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0
MS014-EL,0,1,0,0,0,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-EL,0,2,0,0,0,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-EL,0,3,0,0,0,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-BO,0,1,0,0,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-BO,0,2,0,0,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-BO,0,3,0,0,0.005,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-PC,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0
MS014-PC,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0
MS014-PC,0,3,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0
MS014-BH,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0
MS014-BH,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0
MS014-BH,0,3,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0
MS014-ER,0,1,0,0,0,0,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-ER,0,2,0,0,0,0,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-ER,0,3,0,0,0,0,0,0.005,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-PJ,0,1,0,0,0,0,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-PJ,0,2,0,0,0,0,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-PJ,0,3,0,0,0,0,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-AC,0,1,0,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-AC,0,2,0,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-AC,0,3,0,0,0,0,0,0,0.005,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-DL,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
MS014-DL,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
MS014-DL,0,3,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0
MS014-BP,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
MS014-BP,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
MS014-BP,0,3,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0
MS014-CG,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-CG,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-CG,0,3,0,0,0,0,0,0,0,0,0.005,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-RI,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
MS014-RI,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
MS014-RI,0,3,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0
MS014-BA,0,1,0,0.005,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-BA,0,2,0,0.005,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-BA,0,3,0,0.005,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MS014-BC,0,1,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
MS014-BC,0,2,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0
