,Time,Replicate,media,OD
0,0,1,DM29 + GalNAc,0.012600005
1,0,1,DM29 + Fucose,0.002399996
2,0,1,DM29 + Succinate,0.012499988
3,0,1,DM29 + Sorbitol,0.019800007
4,0,1,DM29 + Mannitol,0.019899994
5,0,1,DM29 + Trehalose,0.0075
6,0,2,DM29 + GalNAc,0.012600005
7,0,2,DM29 + Fucose,-0.001200005
8,0,2,DM29 + Succinate,0.007599995
9,0,2,DM29 + Sorbitol,0.019600004
10,0,2,DM29 + Mannitol,0.017199993
11,0,2,DM29 + Trehalose,0.011100002
12,0,3,DM29 + GalNAc,0.006999999
13,0,3,DM29 + Fucose,0.000999987
14,0,3,DM29 + Succinate,0.003199995
15,0,3,DM29 + Sorbitol,0.015600011
16,0,3,DM29 + Mannitol,0.009000003
17,0,3,DM29 + Trehalose,0.007800005
18,3,1,DM29 + GalNAc,0.0352
19,3,1,DM29 + Fucose,0.043499991
20,3,1,DM29 + Succinate,0.036499992
21,3,1,DM29 + Sorbitol,0.049800009
22,3,1,DM29 + Mannitol,0.049600005
23,3,1,DM29 + Trehalose,0.0462
24,3,2,DM29 + GalNAc,0.030100003
25,3,2,DM29 + Fucose,0.027799994
26,3,2,DM29 + Succinate,0.020699993
27,3,2,DM29 + Sorbitol,0.044
28,3,2,DM29 + Mannitol,0.034600005
29,3,2,DM29 + Trehalose,0.047500007
30,3,3,DM29 + GalNAc,0.031100005
31,3,3,DM29 + Fucose,0.0264
32,3,3,DM29 + Succinate,0.025899991
33,3,3,DM29 + Sorbitol,0.038800001
34,3,3,DM29 + Mannitol,0.0317
35,3,3,DM29 + Trehalose,0.0506
36,6,1,DM29 + GalNAc,0.040899992
37,6,1,DM29 + Fucose,0.053599998
38,6,1,DM29 + Succinate,0.044499993
39,6,1,DM29 + Sorbitol,0.0748
40,6,1,DM29 + Mannitol,0.093999997
41,6,1,DM29 + Trehalose,0.070100002
42,6,2,DM29 + GalNAc,0.040800005
43,6,2,DM29 + Fucose,0.03549999
44,6,2,DM29 + Succinate,0.029199988
45,6,2,DM29 + Sorbitol,0.069499999
46,6,2,DM29 + Mannitol,0.070299998
47,6,2,DM29 + Trehalose,0.080499999
48,6,3,DM29 + GalNAc,0.041199997
49,6,3,DM29 + Fucose,0.0352
50,6,3,DM29 + Succinate,0.036599994
51,6,3,DM29 + Sorbitol,0.059
