,Time,Replicate,media,OD,Strain
0,0,1,CM,0.003866667,DSM 27147
1,0,2,CM,0.000966663,DSM 27147
2,0,3,CM,0.005666668,DSM 27147
3,3,1,CM,0.013366664,DSM 27147
4,3,2,CM,0.011566663,DSM 27147
5,3,3,CM,0.016166667,DSM 27147
6,6,1,CM,0.182966659,DSM 27147
7,6,2,CM,0.188466677,DSM 27147
8,6,3,CM,0.191366652,DSM 27147
9,9,1,CM,0.569866637,DSM 27147
10,9,2,CM,0.576366642,DSM 27147
11,9,3,CM,0.564366678,DSM 27147
12,12,1,CM,0.632666687,DSM 27147
13,12,2,CM,0.638566652,DSM 27147
14,12,3,CM,0.638966659,DSM 27147
15,15,1,CM,0.624966661,DSM 27147
16,15,2,CM,0.65106664,DSM 27147
17,15,3,CM,0.654266695,DSM 27147
18,18,1,CM,0.513266662,DSM 27147
19,18,2,CM,0.528766671,DSM 27147
20,18,3,CM,0.554866651,DSM 27147
21,21,1,CM,0.495066682,DSM 27147
22,21,2,CM,0.49786667,DSM 27147
23,21,3,CM,0.49846665,DSM 27147
24,24,1,CM,0.487566689,DSM 27147
25,24,2,CM,0.490166644,DSM 27147
26,24,3,CM,0.487066666,DSM 27147
27,27,1,CM,0.485466639,DSM 27147
28,27,2,CM,0.491766671,DSM 27147
29,27,3,CM,0.489266673,DSM 27147
30,30,1,CM,0.476866642,DSM 27147
31,30,2,CM,0.482366661,DSM 27147
32,30,3,CM,0.48056666,DSM 27147
33,33,1,CM,0.472766677,DSM 27147
34,33,2,CM,0.480066637,DSM 27147
35,33,3,CM,0.479166666,DSM 27147
36,36,1,CM,0.460166672,DSM 27147
37,36,2,CM,0.465666691,DSM 27147
38,36,3,CM,0.465266684,DSM 27147
39,39,1,CM,0.456766644,DSM 27147
40,39,2,CM,0.46206669,DSM 27147
41,39,3,CM,0.460766653,DSM 27147
42,42,1,CM,0.44476668,DSM 27147
43,42,2,CM,0.449566642,DSM 27147
44,42,3,CM,0.449966649,DSM 27147
45,45,1,CM,0.437566677,DSM 27147
46,45,2,CM,0.441866675,DSM 27147
47,45,3,CM,0.442166666,DSM 27147
48,48,1,CM,0.427866677,DSM 27147
49,48,2,CM,0.437966684,DSM 27147
50,48,3,CM,0.437366644,DSM 27147
51,51,1,CM,0.394066671,DSM 27147
52,51,2,CM,0.433866659,DSM 27147
53,51,3,CM,0.433166662,DSM 27147
54,54,1,CM,0.383566657,DSM 27147
55,54,2,CM,0.42656664,DSM 27147
56,54,3,CM,0.423766652,DSM 27147
57,57,1,CM,0.397566656,DSM 27147
58,57,2,CM,0.425266663,DSM 27147
59,57,3,CM,0.423966685,DSM 27147
60,60,1,CM,0.395166675,DSM 27147
61,60,2,CM,0.429066638,DSM 27147
62,60,3,CM,0.419666687,DSM 27147
63,63,1,CM,0.429666677,DSM 27147
64,63,2,CM,0.430566648,DSM 27147
65,63,3,CM,0.420266667,DSM 27147
66,66,1,CM,0.438766638,DSM 27147
67,66,2,CM,0.439866642,DSM 27147
68,66,3,CM,0.412166694,DSM 27147
