,Time,Replicate,media,OD,Strain
0,0,1,CM,0.005166659,MS001
1,0,2,CM,0.00406667,MS001
2,0,3,CM,0.013666669,MS001
3,0,1,CM,0.00756667,MS002
4,0,2,CM,0.013466666,MS002
5,0,3,CM,0.004466662,MS002
6,0,1,CM,0.00346666,MS004
7,0,2,CM,0.007966662,MS004
8,0,3,CM,0.00226667,MS004
9,0,1,CM,0.008066664,MS006
10,0,2,CM,0.001566673,MS006
11,0,3,CM,0.005366663,MS006
12,0,1,CM,0.00666667,MS008
13,0,2,CM,0.003666664,MS008
14,0,3,CM,0.007666672,MS008
15,0,1,CM,0.011166671,MS010
16,0,2,CM,0.011266673,MS010
17,0,3,CM,0.027166659,MS010
18,0,1,CM,0.009066666,MS011
19,0,2,CM,0.011266673,MS011
20,0,3,CM,0.003666664,MS011
21,0,1,CM,0.005666668,MS013
22,0,2,CM,0.004466662,MS013
23,0,3,CM,0.005966673,MS013
24,0,1,CM,0.005766669,MS014
25,0,2,CM,0.008266667,MS014
26,0,3,CM,0.009166667,MS014
27,3,1,CM,0.027866671,MS001
28,3,2,CM,0.025266672,MS001
29,3,3,CM,0.03486667,MS001
30,3,1,CM,0.017066667,MS002
31,3,2,CM,0.02606667,MS002
32,3,3,CM,0.014866659,MS002
33,3,1,CM,0.007266665,MS004
34,3,2,CM,0.010266671,MS004
35,3,3,CM,0.005366663,MS004
36,3,1,CM,0.014866659,MS006
37,3,2,CM,0.008966664,MS006
38,3,3,CM,0.01316666,MS006
39,3,1,CM,0.017066667,MS008
40,3,2,CM,0.016066665,MS008
41,3,3,CM,0.018866668,MS008
42,3,1,CM,0.024066666,MS010
43,3,2,CM,0.022966662,MS010
44,3,3,CM,0.036166662,MS010
45,3,1,CM,0.018666664,MS011
46,3,2,CM,0.018966669,MS011
47,3,3,CM,0.013766671,MS011
48,3,1,CM,0.017366672,MS013
49,3,2,CM,0.01546667,MS013
50,3,3,CM,0.018766666,MS013
51,3,1,CM,0.028466666,MS014
52,3,2,CM,0.030666659,MS014
53,3,3,CM,0.029666672,MS014
54,6,1,CM,0.327366659,MS001
55,6,2,CM,0.313366661,MS001
56,6,3,CM,0.32066668,MS001
57,6,1,CM,0.254366675,MS002
58,6,2,CM,0.268966654,MS002
59,6,3,CM,0.259966681,MS002
60,6,1,CM,0.071166659,MS004
61,6,2,CM,0.069066668,MS004
62,6,3,CM,0.062366659,MS004
63,6,1,CM,0.203066656,MS006
64,6,2,CM,0.193366656,MS006
65,6,3,CM,0.185066679,MS006
66,6,1,CM,0.256266663,MS008
67,6,2,CM,0.250466654,MS008
68,6,3,CM,0.231866667,MS008
69,6,1,CM,0.279266665,MS010
70,6,2,CM,0.273266653,MS010
71,6,3,CM,0.280366668,MS010
72,6,1,CM,0.226366678,MS011
73,6,2,CM,0.253466675,MS011
74,6,3,CM,0.238166669,MS011
75,6,1,CM,0.276866654,MS013
76,6,2,CM,0.265366653,MS013
77,6,3,CM,0.27516667,MS013
78,6,1,CM,0.325966666,MS014
79,6,2,CM,0.312466661,MS014
80,6,3,CM,0.30156667,MS014
81,9,1,CM,0.508266667,MS001
82,9,2,CM,0.508866647,MS001
83,9,3,CM,0.510966638,MS001
84,9,1,CM,0.54336665,MS002
85,9,2,CM,0.541266659,MS002
86,9,3,CM,0.543766657,MS002
87,9,1,CM,0.486466685,MS004
88,9,2,CM,0.504266659,MS004
89,9,3,CM,0.507666687,MS004
90,9,1,CM,0.504666666,MS006
91,9,2,CM,0.47936664,MS006
92,9,3,CM,0.504866639,MS006
93,9,1,CM,0.466366688,MS008
94,9,2,CM,0.504866639,MS008
95,9,3,CM,0.470066646,MS008
96,9,1,CM,0.482166687,MS010
97,9,2,CM,0.463766674,MS010
98,9,3,CM,0.473266641,MS010
99,9,1,CM,0.536366681,MS011
100,9,2,CM,0.544166664,MS011
101,9,3,CM,0.54246668,MS011
102,9,1,CM,0.594266692,MS013
103,9,2,CM,0.579266647,MS013
104,9,3,CM,0.57946668,MS013
105,9,1,CM,0.550566653,MS014
106,9,2,CM,0.55276666,MS014
107,9,3,CM,0.549466649,MS014
108,12,1,CM,0.495566646,MS001
109,12,2,CM,0.521566669,MS001
110,12,3,CM,0.511866668,MS001
111,12,1,CM,0.585566679,MS002
112,12,2,CM,0.588066677,MS002
113,12,3,CM,0.592466692,MS002
114,12,1,CM,0.552566687,MS004
115,12,2,CM,0.573666671,MS004
116,12,3,CM,0.576966682,MS004
117,12,1,CM,0.494866649,MS006
118,12,2,CM,0.545566658,MS006
119,12,3,CM,0.49966667,MS006
120,12,1,CM,0.455166677,MS008
121,12,2,CM,0.503766695,MS008
122,12,3,CM,0.477766672,MS008
123,12,1,CM,0.491966644,MS010
124,12,2,CM,0.478666643,MS010
125,12,3,CM,0.492066661,MS010
126,12,1,CM,0.579066673,MS011
127,12,2,CM,0.588666657,MS011
128,12,3,CM,0.58916668,MS011
129,12,1,CM,0.528666655,MS013
130,12,2,CM,0.548866669,MS013
131,12,3,CM,0.553566674,MS013
132,12,1,CM,0.628566662,MS014
133,12,2,CM,0.619966665,MS014
134,12,3,CM,0.623866657,MS014
135,15,1,CM,0.495566646,MS001
136,15,2,CM,0.523666659,MS001
137,15,3,CM,0.510266641,MS001
138,15,1,CM,0.576966682,MS002
139,15,2,CM,0.573966661,MS002
140,15,3,CM,0.580466667,MS002
141,15,1,CM,0.565866688,MS004
142,15,2,CM,0.586266676,MS004
143,15,3,CM,0.597966651,MS004
144,15,1,CM,0.496066669,MS006
145,15,2,CM,0.598766664,MS006
146,15,3,CM,0.480466643,MS006
147,15,1,CM,0.432966689,MS008
148,15,2,CM,0.458566645,MS008
149,15,3,CM,0.43686668,MS008
150,15,1,CM,0.484566668,MS010
151,15,2,CM,0.474866668,MS010
152,15,3,CM,0.483766655,MS010
153,15,1,CM,0.507066647,MS011
