,Time,Replicate,media,OD,Strain
0,0,1,DM29 + GalNAc,0.017599993,MS001
1,0,1,DM29 + Fucose,0.010600001,MS001
2,0,1,DM29 + Succinate,0.012299992,MS001
3,0,1,DM29 + Sorbitol,0.008500002,MS001
4,0,1,DM29 + Mannitol,0.009099998,MS001
5,0,1,DM29 + Trehalose,-0.000100002,MS001
6,0,2,DM29 + GalNAc,0.013800003,MS001
7,0,2,DM29 + Fucose,0.010800004,MS001
8,0,2,DM29 + Succinate,0.005800001,MS001
9,0,2,DM29 + Sorbitol,0.011,MS001
10,0,2,DM29 + Mannitol,0.008500002,MS001
11,0,2,DM29 + Trehalose,-0.006300002,MS001
12,0,3,DM29 + GalNAc,0.017599993,MS001
13,0,3,DM29 + Fucose,0.015399993,MS001
14,0,3,DM29 + Succinate,0.012800001,MS001
15,0,3,DM29 + Sorbitol,0.008299999,MS001
16,0,3,DM29 + Mannitol,0.012100004,MS001
17,0,3,DM29 + Trehalose,-0.005500004,MS001
18,3,1,DM29 + GalNAc,0.040100001,MS001
19,3,1,DM29 + Fucose,0.041899994,MS001
20,3,1,DM29 + Succinate,0.020100005,MS001
21,3,1,DM29 + Sorbitol,0.022199996,MS001
22,3,1,DM29 + Mannitol,0.017699994,MS001
23,3,1,DM29 + Trehalose,0.005999997,MS001
24,3,2,DM29 + GalNAc,0.051700004,MS001
25,3,2,DM29 + Fucose,0.044699997,MS001
26,3,2,DM29 + Succinate,0.032400005,MS001
27,3,2,DM29 + Sorbitol,0.02889999,MS001
28,3,2,DM29 + Mannitol,0.021499999,MS001
29,3,2,DM29 + Trehalose,0.004199997,MS001
30,3,3,DM29 + GalNAc,0.0427,MS001
31,3,3,DM29 + Fucose,0.047000006,MS001
32,3,3,DM29 + Succinate,0.026599996,MS001
33,3,3,DM29 + Sorbitol,0.020599999,MS001
34,3,3,DM29 + Mannitol,0.023099996,MS001
35,3,3,DM29 + Trehalose,0.002200007,MS001
36,6,1,DM29 + GalNAc,0.0779,MS001
37,6,1,DM29 + Fucose,0.070899993,MS001
38,6,1,DM29 + Succinate,0.062100001,MS001
39,6,1,DM29 + Sorbitol,0.098599993,MS001
40,6,1,DM29 + Mannitol,0.110399999,MS001
41,6,1,DM29 + Trehalose,0.055299997,MS001
42,6,2,DM29 + GalNAc,0.101299994,MS001
43,6,2,DM29 + Fucose,0.086699993,MS001
44,6,2,DM29 + Succinate,0.082699992,MS001
45,6,2,DM29 + Sorbitol,0.115100004,MS001
46,6,2,DM29 + Mannitol,0.128799997,MS001
47,6,2,DM29 + Trehalose,0.073500007,MS001
48,6,3,DM29 + GalNAc,0.083400004,MS001
49,6,3,DM29 + Fucose,0.0889,MS001
50,6,3,DM29 + Succinate,0.079299994,MS001
51,6,3,DM29 + Sorbitol,0.105099999,MS001
52,6,3,DM29 + Mannitol,0.144599996,MS001
53,6,3,DM29 + Trehalose,0.070199996,MS001
54,9,1,DM29 + GalNAc,0.156599991,MS001
55,9,1,DM29 + Fucose,0.109799996,MS001
56,9,1,DM29 + Succinate,0.20409999,MS001
57,9,1,DM29 + Sorbitol,0.246399991,MS001
58,9,1,DM29 + Mannitol,0.475700013,MS001
59,9,1,DM29 + Trehalose,0.275600001,MS001
60,9,2,DM29 + GalNAc,0.169399999,MS001
61,9,2,DM29 + Fucose,0.127399996,MS001
62,9,2,DM29 + Succinate,0.2126,MS001
63,9,2,DM29 + Sorbitol,0.26919999,MS001
64,9,2,DM29 + Mannitol,0.485700004,MS001
65,9,2,DM29 + Trehalose,0.273100004,MS001
66,9,3,DM29 + GalNAc,0.157299988,MS001
67,9,3,DM29 + Fucose,0.122700006,MS001
68,9,3,DM29 + Succinate,0.218799986,MS001
69,9,3,DM29 + Sorbitol,0.262599997,MS001
70,9,3,DM29 + Mannitol,0.472400002,MS001
71,9,3,DM29 + Trehalose,0.269399986,MS001
72,12,1,DM29 + GalNAc,0.26070001,MS001
73,12,1,DM29 + Fucose,0.243099987,MS001
74,12,1,DM29 + Succinate,0.285499997,MS001
75,12,1,DM29 + Sorbitol,0.259400003,MS001
76,12,1,DM29 + Mannitol,0.521099977,MS001
77,12,1,DM29 + Trehalose,0.297900006,MS001
78,12,2,DM29 + GalNAc,0.27830001,MS001
79,12,2,DM29 + Fucose,0.282299995,MS001
80,12,2,DM29 + Succinate,0.313699998,MS001
81,12,2,DM29 + Sorbitol,0.280299984,MS001
82,12,2,DM29 + Mannitol,0.50340002,MS001
83,12,2,DM29 + Trehalose,0.275300011,MS001
84,12,3,DM29 + GalNAc,0.264399998,MS001
85,12,3,DM29 + Fucose,0.282000005,MS001
86,12,3,DM29 + Succinate,0.291699983,MS001
87,12,3,DM29 + Sorbitol,0.2777,MS001
88,12,3,DM29 + Mannitol,0.473600023,MS001
89,12,3,DM29 + Trehalose,0.280300006,MS001
