,Time,Replicate,media,OD,Strain
0,0,1,CM,0.005466664,Strain 289
1,0,2,CM,0.00696666,Strain 289
2,0,3,CM,0.013766671,Strain 289
3,0,1,CM,0.004166672,Strain 290
4,0,2,CM,0.016866663,Strain 290
5,0,3,CM,0.007466668,Strain 290
6,0,1,CM,0.003066668,Strain 291
7,0,2,CM,0.001166666,Strain 291
8,0,3,CM,0.009266669,Strain 291
9,0,1,CM,0.000266666,Strain 292
10,0,2,CM,0.002366671,Strain 292
11,0,3,CM,0.009566659,Strain 292
12,0,1,CM,0.003366673,Strain 293
13,0,2,CM,0.016766662,Strain 293
14,0,3,CM,0.019966671,Strain 293
15,0,1,CM,0.011666665,Strain 294
16,0,2,CM,0.01136666,Strain 294
17,0,3,CM,0.010466659,Strain 294
18,0,1,CM,0.004666666,Strain 295
19,0,2,CM,0.009366671,Strain 295
20,0,3,CM,0.01986667,Strain 295
21,0,1,CM,0.006166661,Strain 296
22,0,2,CM,0.00436666,Strain 296
23,0,3,CM,0.005066672,Strain 296
24,0,1,CM,0.005166659,Strain 298
25,0,2,CM,0.014366666,Strain 298
26,0,3,CM,0.007066661,Strain 298
27,3,1,CM,0.021566669,Strain 289
28,3,2,CM,0.019366661,Strain 289
29,3,3,CM,0.023666659,Strain 289
30,3,1,CM,0.012766669,Strain 290
31,3,2,CM,0.023166666,Strain 290
32,3,3,CM,0.013766671,Strain 290
33,3,1,CM,0.018366659,Strain 291
34,3,2,CM,0.019466663,Strain 291
35,3,3,CM,0.025366673,Strain 291
36,3,1,CM,0.008966664,Strain 292
37,3,2,CM,0.011166671,Strain 292
38,3,3,CM,0.016766662,Strain 292
39,3,1,CM,0.01316666,Strain 293
40,3,2,CM,0.022566671,Strain 293
41,3,3,CM,0.024466673,Strain 293
42,3,1,CM,0.018866668,Strain 294
43,3,2,CM,0.017866665,Strain 294
44,3,3,CM,0.017366672,Strain 294
45,3,1,CM,0.015866661,Strain 295
46,3,2,CM,0.021766672,Strain 295
47,3,3,CM,0.027966673,Strain 295
48,3,1,CM,0.017066667,Strain 296
49,3,2,CM,0.015366668,Strain 296
50,3,3,CM,0.015366668,Strain 296
51,3,1,CM,0.01666666,Strain 298
52,3,2,CM,0.022066662,Strain 298
53,3,3,CM,0.016466672,Strain 298
54,6,1,CM,0.271266678,Strain 289
55,6,2,CM,0.251366654,Strain 289
56,6,3,CM,0.243566671,Strain 289
57,6,1,CM,0.194566676,Strain 290
58,6,2,CM,0.212466666,Strain 290
59,6,3,CM,0.174866656,Strain 290
60,6,1,CM,0.320466677,Strain 291
61,6,2,CM,0.321966657,Strain 291
62,6,3,CM,0.312966654,Strain 291
63,6,1,CM,0.140866676,Strain 292
64,6,2,CM,0.137366662,Strain 292
65,6,3,CM,0.139266679,Strain 292
66,6,1,CM,0.234666655,Strain 293
67,6,2,CM,0.227266679,Strain 293
68,6,3,CM,0.233266661,Strain 293
69,6,1,CM,0.245566675,Strain 294
70,6,2,CM,0.256466666,Strain 294
71,6,3,CM,0.250666657,Strain 294
72,6,1,CM,0.305066654,Strain 295
73,6,2,CM,0.292066673,Strain 295
74,6,3,CM,0.297566662,Strain 295
75,6,1,CM,0.294466654,Strain 296
76,6,2,CM,0.278966675,Strain 296
77,6,3,CM,0.286866674,Strain 296
78,6,1,CM,0.225466678,Strain 298
79,6,2,CM,0.218666652,Strain 298
80,6,3,CM,0.220066676,Strain 298
81,9,1,CM,0.52426664,Strain 289
82,9,2,CM,0.530566672,Strain 289
83,9,3,CM,0.531266669,Strain 289
84,9,1,CM,0.459266642,Strain 290
85,9,2,CM,0.464266637,Strain 290
86,9,3,CM,0.470966676,Strain 290
87,9,1,CM,0.475266675,Strain 291
88,9,2,CM,0.476666668,Strain 291
89,9,3,CM,0.49936668,Strain 291
90,9,1,CM,0.503066638,Strain 292
91,9,2,CM,0.493366638,Strain 292
92,9,3,CM,0.501466671,Strain 292
93,9,1,CM,0.464366654,Strain 293
94,9,2,CM,0.465966681,Strain 293
95,9,3,CM,0.47356669,Strain 293
96,9,1,CM,0.483966688,Strain 294
97,9,2,CM,0.496766666,Strain 294
98,9,3,CM,0.52606664,Strain 294
99,9,1,CM,0.541366676,Strain 295
100,9,2,CM,0.528866688,Strain 295
101,9,3,CM,0.529366652,Strain 295
102,9,1,CM,0.478466669,Strain 296
103,9,2,CM,0.462566653,Strain 296
104,9,3,CM,0.488066653,Strain 296
105,9,1,CM,0.544666687,Strain 298
106,9,2,CM,0.547566691,Strain 298
107,9,3,CM,0.547666648,Strain 298
108,12,1,CM,0.565866688,Strain 289
109,12,2,CM,0.573566655,Strain 289
110,12,3,CM,0.570166687,Strain 289
111,12,1,CM,0.500666657,Strain 290
112,12,2,CM,0.497966686,Strain 290
113,12,3,CM,0.557366649,Strain 290
114,12,1,CM,0.42656664,Strain 291
115,12,2,CM,0.465766648,Strain 291
116,12,3,CM,0.493266681,Strain 291
117,12,1,CM,0.569866637,Strain 292
118,12,2,CM,0.563166657,Strain 292
119,12,3,CM,0.546466688,Strain 292
120,12,1,CM,0.476766685,Strain 293
121,12,2,CM,0.480466643,Strain 293
122,12,3,CM,0.490166644,Strain 293
123,12,1,CM,0.510866681,Strain 294
124,12,2,CM,0.515966693,Strain 294
125,12,3,CM,0.57036666,Strain 294
126,12,1,CM,0.555566648,Strain 295
127,12,2,CM,0.579266647,Strain 295
128,12,3,CM,0.598066667,Strain 295
129,12,1,CM,0.501066664,Strain 296
130,12,2,CM,0.497466663,Strain 296
131,12,3,CM,0.502066651,Strain 296
132,12,1,CM,0.543266693,Strain 298
133,12,2,CM,0.555666665,Strain 298
134,12,3,CM,0.563666681,Strain 298
135,15,1,CM,0.533566693,Strain 289
136,15,2,CM,0.542566637,Strain 289
137,15,3,CM,0.535966674,Strain 289
138,15,1,CM,0.465166667,Strain 290
139,15,2,CM,0.46176664,Strain 290
140,15,3,CM,0.526766637,Strain 290
141,15,1,CM,0.423866669,Strain 291
142,15,2,CM,0.446966687,Strain 291
143,15,3,CM,0.477066675,Strain 291
144,15,1,CM,0.578966657,Strain 292
145,15,2,CM,0.571366647,Strain 292
146,15,3,CM,0.540866653,Strain 292
147,15,1,CM,0.455566684,Strain 293
148,15,2,CM,0.463066677,Strain 293
149,15,3,CM,0.469566682,Strain 293
150,15,1,CM,0.509166637,Strain 294
151,15,2,CM,0.488366643,Strain 294
152,15,3,CM,0.556766668,Strain 294
153,15,1,CM,0.501266638,Strain 295
154,15,2,CM,0.51576666,Strain 295
155,15,3,CM,0.518266657,Strain 295
156,15,1,CM,0.511266688,Strain 296
157,15,2,CM,0.491066674,Strain 296
158,15,3,CM,0.49936668,Strain 296
159,15,1,CM,0.539366642,Strain 298
160,15,2,CM,0.56186668,Strain 298
161,15,3,CM,0.562266687,Strain 298
162,18,1,CM,0.492966691,Strain 289
163,18,2,CM,0.506266693,Strain 289
164,18,3,CM,0.497666636,Strain 289
165,18,1,CM,0.459166685,Strain 290
166,18,2,CM,0.457866648,Strain 290
167,18,3,CM,0.520366648,Strain 290
168,18,1,CM,0.426166693,Strain 291
169,18,2,CM,0.452166656,Strain 291
170,18,3,CM,0.48206667,Strain 291
171,18,1,CM,0.537566641,Strain 292
172,18,2,CM,0.523166696,Strain 292
173,18,3,CM,0.492066661,Strain 292
174,18,1,CM,0.426066676,Strain 293
175,18,2,CM,0.443466643,Strain 293
176,18,3,CM,0.449766675,Strain 293
177,18,1,CM,0.496066669,Strain 294
178,18,2,CM,0.47206668,Strain 294
179,18,3,CM,0.55306665,Strain 294
180,18,1,CM,0.487566689,Strain 295
181,18,2,CM,0.496066669,Strain 295
182,18,3,CM,0.48966668,Strain 295
183,18,1,CM,0.512066642,Strain 296
184,18,2,CM,0.491966644,Strain 296
185,18,3,CM,0.483166674,Strain 296
186,18,1,CM,0.522366682,Strain 298
187,18,2,CM,0.538466671,Strain 298
188,18,3,CM,0.531766692,Strain 298
189,21,1,CM,0.48056666,Strain 289
190,21,2,CM,0.489866653,Strain 289
191,21,3,CM,0.482566694,Strain 289
192,21,1,CM,0.460466662,Strain 290
193,21,2,CM,0.461566666,Strain 290
194,21,3,CM,0.520466665,Strain 290
195,21,1,CM,0.419666687,Strain 291
196,21,2,CM,0.450766662,Strain 291
197,21,3,CM,0.48086665,Strain 291
198,21,1,CM,0.529566685,Strain 292
199,21,2,CM,0.516466657,Strain 292
200,21,3,CM,0.470266679,Strain 292
201,21,1,CM,0.409066657,Strain 293
202,21,2,CM,0.423166672,Strain 293
203,21,3,CM,0.435866693,Strain 293
204,21,1,CM,0.488266686,Strain 294
205,21,2,CM,0.463466683,Strain 294
206,21,3,CM,0.547166685,Strain 294
207,21,1,CM,0.482366661,Strain 295
208,21,2,CM,0.487466672,Strain 295
209,21,3,CM,0.479266683,Strain 295
210,21,1,CM,0.510366658,Strain 296
211,21,2,CM,0.496666649,Strain 296
212,21,3,CM,0.47356669,Strain 296
213,21,1,CM,0.482466677,Strain 298
214,21,2,CM,0.490466693,Strain 298
215,21,3,CM,0.490766684,Strain 298
216,24,1,CM,0.470466653,Strain 289
217,24,2,CM,0.478966692,Strain 289
218,24,3,CM,0.473166684,Strain 289
219,24,1,CM,0.46206669,Strain 290
220,24,2,CM,0.461966673,Strain 290
221,24,3,CM,0.523066679,Strain 290
222,24,1,CM,0.404066661,Strain 291
223,24,2,CM,0.42716668,Strain 291
224,24,3,CM,0.465666691,Strain 291
225,24,1,CM,0.520266691,Strain 292
226,24,2,CM,0.50726668,Strain 292
227,24,3,CM,0.459066669,Strain 292
228,24,1,CM,0.402566651,Strain 293
229,24,2,CM,0.421266655,Strain 293
230,24,3,CM,0.432666639,Strain 293
231,24,1,CM,0.483566681,Strain 294
232,24,2,CM,0.45356665,Strain 294
233,24,3,CM,0.541366676,Strain 294
234,24,1,CM,0.479666689,Strain 295
235,24,2,CM,0.484366694,Strain 295
236,24,3,CM,0.475066641,Strain 295
237,24,1,CM,0.522666672,Strain 296
238,24,2,CM,0.503766695,Strain 296
239,24,3,CM,0.471966663,Strain 296
240,24,1,CM,0.447766641,Strain 298
241,24,2,CM,0.438466648,Strain 298
242,24,3,CM,0.465166667,Strain 298
243,27,1,CM,0.468766669,Strain 289
244,27,2,CM,0.477666656,Strain 289
245,27,3,CM,0.472866694,Strain 289
246,27,1,CM,0.462866643,Strain 290
247,27,2,CM,0.46176664,Strain 290
248,27,3,CM,0.525666693,Strain 290
249,27,1,CM,0.382966677,Strain 291
250,27,2,CM,0.399466673,Strain 291
251,27,3,CM,0.436766664,Strain 291
252,27,1,CM,0.506066659,Strain 292
253,27,2,CM,0.497566679,Strain 292
254,27,3,CM,0.452566663,Strain 292
255,27,1,CM,0.419866661,Strain 293
256,27,2,CM,0.440566638,Strain 293
257,27,3,CM,0.450566689,Strain 293
258,27,1,CM,0.485966662,Strain 294
259,27,2,CM,0.45296667,Strain 294
260,27,3,CM,0.542266646,Strain 294
261,27,1,CM,0.472866694,Strain 295
262,27,2,CM,0.479566673,Strain 295
263,27,3,CM,0.471866647,Strain 295
264,27,1,CM,0.527566651,Strain 296
265,27,2,CM,0.515066663,Strain 296
266,27,3,CM,0.472266654,Strain 296
267,27,1,CM,0.420066694,Strain 298
268,27,2,CM,0.348866681,Strain 298
269,27,3,CM,0.447366694,Strain 298
270,30,1,CM,0.456166664,Strain 289
271,30,2,CM,0.466866652,Strain 289
272,30,3,CM,0.461066643,Strain 289
273,30,1,CM,0.450166682,Strain 290
274,30,2,CM,0.452166656,Strain 290
275,30,3,CM,0.510166684,Strain 290
276,30,1,CM,0.387466649,Strain 291
277,30,2,CM,0.401566664,Strain 291
278,30,3,CM,0.430966655,Strain 291
279,30,1,CM,0.48086665,Strain 292
280,30,2,CM,0.474466661,Strain 292
281,30,3,CM,0.43626664,Strain 292
282,30,1,CM,0.422966639,Strain 293
283,30,2,CM,0.437866667,Strain 293
284,30,3,CM,0.447666684,Strain 293
285,30,1,CM,0.483166674,Strain 294
286,30,2,CM,0.447866658,Strain 294
287,30,3,CM,0.535866657,Strain 294
288,30,1,CM,0.453966657,Strain 295
289,30,2,CM,0.458066681,Strain 295
290,30,3,CM,0.452666679,Strain 295
291,30,1,CM,0.522566656,Strain 296
292,30,2,CM,0.514766673,Strain 296
293,30,3,CM,0.467466692,Strain 296
294,30,1,CM,0.421866694,Strain 298
295,30,2,CM,0.332666675,Strain 298
296,30,3,CM,0.448166648,Strain 298
297,33,1,CM,0.446766654,Strain 289
298,33,2,CM,0.457066694,Strain 289
299,33,3,CM,0.451166669,Strain 289
300,33,1,CM,0.447566668,Strain 290
301,33,2,CM,0.443966666,Strain 290
302,33,3,CM,0.506166676,Strain 290
303,33,1,CM,0.397866646,Strain 291
304,33,2,CM,0.414166668,Strain 291
305,33,3,CM,0.438366691,Strain 291
306,33,1,CM,0.469166676,Strain 292
307,33,2,CM,0.460866669,Strain 292
308,33,3,CM,0.423066655,Strain 292
309,33,1,CM,0.437666694,Strain 293
310,33,2,CM,0.453366676,Strain 293
311,33,3,CM,0.464366654,Strain 293
312,33,1,CM,0.489166657,Strain 294
313,33,2,CM,0.451666692,Strain 294
314,33,3,CM,0.54396669,Strain 294
315,33,1,CM,0.467966655,Strain 295
316,33,2,CM,0.466666678,Strain 295
317,33,3,CM,0.450666646,Strain 295
318,33,1,CM,0.529166678,Strain 296
319,33,2,CM,0.530066648,Strain 296
320,33,3,CM,0.480466643,Strain 296
321,33,1,CM,0.387866655,Strain 298
