,Time,Replicate,media,OD,Strain
0,0,1,DM29 + GalNAc,0.011399999,Strain 289
1,0,1,DM29 + Fucose,0.003100008,Strain 289
2,0,1,DM29 + Succinate,0.008599996,Strain 289
3,0,1,DM29 + Sorbitol,0.022800006,Strain 289
4,0,1,DM29 + Mannitol,0.013399996,Strain 289
5,0,1,DM29 + Trehalose,0.011099994,Strain 289
6,0,2,DM29 + GalNAc,0.008600011,Strain 289
7,0,2,DM29 + Fucose,-0.000599995,Strain 289
8,0,2,DM29 + Succinate,0.0088,Strain 289
9,0,2,DM29 + Sorbitol,0.019900002,Strain 289
10,0,2,DM29 + Mannitol,0.016500004,Strain 289
11,0,2,DM29 + Trehalose,0.009599999,Strain 289
12,0,3,DM29 + GalNAc,0.0141,Strain 289
13,0,3,DM29 + Fucose,0.002599999,Strain 289
14,0,3,DM29 + Succinate,0.009199992,Strain 289
15,0,3,DM29 + Sorbitol,0.023800008,Strain 289
16,0,3,DM29 + Mannitol,0.018400006,Strain 289
17,0,3,DM29 + Trehalose,0.021699995,Strain 289
18,3,1,DM29 + GalNAc,0.030100003,Strain 289
19,3,1,DM29 + Fucose,0.026199996,Strain 289
20,3,1,DM29 + Succinate,0.014199987,Strain 289
21,3,1,DM29 + Sorbitol,0.030900009,Strain 289
22,3,1,DM29 + Mannitol,0.020000003,Strain 289
23,3,1,DM29 + Trehalose,0.010099992,Strain 289
24,3,2,DM29 + GalNAc,0.0229,Strain 289
25,3,2,DM29 + Fucose,0.007599995,Strain 289
26,3,2,DM29 + Succinate,0.009599999,Strain 289
27,3,2,DM29 + Sorbitol,0.026699998,Strain 289
28,3,2,DM29 + Mannitol,0.023999996,Strain 289
29,3,2,DM29 + Trehalose,0.010099992,Strain 289
30,3,3,DM29 + GalNAc,0.031000003,Strain 289
31,3,3,DM29 + Fucose,0.010499999,Strain 289
32,3,3,DM29 + Succinate,0.008399993,Strain 289
33,3,3,DM29 + Sorbitol,0.024899997,Strain 289
34,3,3,DM29 + Mannitol,0.028700001,Strain 289
35,3,3,DM29 + Trehalose,0.0211,Strain 289
36,6,1,DM29 + GalNAc,0.054800004,Strain 289
37,6,1,DM29 + Fucose,0.041500002,Strain 289
38,6,1,DM29 + Succinate,0.037599996,Strain 289
39,6,1,DM29 + Sorbitol,0.128699996,Strain 289
40,6,1,DM29 + Mannitol,0.192100011,Strain 289
41,6,1,DM29 + Trehalose,0.040999994,Strain 289
42,6,2,DM29 + GalNAc,0.042500004,Strain 289
43,6,2,DM29 + Fucose,0.024300009,Strain 289
44,6,2,DM29 + Succinate,0.030699998,Strain 289
45,6,2,DM29 + Sorbitol,0.123300008,Strain 289
46,6,2,DM29 + Mannitol,0.166099988,Strain 289
