No,Time,Replicate,media,OD,Strain
0,0,1,DM29,0.006099999,MS001
1,0,1,DM29 + Glucose,0.011399999,MS001
2,0,1,DM29 + Galactose,0.005999997,MS001
3,0,1,DM29 + Mucin Type II,0.043200016,MS001
4,0,1,DM29 + GlcNAc,0.023200005,MS001
5,0,1,DM29 + Sialic Acid,0.013799995,MS001
6,0,2,DM29,0.010900006,MS001
7,0,2,DM29 + Glucose,0.011199996,MS001
8,0,2,DM29 + Galactose,0.006199986,MS001
9,0,2,DM29 + Mucin Type II,0.008399993,MS001
10,0,2,DM29 + GlcNAc,0.017200008,MS001
11,0,2,DM29 + Sialic Acid,0.007499993,MS001
12,0,3,DM29,0.006500006,MS001
13,0,3,DM29 + Glucose,0.010000005,MS001
14,0,3,DM29 + Galactose,0.0123,MS001
15,0,3,DM29 + Mucin Type II,0.004700005,MS001
16,0,3,DM29 + GlcNAc,0.003800005,MS001
17,0,3,DM29 + Sialic Acid,0.0097,MS001
18,3,1,DM29,0.009800002,MS001
19,3,1,DM29 + Glucose,0.019800007,MS001
20,3,1,DM29 + Galactose,0.007299989,MS001
21,3,1,DM29 + Mucin Type II,0.024899989,MS001
22,3,1,DM29 + GlcNAc,0.033099994,MS001
23,3,1,DM29 + Sialic Acid,0.014699995,MS001
24,3,2,DM29,0.018000007,MS001
25,3,2,DM29 + Glucose,0.017800003,MS001
26,3,2,DM29 + Galactose,0.005399987,MS001
27,3,2,DM29 + Mucin Type II,-0.004299998,MS001
28,3,2,DM29 + GlcNAc,0.025600001,MS001
29,3,2,DM29 + Sialic Acid,0.00909999,MS001
30,3,3,DM29,0.012099996,MS001
31,3,3,DM29 + Glucose,0.015599996,MS001
32,3,3,DM29 + Galactose,0.009399995,MS001
33,3,3,DM29 + Mucin Type II,-0.007400006,MS001
34,3,3,DM29 + GlcNAc,0.0123,MS001
35,3,3,DM29 + Sialic Acid,0.010699987,MS001
36,6,1,DM29,0.086799994,MS001
37,6,1,DM29 + Glucose,0.162499994,MS001
38,6,1,DM29 + Galactose,0.009199992,MS001
39,6,1,DM29 + Mucin Type II,0.021699995,MS001
40,6,1,DM29 + GlcNAc,0.20480001,MS001
41,6,1,DM29 + Sialic Acid,0.072099999,MS001
42,6,2,DM29,0.090300009,MS001
43,6,2,DM29 + Glucose,0.126700014,MS001
44,6,2,DM29 + Galactose,0.005999997,MS001
45,6,2,DM29 + Mucin Type II,-0.007499993,MS001
46,6,2,DM29 + GlcNAc,0.201499998,MS001
47,6,2,DM29 + Sialic Acid,0.082499996,MS001
48,6,3,DM29,0.0933,MS001
49,6,3,DM29 + Glucose,0.187600017,MS001
50,6,3,DM29 + Galactose,0.008599996,MS001
51,6,3,DM29 + Mucin Type II,-0.01030001,MS001
52,6,3,DM29 + GlcNAc,0.230199993,MS001
53,6,3,DM29 + Sialic Acid,0.084099993,MS001
54,9,1,DM29,0.271500006,MS001
55,9,1,DM29 + Glucose,0.6435,MS001
56,9,1,DM29 + Galactose,0.02319999,MS001
57,9,1,DM29 + Mucin Type II,0.103799999,MS001
58,9,1,DM29 + GlcNAc,0.717100024,MS001
59,9,1,DM29 + Sialic Acid,0.456999972,MS001
60,9,2,DM29,0.274000004,MS001
61,9,2,DM29 + Glucose,0.613500029,MS001
62,9,2,DM29 + Galactose,0.023699999,MS001
63,9,2,DM29 + Mucin Type II,-0.007200003,MS001
64,9,2,DM29 + GlcNAc,0.708599985,MS001
65,9,2,DM29 + Sialic Acid,0.478400007,MS001
66,9,3,DM29,0.275699988,MS001
67,9,3,DM29 + Glucose,0.652399987,MS001
68,9,3,DM29 + Galactose,0.030599996,MS001
69,9,3,DM29 + Mucin Type II,-0.0088,MS001
70,9,3,DM29 + GlcNAc,0.71329999,MS001
71,9,3,DM29 + Sialic Acid,0.494600013,MS001
72,12,1,DM29,0.322200015,MS001
73,12,1,DM29 + Glucose,0.717300028,MS001
74,12,1,DM29 + Galactose,0.113499999,MS001
75,12,1,DM29 + Mucin Type II,0.308800012,MS001
