Comms,Richness,CD OD
CD+,1,0.643757
CD+DP,2,0.6189718
CD+CA,2,0.6404762
CD+CA-DP,3,0.6195316
CD+CS,2,0.65871567
CD+CS-DP,3,0.6252501
CD+CS-CA,3,0.6561236
CD+CS-CA-DP,4,0.62604356
CD+BU,2,0.6055523
CD+BU-DP,3,0.58444643
CD+BU-CA,3,0.6055644
CD+BU-CA-DP,4,0.5847717
CD+BU-CS,3,0.62630457
CD+BU-CS-DP,4,0.59156877
CD+BU-CS-CA,4,0.62600404
CD+BU-CS-CA-DP,5,0.5923365
CD+CH,2,0.26890963
CD+CH-DP,3,0.36217842
CD+CH-CA,3,0.30230498
CD+CH-CA-DP,4,0.37571386
CD+CH-CS,3,0.39767528
CD+CH-CS-DP,4,0.4201139
CD+CH-CS-CA,4,0.4154756
CD+CH-CS-CA-DP,5,0.429441
CD+CH-BU,3,0.23110676
CD+CH-BU-DP,4,0.33730662
CD+CH-BU-CA,4,0.25453746
CD+CH-BU-CA-DP,5,0.34595966
CD+CH-BU-CS,4,0.3501298
CD+CH-BU-CS-DP,5,0.38520318
CD+CH-BU-CS-CA,5,0.3625408
CD+CH-BU-CS-CA-DP,6,0.39155704
CD+BV,2,0.6942039
CD+BV-DP,3,0.67582786
CD+BV-CA,3,0.68290365
CD+BV-CA-DP,4,0.67132974
CD+BV-CS,3,0.69615024
CD+BV-CS-DP,4,0.67763436
CD+BV-CS-CA,4,0.686359
CD+BV-CS-CA-DP,5,0.6733126
CD+BV-BU,3,0.63606
CD+BV-BU-DP,4,0.6123165
CD+BV-BU-CA,4,0.63715774
CD+BV-BU-CA-DP,5,0.6148743
CD+BV-BU-CS,4,0.6446122
CD+BV-BU-CS-DP,5,0.6181896
CD+BV-BU-CS-CA,5,0.64547175
CD+BV-BU-CS-CA-DP,6,0.62062174
CD+BV-CH,3,0.2879285
CD+BV-CH-DP,4,0.34246495
CD+BV-CH-CA,4,0.31695393
CD+BV-CH-CA-DP,5,0.35973963
CD+BV-CH-CS,4,0.36479315
CD+BV-CH-CS-DP,5,0.39358497
CD+BV-CH-CS-CA,5,0.3871528
CD+BV-CH-CS-CA-DP,6,0.4068917
CD+BV-CH-BU,4,0.2466338
CD+BV-CH-BU-DP,5,0.31379706
CD+BV-CH-BU-CA,5,0.2664495
CD+BV-CH-BU-CA-DP,6,0.32326576
CD+BV-CH-BU-CS,5,0.32552397
CD+BV-CH-BU-CS-DP,6,0.35799724
CD+BV-CH-BU-CS-CA,6,0.33804482
CD+BV-CH-BU-CS-CA-DP,7,0.36536255
CD+BT,2,0.647884
CD+BT-DP,3,0.6426445
CD+BT-CA,3,0.6468717
CD+BT-CA-DP,4,0.64260244
CD+BT-CS,3,0.65096545
CD+BT-CS-DP,4,0.64505035
CD+BT-CS-CA,4,0.65005714
CD+BT-CS-CA-DP,5,0.64499456
CD+BT-BU,3,0.6275569
CD+BT-BU-DP,4,0.62172693
CD+BT-BU-CA,4,0.6279613
CD+BT-BU-CA-DP,5,0.6224462
CD+BT-BU-CS,4,0.63420904
CD+BT-BU-CS-DP,5,0.62634915
CD+BT-BU-CS-CA,5,0.63443303
CD+BT-BU-CS-CA-DP,6,0.62708205
CD+BT-CH,3,0.54775333
CD+BT-CH-DP,4,0.5576255
CD+BT-CH-CA,4,0.5533283
CD+BT-CH-CA-DP,5,0.5610257
CD+BT-CH-CS,4,0.5666966
CD+BT-CH-CS-DP,5,0.57027817
CD+BT-CH-CS-CA,5,0.56992346
CD+BT-CH-CS-CA-DP,6,0.5726615
CD+BT-CH-BU,4,0.48877257
CD+BT-CH-BU-DP,5,0.51143336
CD+BT-CH-BU-CA,5,0.49839726
CD+BT-CH-BU-CA-DP,6,0.51629335
CD+BT-CH-BU-CS,5,0.5226737
CD+BT-CH-BU-CS-DP,6,0.53154695
CD+BT-CH-BU-CS-CA,6,0.5282155
CD+BT-CH-BU-CS-CA-DP,7,0.5351257
CD+BT-BV,3,0.65063244
CD+BT-BV-DP,4,0.64690876
CD+BT-BV-CA,4,0.6491293
CD+BT-BV-CA-DP,5,0.6463352
CD+BT-BV-CS,4,0.65264416
CD+BT-BV-CS-DP,5,0.64866525
CD+BT-BV-CS-CA,5,0.6512928
CD+BT-BV-CS-CA-DP,6,0.6481047
CD+BT-BV-BU,4,0.6312305
CD+BT-BV-BU-DP,5,0.62641484
CD+BT-BV-BU-CA,5,0.63198686
CD+BT-BV-BU-CA-DP,6,0.62746304
CD+BT-BV-BU-CS,5,0.6357402
CD+BT-BV-BU-CS-DP,6,0.63011646
CD+BT-BV-BU-CS-CA,6,0.6363682
CD+BT-BV-BU-CS-CA-DP,7,0.6310885
CD+BT-BV-CH,4,0.54614335
CD+BT-BV-CH-DP,5,0.5541214
CD+BT-BV-CH-CA,5,0.55057216
CD+BT-BV-CH-CA-DP,6,0.55720127
CD+BT-BV-CH-CS,5,0.56119317
CD+BT-BV-CH-CS-DP,6,0.5652925
CD+BT-BV-CH-CS-CA,6,0.5640837
CD+BT-BV-CH-CS-CA-DP,7,0.56753635
CD+BT-BV-CH-BU,5,0.49047074
CD+BT-BV-CH-BU-DP,6,0.50709474
CD+BT-BV-CH-BU-CA,6,0.49920577
CD+BT-BV-CH-BU-CA-DP,7,0.51247066
CD+BT-BV-CH-BU-CS,6,0.51699615
CD+BT-BV-CH-BU-CS-DP,7,0.52526253
CD+BT-BV-CH-BU-CS-CA,7,0.52280587
CD+BT-BV-CH-BU-CS-CA-DP,8,0.52938247
