Treatments,Time,CA,BT,BU,CS,CD,DP,CH,BV
DSM27147-BT,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0
DSM27147-BT,12.0,0.0,1.3090887322074063,0.0,0.0,0.2197445651259272,0.0,0.0,0.0
DSM27147-BT,24.0,0.0,1.0697365603418703,0.0,0.0,0.10976342599146315,0.0,0.0,0.0
DSM27147-BT-BU-BV-CA,0.0,0.002,0.002,0.002,0.0,0.002,0.0,0.0,0.002
DSM27147-BT-BU-BV-CA,12.0,0.010216426755246567,1.074318777027945,0.07032051617717462,0.0,0.2879900677484368,0.0,0.0,0.11965415029119703
DSM27147-BT-BU-BV-CA,24.0,0.06411946001941894,0.8204737356589064,0.06515074808756612,0.0,0.2141159152658212,0.0,0.0,0.12764013563495413
DSM27147-BU,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0
DSM27147-BU,12.0,0.0,0.0,0.4534940825717718,0.0,0.6262558669282281,0.0,0.0,0.0
DSM27147-BU,24.0,0.0,0.0,0.37369820977610657,0.0,0.41646845889056006,0.0,0.0,0.0
DSM27147-BV,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005
DSM27147-BV,12.0,0.0,0.0,0.0,0.0,0.7254495169403059,0.0,0.0,0.695050501059694
DSM27147-BV,24.0,0.0,0.0,0.0,0.0,0.40276599583591216,0.0,0.0,0.5999007184974211
DSM27147-CA,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0
DSM27147-CA,12.0,0.003179690642554822,0.0,0.0,0.0,0.6708203316907785,0.0,0.0,0.0
DSM27147-CA,24.0,0.02247695056088929,0.0,0.0,0.0,0.4521897167724441,0.0,0.0,0.0
DSM27147-CH,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0
DSM27147-CH,12.0,0.0,0.0,0.0,0.0,0.40680831032932874,0.0,0.10135835300400457,0.0
DSM27147-CH,24.0,0.0,0.0,0.0,0.0,0.3771079313747246,0.0,0.11322539495860874,0.0
DSM27147-CH-BT-BU-BV-CA,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666
DSM27147-CH-BT-BU-BV-CA,12.0,0.003857898740879631,0.6547414193465975,0.1287660018739309,0.0,0.07187195379374013,0.0,0.11208607168572204,0.28550996689246316
DSM27147-CH-BT-BU-BV-CA,24.0,0.04039000315704146,0.5166668250751073,0.08681644245122565,0.0,0.08295991985817101,0.0,0.1260206872486283,0.325146107876493
DSM27147-CH-BU-CA,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0,0.0025,0.0
DSM27147-CH-BU-CA,12.0,0.006605299706728836,0.0,0.837320099251051,0.0,0.2208983406146181,0.0,0.044842873760935424,0.0
DSM27147-CH-BU-CA,24.0,0.09399430618910352,0.0,0.372305724676534,0.0,0.166876485184571,0.0,0.027156831949791488,0.0
DSM27147-CH-DP-BT-BU,0.0,0.0,0.002,0.002,0.0,0.002,0.002,0.002,0.0
DSM27147-CH-DP-BT-BU,12.0,0.0,0.8371307230258983,0.22502830347584546,0.0,0.06361466018252142,0.035564603586235234,0.0399950013961663,0.0
