Treatments,Time,CA,BT,BU,CS,CD,DP,CH,BV
MS014-BT,0.0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0
MS014-BT,12.0,0.0,1.1591191001726362,0.0,0.0,0.3732142564940301,0.0,0.0,0.0
MS014-BT,24.0,0.0,0.9265962136490967,0.0,0.0,0.2519037433509033,0.0,0.0,0.0
MS014-BT-BU-BV-CA,0.0,0.002,0.002,0.002,0.0,0.002,0.0,0.0,0.002
MS014-BT-BU-BV-CA,12.0,0.0012101781292160267,0.7262824742768585,0.14426853931039646,0.0,0.33058321811158314,0.0,0.0,0.08332227683861254
MS014-BT-BU-BV-CA,24.0,0.03336421803621483,0.6709292077675603,0.1264599126271735,0.0,0.20430348226598713,0.0,0.0,0.10360985130306433
MS014-BU,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0,0.0
MS014-BU,12.0,0.0,0.0,0.5282677388322933,0.0,0.7622322388343733,0.0,0.0,0.0
MS014-BU,24.0,0.0,0.0,0.45321094713306237,0.0,0.3656223645336043,0.0,0.0,0.0
MS014-BV,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005
MS014-BV,12.0,0.0,0.0,0.0,0.0,0.6867022161580274,0.0,0.0,0.44029780017530595
MS014-BV,24.0,0.0,0.0,0.0,0.0,0.4118345599907926,0.0,0.0,0.5241654393425407
MS014-CA,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0
MS014-CA,12.0,0.0023764125402008875,0.0,0.0,0.0,0.6649569044597992,0.0,0.0,0.0
MS014-CA,24.0,0.03680987208162545,0.0,0.0,0.0,0.48269013025170787,0.0,0.0,0.0
MS014-CH,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0
MS014-CH,12.0,0.0,0.0,0.0,0.0,0.7431418466999817,0.0,0.07769148596668486,0.0
MS014-CH,24.0,0.0,0.0,0.0,0.0,0.4880758951141055,0.0,0.07142411388589458,0.0
MS014-CH-BT-BU-CA,0.0,0.002,0.002,0.002,0.0,0.002,0.0,0.002,0.0
MS014-CH-BT-BU-CA,12.0,0.0011138062355939588,0.7076286289050163,0.2306121529892814,0.0,0.2586238485951539,0.0,0.0815216032749546,0.0
MS014-CH-BT-BU-CA,24.0,0.03975158166951877,0.5993300901555498,0.2068238500220941,0.0,0.11879322089635125,0.0,0.12446790825648606,0.0
MS014-CH-DP-BU-CA,0.0,0.002,0.0,0.002,0.0,0.002,0.002,0.002,0.0
MS014-CH-DP-BU-CA,12.0,0.00135795385356697,0.0,0.6250952721601879,0.0,0.3931918355123106,0.023259825123345453,0.09359511668392245,0.0
MS014-CH-DP-BU-CA,24.0,0.048493152424055386,0.0,0.7550100886554905,0.0,0.12820419149174012,0.09720146296397181,0.19209109846474223,0.0
MS014-CH-DP-CA,0.0,0.0025,0.0,0.0,0.0,0.0025,0.0025,0.0025,0.0
MS014-CH-DP-CA,12.0,0.0076155782143468125,0.0,0.0,0.0,0.5548262071543143,0.1568628279419353,0.08769537535607025,0.0
