Treatments,species,true,pred,stdv
CH-DP-BT-BU,BT,0.6339901759318601,0.549153,0.12792148
CH-DP-BT-BU,BU,0.2117660435033956,0.26969567,0.0977714
CH-DP-BT-BU,DP,0.0648399147459723,0.11501497,0.06150444
CH-DP-BT-BU,CH,0.1067371971521051,0.21178973,0.047462445
CH-DP-BU-CA,CA,0.0191433278667381,3.4730998e-17,0.040914435
CH-DP-BU-CA,BU,0.4571509190075828,0.588745,0.09961201
CH-DP-BU-CA,DP,0.0882253348661699,0.13862026,0.062704235
CH-DP-BU-CA,CH,0.1371470789261758,0.27314517,0.048726246
CH-DP-BV-CA,CA,0.0363949549930706,0.02888426,0.0434586
CH-DP-BV-CA,DP,0.0490459876014358,0.1462703,0.0638509
CH-DP-BV-CA,CH,0.3422311404617775,0.35548383,0.04882679
CH-DP-BV-CA,BV,0.4346612566103826,0.48283663,0.09978628
CS-BT-BU-BV,BT,0.7511902908194625,0.79912394,0.12509163
CS-BT-BU-BV,BU,0.0995727628880415,0.0837806,0.09688898
CS-BT-BU-BV,CS,0.1499757877039886,0.18764338,0.05974993
CS-BT-BU-BV,BV,0.161094477255174,0.16686006,0.096689515
CS-BT-BU-CA,CA,0.0776543371225044,2.4463251e-08,0.040914435
CS-BT-BU-CA,BT,0.8380836003230359,0.848271,0.1243286
CS-BT-BU-CA,BU,0.1587390785737334,0.17218857,0.09772598
CS-BT-BU-CA,CS,0.1318562859807262,0.13507308,0.058035467
CS-BT-BV-CA,CA,0.0872970773466872,0.02210759,0.042062275
CS-BT-BV-CA,BT,0.7937678247416654,0.957672,0.135385
CS-BT-BV-CA,CS,0.1537480560177169,0.19360374,0.061772227
CS-BT-BV-CA,BV,0.1951870635605971,0.19527957,0.10042841
CS-CH-BT-BU,BT,0.5641571044095368,0.60291207,0.12635776
CS-CH-BT-BU,BU,0.1650772994128221,0.2648778,0.09734191
CS-CH-BT-BU,CS,0.0262661693510769,0.044146806,0.05533791
CS-CH-BT-BU,CH,0.2289993904932306,0.18272921,0.048021697
CS-CH-BT-BU-BV-CA,CA,0.0590608962975826,1.5196339e-06,0.04091444
CS-CH-BT-BU-BV-CA,BT,0.4574309835406763,0.48942313,0.13125665
CS-CH-BT-BU-BV-CA,BU,0.0982327074862059,0.1732269,0.09816243
CS-CH-BT-BU-BV-CA,CS,0.0223644178985529,0.042680793,0.054926004
CS-CH-BT-BU-BV-CA,CH,0.1943480669888727,0.22399001,0.04708052
CS-CH-BT-BU-BV-CA,BV,0.121229590454776,0.18571085,0.096814185
CS-CH-BT-BU-CA,CA,0.0284409443303742,1.4881332e-09,0.040914435
CS-CH-BT-BU-CA,BT,0.5574777936885481,0.5996059,0.12611715
CS-CH-BT-BU-CA,BU,0.1695321566775706,0.26558197,0.09725414
CS-CH-BT-BU-CA,CS,0.0186459845758129,0.03901763,0.05498809
CS-CH-BT-BU-CA,CH,0.1349031227276941,0.18675207,0.04762305
CS-CH-BT-CA,CA,0.0556751956445031,0.046340622,0.043982968
CS-CH-BT-CA,BT,0.7452632632198698,0.92707855,0.14978714
CS-CH-BT-CA,CS,0.0217383208428758,0.054990906,0.05621769
CS-CH-BT-CA,CH,0.1479898892927514,0.14807168,0.05036849
CS-CH-BU-BV,BU,0.1783429059459744,0.3103128,0.10588649
CS-CH-BU-BV,CS,0.0182952427340506,0.05668358,0.05693348
CS-CH-BU-BV,CH,0.257695827124943,0.29509825,0.04866092
CS-CH-BU-BV,BV,0.4079993395283651,0.41302547,0.102345675
CS-CH-BV-CA,CA,0.0403684796596857,0.03158234,0.04418148
CS-CH-BV-CA,CS,0.0177717431263171,0.08105894,0.059784297
CS-CH-BV-CA,CH,0.2300045416566911,0.29610726,0.050972182
CS-CH-BV-CA,BV,0.7240218872239725,0.725139,0.103117995
CS-CH-DP-BT-BU,BT,0.6373917630227731,0.6172134,0.124752946
CS-CH-DP-BT-BU,BU,0.181481186182036,0.23789312,0.09640163
CS-CH-DP-BT-BU,CS,0.0165771067431536,0.029047562,0.054618232
CS-CH-DP-BT-BU,DP,0.0618493590154029,0.12731259,0.06117943
CS-CH-DP-BT-BU,CH,0.1272005800366343,0.15540467,0.046873942
