Treatments,species,true,pred,stdv
CH-DP-BT-BU,BT,0.6339901759318601,0.5953493,0.14092374
CH-DP-BT-BU,BU,0.2117660435033956,0.30567148,0.08542385
CH-DP-BT-BU,DP,0.0648399147459723,0.10193816,0.060073987
CH-DP-BT-BU,CH,0.1067371971521051,0.23101085,0.046699658
CH-DP-BU-CA,CA,0.0191433278667381,0.03967904,0.03417157
CH-DP-BU-CA,BU,0.4571509190075828,0.6504208,0.08616924
CH-DP-BU-CA,DP,0.0882253348661699,0.16532212,0.06170325
CH-DP-BU-CA,CH,0.1371470789261758,0.23530571,0.048337497
CH-DP-BV-CA,CA,0.0363949549930706,0.051613923,0.034149155
CH-DP-BV-CA,DP,0.0490459876014358,0.15221643,0.062089372
CH-DP-BV-CA,CH,0.3422311404617775,0.3354511,0.04874983
CH-DP-BV-CA,BV,0.4346612566103826,0.49447957,0.0717831
CS-BT-BU-BV,BT,0.7511902908194625,0.8053546,0.13670494
CS-BT-BU-BV,BU,0.0995727628880415,0.05727355,0.082800835
CS-BT-BU-BV,CS,0.1499757877039886,0.17612632,0.06323254
CS-BT-BU-BV,BV,0.161094477255174,0.1398048,0.06759937
CS-BT-BU-CA,CA,0.0776543371225044,0.06452945,0.033617865
CS-BT-BU-CA,BT,0.8380836003230359,0.82687014,0.13846575
CS-BT-BU-CA,BU,0.1587390785737334,0.13806227,0.08557203
CS-BT-BU-CA,CS,0.1318562859807262,0.14543143,0.06260739
CS-BT-BV-CA,CA,0.0872970773466872,0.06555972,0.033932496
CS-BT-BV-CA,BT,0.7937678247416654,0.82851136,0.13884895
CS-BT-BV-CA,CS,0.1537480560177169,0.17670222,0.06442598
CS-BT-BV-CA,BV,0.1951870635605971,0.20744267,0.06965701
CS-CH-BT-BU,BT,0.5641571044095368,0.6159409,0.13959298
CS-CH-BT-BU,BU,0.1650772994128221,0.24903558,0.08554709
CS-CH-BT-BU,CS,0.0262661693510769,0.06740921,0.060201555
