Comms,Richness,CD OD
CD+,1,0.6833321
CD+BV,2,0.6330949
CD+CH,2,0.5363582
CD+CH-BV,3,0.43150592
CD+DP,2,0.4330544
CD+DP-BV,3,0.46673808
CD+DP-CH,3,0.3369054
CD+DP-CH-BV,4,0.32318226
CD+CS,2,0.48632452
CD+CS-BV,3,0.48108
CD+CS-CH,3,0.48552242
CD+CS-CH-BV,4,0.4026182
CD+CS-DP,3,0.34800014
CD+CS-DP-BV,4,0.3855214
CD+CS-DP-CH,4,0.31838003
CD+CS-DP-CH-BV,5,0.31034306
CD+BU,2,0.4732716
CD+BU-BV,3,0.50019926
CD+BU-CH,3,0.30180478
CD+BU-CH-BV,4,0.3234689
CD+BU-DP,3,0.28485653
CD+BU-DP-BV,4,0.33521628
CD+BU-DP-CH,4,0.17966458
CD+BU-DP-CH-BV,5,0.21678759
CD+BU-CS,3,0.37619576
CD+BU-CS-BV,4,0.4247638
CD+BU-CS-CH,4,0.29703295
CD+BU-CS-CH-BV,5,0.32248974
CD+BU-CS-DP,4,0.24014843
CD+BU-CS-DP-BV,5,0.2981729
CD+BU-CS-DP-CH,5,0.18139672
CD+BU-CS-DP-CH-BV,6,0.22151816
CD+BT,2,0.29307255
CD+BT-BV,3,0.28576717
CD+BT-CH,3,0.1966495
CD+BT-CH-BV,4,0.18196647
CD+BT-DP,3,0.15662211
CD+BT-DP-BV,4,0.1756805
CD+BT-DP-CH,4,0.10641809
CD+BT-DP-CH-BV,5,0.11465724
CD+BT-CS,3,0.18608077
CD+BT-CS-BV,4,0.19800855
CD+BT-CS-CH,4,0.16369617
CD+BT-CS-CH-BV,5,0.15593924
CD+BT-CS-DP,4,0.112085655
CD+BT-CS-DP-BV,5,0.13194066
CD+BT-CS-DP-CH,5,0.09419197
CD+BT-CS-DP-CH-BV,6,0.10255415
CD+BT-BU,3,0.23103765
CD+BT-BU-BV,4,0.2436289
CD+BT-BU-CH,4,0.13220589
CD+BT-BU-CH-BV,5,0.14495586
CD+BT-BU-DP,4,0.12554206
CD+BT-BU-DP-BV,5,0.14899507
CD+BT-BU-DP-CH,5,0.07405136
CD+BT-BU-DP-CH-BV,6,0.090346165
CD+BT-BU-CS,4,0.16538668
CD+BT-BU-CS-BV,5,0.18550807
CD+BT-BU-CS-CH,5,0.120253116
CD+BT-BU-CS-CH-BV,6,0.13312267
CD+BT-BU-CS-DP,5,0.09729076
CD+BT-BU-CS-DP-BV,6,0.12007509
CD+BT-BU-CS-DP-CH,6,0.070070945
CD+BT-BU-CS-DP-CH-BV,7,0.08568493
CD+CA,2,0.5981796
CD+CA-BV,3,0.6007568
CD+CA-CH,3,0.5106297
CD+CA-CH-BV,4,0.43185097
CD+CA-DP,3,0.31762776
CD+CA-DP-BV,4,0.42481568
CD+CA-DP-CH,4,0.28103393
CD+CA-DP-CH-BV,5,0.31202254
CD+CA-CS,3,0.4673048
CD+CA-CS-BV,4,0.48278442
CD+CA-CS-CH,4,0.46343333
CD+CA-CS-CH-BV,5,0.40339965
CD+CA-CS-DP,4,0.27560893
CD+CA-CS-DP-BV,5,0.3642019
CD+CA-CS-DP-CH,5,0.27003363
CD+CA-CS-DP-CH-BV,6,0.300484
CD+CA-BU,3,0.44201925
CD+CA-BU-BV,4,0.48125678
CD+CA-BU-CH,4,0.30316034
CD+CA-BU-CH-BV,5,0.3271706
CD+CA-BU-DP,4,0.250082
CD+CA-BU-DP-BV,5,0.31300402
CD+CA-BU-DP-CH,5,0.17199166
CD+CA-BU-DP-CH-BV,6,0.21408166
CD+CA-BU-CS,4,0.367008
CD+CA-BU-CS-BV,5,0.41911155
CD+CA-BU-CS-CH,5,0.29454455
CD+CA-BU-CS-CH-BV,6,0.3233721
CD+CA-BU-CS-DP,5,0.21828996
CD+CA-BU-CS-DP-BV,6,0.28406826
CD+CA-BU-CS-DP-CH,6,0.17228875
CD+CA-BU-CS-DP-CH-BV,7,0.21734442
CD+CA-BT,3,0.2424094
CD+CA-BT-BV,4,0.252759
CD+CA-BT-CH,4,0.17760794
CD+CA-BT-CH-BV,5,0.17139907
CD+CA-BT-DP,4,0.11558075
CD+CA-BT-DP-BV,5,0.14706007
CD+CA-BT-DP-CH,5,0.0885847
CD+CA-BT-DP-CH-BV,6,0.10365308
CD+CA-BT-CS,4,0.16847268
CD+CA-BT-CS-BV,5,0.18520318
CD+CA-BT-CS-CH,5,0.15016669
CD+CA-BT-CS-CH-BV,6,0.14841105
CD+CA-BT-CS-DP,5,0.090002745
CD+CA-BT-CS-DP-BV,6,0.11607793
CD+CA-BT-CS-DP-CH,6,0.080234304
CD+CA-BT-CS-DP-CH-BV,7,0.09388811
CD+CA-BT-BU,4,0.20107678
CD+CA-BT-BU-BV,5,0.22061856
CD+CA-BT-BU-CH,5,0.12536247
CD+CA-BT-BU-CH-BV,6,0.1396106
CD+CA-BT-BU-DP,5,0.103042334
CD+CA-BT-BU-DP-BV,6,0.13002
CD+CA-BT-BU-DP-CH,6,0.06723374
CD+CA-BT-BU-DP-CH-BV,7,0.08463812
CD+CA-BT-BU-CS,5,0.15154682
CD+CA-BT-BU-CS-BV,6,0.17372896
CD+CA-BT-BU-CS-CH,6,0.113832444
CD+CA-BT-BU-CS-CH-BV,7,0.1281034
CD+CA-BT-BU-CS-DP,6,0.08377223
CD+CA-BT-BU-CS-DP-BV,7,0.10810222
CD+CA-BT-BU-CS-DP-CH,7,0.06378897
CD+CA-BT-BU-CS-DP-CH-BV,8,0.08037706
