Param name,Param value,Param stdv,Param p-value,CA,BT,BU,CS,CD,DP,CH,BV,CA*CA,CA*BT,CA*BU,CA*CS,CA*CD,CA*DP,CA*CH,CA*BV,BT*CA,BT*BT,BT*BU,BT*CS,BT*CD,BT*DP,BT*CH,BT*BV,BU*CA,BU*BT,BU*BU,BU*CS,BU*CD,BU*DP,BU*CH,BU*BV,CS*CA,CS*BT,CS*BU,CS*CS,CS*CD,CS*DP,CS*CH,CS*BV,CD*CA,CD*BT,CD*BU,CD*CS,CD*CD,CD*DP,CD*CH,CD*BV,DP*CA,DP*BT,DP*BU,DP*CS,DP*CD,DP*DP,DP*CH,DP*BV,CH*CA,CH*BT,CH*BU,CH*CS,CH*CD,CH*DP,CH*CH,CH*BV,BV*CA,BV*BT,BV*BU,BV*CS,BV*CD,BV*DP,BV*CH,BV*BV
CA,0.25461239559714466,0.007476263,3.2964682855678024e-254,5.5894514e-05,3.432651e-07,3.2616535e-07,8.285469e-08,6.049614e-06,5.8298156e-07,3.2084902e-06,5.2771605e-07,-0.00012495962,-6.071955e-05,-5.1955536e-05,-7.877375e-05,-9.937255e-05,-0.00022621486,-0.00014975837,-3.2874406e-05,-1.1430949e-06,-6.111271e-07,-4.7827524e-07,1.0916601e-06,-6.943598e-07,3.4750659e-07,-2.837195e-06,-9.858192e-07,-3.5366916e-06,-3.5903824e-07,-2.861144e-07,-1.2569465e-06,-7.534732e-07,-7.0548106e-07,-1.2604928e-06,2.2898162e-06,3.0752904e-05,-2.447919e-07,1.1018574e-06,-1.2745325e-07,-3.610783e-08,1.1700424e-05,-1.5152912e-06,1.4653743e-06,0.00014633467,-7.2061116e-06,-6.0221064e-06,-1.173332e-05,-6.220231e-06,-6.6389757e-06,-2.2307433e-05,-3.2771043e-06,-0.00011743639,4.0678356e-07,-3.5319604e-07,-5.510599e-06,3.0319993e-06,-1.2550204e-05,4.891857e-06,1.4530002e-08,0.00018467476,-5.4531124e-06,-7.545845e-06,4.782485e-05,-6.500349e-06,1.24696e-06,-4.6881532e-06,-4.881508e-06,1.9919198e-06,-1.7525033e-06,3.824009e-06,6.9470334e-06,2.1780704e-07,2.087908e-05,-5.347973e-06,-8.817242e-07
BT,0.8221903613249285,0.031539798,8.334913179533243e-150,3.432651e-07,0.0009947588,9.181758e-05,-2.2784359e-06,8.688094e-06,-6.1623896e-06,1.8895187e-05,9.024156e-05,-7.500366e-07,6.104096e-05,1.253671e-05,6.8273553e-06,8.3793566e-07,-4.639434e-05,3.5979443e-05,-3.7122222e-06,-0.00094627467,-0.00096521643,-0.00047663195,-6.104807e-05,-0.0002525604,-0.00018856756,-0.0012363137,-0.00052547146,-0.00026622857,0.00021695766,-5.7691483e-05,-0.00045388425,-0.00012058099,-0.0002482159,-0.00013073721,-3.3990575e-05,-0.00014323657,8.5221494e-05,-3.851096e-06,4.097808e-06,4.0394207e-06,-9.590406e-06,3.9971823e-05,-9.2229675e-06,-0.0002243816,0.00034271565,1.0103675e-05,-0.00036792192,1.3090065e-05,-0.00022296846,-4.8689053e-05,5.786222e-06,-8.914924e-05,0.000101264064,4.7482795e-06,-3.3686825e-05,-7.33554e-07,2.0589343e-05,4.0925745e-05,-1.0528803e-05,-0.0002104405,8.430815e-05,-8.677376e-06,-0.00020834756,-3.145818e-05,-5.3619835e-05,-2.4044295e-05,-1.3112194e-05,-0.0004503383,0.0003816239,0.00010735185,-0.00092822954,-9.044605e-05,-0.00021866025,-0.00013487914,-5.3737745e-05
BU,0.7338979961360604,0.023928758,1.4248959135711402e-206,3.2616535e-07,9.181758e-05,0.00057258544,4.8838083e-06,0.00020957032,8.583714e-06,2.9001103e-05,0.0001933117,-7.3476053e-07,1.106003e-05,0.00011035448,-1.23899445e-05,2.3333905e-05,-2.2006654e-05,1.0487731e-05,7.9799365e-06,-9.9266304e-05,-9.477198e-05,1.2012522e-05,6.8272425e-07,-5.8614416e-05,-7.5088916e-05,-9.097975e-05,-5.638495e-05,-0.000750422,-0.00055502634,-0.00057443,-7.765128e-05,-0.0007701789,-0.00035120946,-0.00028417003,-0.00094123767,6.0923057e-06,-1.5457003e-06,2.646928e-05,-1.02101e-05,-2.963689e-06,1.4019758e-05,-2.2246615e-05,-1.8358898e-05,-0.00028392003,-0.00016263318,4.8640803e-05,-0.00068732793,-0.00031643332,-0.0006425497,-0.00031957324,-6.147738e-05,0.00010903702,-8.2645165e-06,4.354304e-05,3.2363594e-05,-2.3917542e-05,-3.86985e-05,-8.920197e-05,6.781289e-06,-0.00013621313,-1.6517728e-05,6.4125066e-05,-0.00031635174,-1.6991205e-05,-0.00014295727,-3.93743e-05,-2.439635e-05,0.0004128867,-0.00012701593,0.0001632623,-0.0005268486,-0.00019683852,-0.0006106699,-0.00039975817,-0.00014541057
CS,0.2616371060210117,0.010552212,1.0270056684064096e-135,8.285469e-08,-2.2784359e-06,4.8838083e-06,0.000111349174,1.4148445e-05,2.89502e-06,6.402389e-06,6.0914836e-06,-1.8506412e-07,-8.236806e-08,1.664335e-06,-9.445398e-06,9.492379e-07,-1.1304661e-05,-9.794535e-06,5.341375e-06,5.647896e-06,4.236897e-06,3.0763936e-06,2.3457891e-05,-4.9945265e-06,-1.3140803e-05,-3.1903972e-05,9.8210785e-06,6.721846e-05,-1.134159e-05,-9.771406e-07,0.00041653085,-7.324388e-06,-2.8409555e-05,-4.450065e-05,3.506975e-05,-0.0003600928,-0.0001237038,-5.545479e-05,-0.00023314018,-0.0001907823,-0.00053768384,-0.00035005956,-3.146427e-05,-7.261908e-05,-3.008944e-05,1.0096741e-05,0.00046252226,-1.3281806e-05,-0.00015727607,-9.6029995e-05,1.1317071e-05,1.7859487e-05,-9.9261115e-06,6.930615e-06,3.8021667e-06,-1.1710623e-05,-6.2166923e-06,-4.802806e-05,1.9157626e-05,4.5936165e-05,-2.1733571e-05,6.830221e-06,0.00041167153,-1.4543515e-05,-9.544277e-05,-6.122712e-06,6.542112e-06,6.480097e-05,-6.383415e-06,1.36369035e-05,-6.9565303e-06,-1.2291256e-06,4.8430837e-05,-1.8154964e-05,-3.8750622e-06
CD,0.93152199002057,0.07419407,3.7220425634451644e-36,6.049614e-06,8.688094e-06,0.00020957032,1.4148445e-05,0.005504761,5.701357e-05,6.723908e-05,0.00023727215,-1.4202563e-05,1.8570787e-05,1.0085549e-05,-8.6520795e-06,0.0005214299,0.000106213585,-2.5496554e-05,-4.7213093e-06,0.0002482049,-1.9838282e-05,3.647939e-05,6.2635336e-05,-0.00015354942,-4.8306643e-05,0.00016070524,7.346414e-05,0.000362911,-0.000192143,-0.00022599452,-0.0008729166,0.00031374538,-0.00051715237,6.649715e-05,-0.00012289554,5.9579106e-06,-7.391995e-06,3.0491072e-05,-3.0848547e-05,0.00041677925,-0.00015152794,1.6088667e-05,-1.8249026e-05,-0.010762546,-0.0043190955,-0.0029243957,-0.009907307,-0.008662527,-0.01094317,-0.008040662,-0.0011702444,0.00074764044,-4.330614e-05,-3.6015448e-05,2.0219266e-05,0.00029153764,-0.0006266321,-4.3949713e-05,-4.4452685e-05,-0.00047507626,1.00338175e-05,4.830472e-06,-0.00043048532,0.0009696035,-0.00010519898,-0.00012874206,-2.0797914e-05,0.000948048,-7.7486715e-05,0.00013341682,-0.0006535945,0.0010053586,-0.0015066694,-7.719554e-05,-0.0002372871
DP,0.2906742356467411,0.015246248,4.904898246677875e-81,5.8298156e-07,-6.1623896e-06,8.583714e-06,2.89502e-06,5.701357e-05,0.00023244807,3.622881e-06,2.2230008e-05,-1.210271e-06,-1.8894679e-06,1.39727445e-05,1.7798156e-05,1.2313511e-06,9.238004e-05,1.4194136e-05,-4.208382e-06,2.6488993e-05,5.139894e-06,7.2122057e-06,1.6736869e-05,1.3044355e-06,-1.5422675e-05,3.3778408e-05,-8.219601e-06,-8.781527e-05,-8.3034945e-07,-1.637152e-07,-5.7298177e-05,9.190732e-06,-8.281182e-05,3.5913454e-05,1.4569408e-05,2.7501772e-05,-5.61821e-06,1.0178574e-05,-5.9391136e-06,2.140978e-06,0.00036083435,-3.5070943e-06,3.403656e-06,-2.226773e-05,-5.217796e-05,2.0279042e-05,-6.940439e-05,-7.431246e-05,0.00054854364,-5.14672e-06,-5.0697618e-06,0.00038545596,-0.00020549228,-7.9483194e-05,-9.025765e-05,-0.00026454582,-0.0013226207,-0.000349824,-0.00013735834,-1.9983452e-05,-3.7656043e-06,1.606772e-05,5.3151027e-05,8.220647e-06,0.00022378881,-3.0712195e-06,2.015847e-06,0.00023211172,-1.8586e-05,0.00018224926,-9.36579e-05,-8.20889e-06,0.0005360992,-9.733321e-05,-6.3263806e-06
CH,0.4630034654211429,0.011682857,0.0,3.2084902e-06,1.8895187e-05,2.9001103e-05,6.402389e-06,6.723908e-05,3.622881e-06,0.00013648915,7.660431e-06,-7.069329e-06,-2.7007864e-06,-2.9888379e-05,3.0772677e-05,-2.8633056e-06,8.566749e-05,-2.1740128e-05,-1.655643e-05,-7.521277e-05,-1.700763e-05,2.2598783e-06,-1.0673931e-05,-1.0160593e-05,-9.448226e-06,-1.0906585e-05,-6.10445e-06,-1.818968e-05,-2.2708198e-05,-1.9545258e-05,-0.00012449759,-4.890121e-05,-3.46721e-05,-9.145043e-05,-1.958039e-05,-6.440068e-05,-4.7284843e-06,-7.840083e-06,-1.3339889e-05,-7.0741676e-06,1.6003847e-05,-8.309298e-05,-9.987339e-06,-0.000405109,-5.381577e-05,-9.322309e-05,-0.00023846589,-7.325034e-05,-0.00010225712,-0.00012550899,-5.9687725e-05,2.3381075e-05,-3.5915966e-06,-6.5477857e-06,4.378202e-06,-7.7980085e-06,-1.3688453e-06,-4.3788964e-06,-2.819655e-06,-0.0011619289,-0.000109177316,-0.00017855513,-0.00072744425,-0.00022492225,-4.4713983e-05,-0.00015864334,-0.00012685174,2.2764005e-05,3.6117526e-06,5.9372185e-05,-6.943322e-05,-2.163914e-06,-0.00012412237,-1.4098624e-05,3.8025455e-06
BV,0.9084985141506733,0.032613993,9.087306439469138e-171,5.2771605e-07,9.024156e-05,0.0001933117,6.0914836e-06,0.00023727215,2.2230008e-05,7.660431e-06,0.0010636726,-1.2101177e-06,1.6876918e-05,1.8356961e-05,-1.0878907e-05,2.4137842e-05,4.5126482e-05,-2.4233896e-05,7.174693e-05,-0.00016711628,-8.510089e-05,-3.1111902e-06,-0.00010764167,-3.9859864e-05,7.6359083e-07,-0.0005160072,3.5742272e-05,-0.00016521689,-0.00011124483,-0.00013742459,-0.0018199203,-0.00025493224,-7.345269e-05,-0.00082771754,0.000536098,-3.051571e-05,-8.179721e-06,-1.9588024e-05,-1.2610263e-05,-1.9331706e-06,-5.4627235e-05,-5.4745455e-05,2.3114277e-05,-0.0003661244,-0.00016450214,-0.00016770986,-0.00080013,-0.00035536438,-0.0003294566,-0.00035347205,2.893815e-05,0.00020282691,-1.3981219e-05,-3.84013e-05,-8.3023406e-05,1.9666308e-05,-0.00020350899,-3.6934096e-05,2.9023415e-05,0.00011954968,-1.106967e-05,-2.622539e-05,-0.0001477573,4.311289e-05,-9.373863e-05,-1.2160828e-05,-1.3839036e-05,-0.0012821057,-0.0010370921,-0.0015153533,0.00050435064,-0.001148884,-0.0009900565,-0.0008459801,-0.0010712099
CA*CA,-0.28115138064906153,0.018263347,1.7875881572446686e-53,-0.00012495962,-7.500366e-07,-7.3476053e-07,-1.8506412e-07,-1.4202563e-05,-1.210271e-06,-7.069329e-06,-1.2101177e-06,0.00033354986,0.0001346115,0.000117579,0.00016917435,0.0002203752,0.00048761486,0.00032570795,7.532116e-05,4.21386e-06,1.3629242e-06,1.03665e-06,-2.3381722e-06,1.5245902e-06,-8.431853e-07,6.0869775e-06,2.1930978e-06,9.3680765e-06,8.0495045e-07,6.5957965e-07,3.3340543e-06,1.6226628e-06,1.3651046e-06,2.504347e-06,-5.032073e-06,-6.699121e-05,5.3677036e-07,-2.3850464e-06,2.862694e-07,1.9899549e-08,-2.605879e-05,3.102676e-06,-3.242152e-06,-0.0003162655,1.6429623e-05,1.4081992e-05,2.5097908e-05,1.5298161e-05,1.1049591e-05,4.7790294e-05,7.6156302e-06,0.0002685511,-9.621097e-07,5.50046e-07,1.2061373e-05,-6.667315e-06,2.6591753e-05,-1.015404e-05,-4.2007267e-07,-0.00041049678,1.1831839e-05,1.661941e-05,-0.00010368833,1.4026208e-05,-4.4773183e-06,1.0325172e-05,1.0618043e-05,-1.8687824e-06,3.89663e-06,-8.258539e-06,-1.5204395e-05,-5.7056616e-07,-4.6340665e-05,1.1479156e-05,2.0051598e-06
CA*BT,-0.14015077767338374,0.017736135,2.7448347401804555e-15,-6.071955e-05,6.104096e-05,1.106003e-05,-8.236806e-08,1.8570787e-05,-1.8894679e-06,-2.7007864e-06,1.6876918e-05,0.0001346115,0.0003145705,-6.678224e-06,-0.0004713973,0.00010090779,0.00044333338,7.7535595e-05,-6.3892126e-06,-0.00010560686,-3.629618e-05,-3.0720406e-05,-5.278804e-06,-1.3547453e-05,-5.482741e-05,3.654702e-05,9.688069e-06,4.04352e-05,5.5680423e-05,-9.956563e-06,-6.50249e-05,-2.2476306e-05,-9.584001e-05,-1.9745821e-05,-2.2586742e-05,5.205191e-05,1.6977727e-05,-9.657176e-06,1.45450745e-08,1.8343931e-06,-0.00010576697,2.4051065e-05,3.5407925e-06,-6.583382e-05,9.4930954e-05,-2.6240734e-05,-8.1404476e-05,-4.178019e-05,-0.0002286156,3.6744237e-05,-9.613073e-06,9.2488495e-05,-9.022396e-07,-1.258563e-07,1.3126857e-05,-1.207343e-05,3.918551e-05,-5.256703e-07,1.0478389e-05,6.9103415e-05,6.8087145e-05,9.618283e-06,4.6946123e-05,1.14563445e-05,-0.00021666578,-7.6360394e-08,-1.7216471e-05,0.000103510094,7.79296e-05,-5.678402e-05,-0.0001775558,-2.4628516e-05,-5.493533e-05,-7.879224e-06,-1.4792188e-05
