Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP,P1,P2,P3
BT-BV-CH-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,1.0,0.0,0.0
BT-BV-CH-BU-CS-CA-DP_0,12,1.104770133,0.179777551,0.0,0.212015752,0.401490514,0.021472142,0.018853547,0.046787036,1.0,0.0,0.0
BT-BV-CH-BU-CS-CA-DP_0,24,1.04351902,0.026561931,0.0,0.191174923,0.303696177,0.039351074,0.028245874,0.059284295,1.0,0.0,0.0
BT-BV-DSM-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571,1.0,0.0,0.0
BT-BV-DSM-BU-CS-CA-DP_0,12,0.932000344,0.089004374,0.423802633,0.0,0.291357674,0.110835938,0.023785905,0.036213133,1.0,0.0,0.0
BT-BV-DSM-BU-CS-CA-DP_0,24,0.70846961,0.084416003,0.577070579,0.0,0.197912986,0.198545283,0.083606545,0.030812308,1.0,0.0,0.0
BT-BV-DSM-CH-BU-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571,1.0,0.0,0.0
BT-BV-DSM-CH-BU-CA-DP_0,12,0.813182263,0.09684879,0.214570373,0.221925337,0.465839563,0.0,0.014800791,0.048166179,1.0,0.0,0.0
BT-BV-DSM-CH-BU-CA-DP_0,24,0.916013137,0.021785618,0.268988464,0.177654735,0.395551563,0.0,0.015594671,0.054078452,1.0,0.0,0.0
BT-BV-DSM-CH-BU-CS-CA_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0,1.0,0.0,0.0
BT-BV-DSM-CH-BU-CS-CA_0,12,0.819566081,0.165307217,0.144121451,0.185107617,0.408795856,0.074406986,0.015861436,0.0,1.0,0.0,0.0
BT-BV-DSM-CH-BU-CS-CA_0,24,0.839403698,0.042994346,0.261323279,0.07856605,0.255850761,0.126104254,0.03709097,0.0,1.0,0.0,0.0
BT-BV-DSM-CH-BU-CS-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571,1.0,0.0,0.0
