Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP
BT-BV-CH-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BT-BV-CH-BU-CS-CA-DP_0,12,1.104770133,0.179777551,0.0,0.212015752,0.401490514,0.021472142,0.018853547,0.046787036
BT-BV-CH-BU-CS-CA-DP_0,24,1.04351902,0.026561931,0.0,0.191174923,0.303696177,0.039351074,0.028245874,0.059284295
BT-BV-DSM-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571
BT-BV-DSM-BU-CS-CA-DP_0,12,0.932000344,0.089004374,0.423802633,0.0,0.291357674,0.110835938,0.023785905,0.036213133
BT-BV-DSM-BU-CS-CA-DP_0,24,0.70846961,0.084416003,0.577070579,0.0,0.197912986,0.198545283,0.083606545,0.030812308
BT-BV-DSM-CH-BU-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571
BT-BV-DSM-CH-BU-CA-DP_0,12,0.813182263,0.09684879,0.214570373,0.221925337,0.465839563,0.0,0.014800791,0.048166179
BT-BV-DSM-CH-BU-CA-DP_0,24,0.916013137,0.021785618,0.268988464,0.177654735,0.395551563,0.0,0.015594671,0.054078452
BT-BV-DSM-CH-BU-CS-CA_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0
BT-BV-DSM-CH-BU-CS-CA_0,12,0.819566081,0.165307217,0.144121451,0.185107617,0.408795856,0.074406986,0.015861436,0.0
BT-BV-DSM-CH-BU-CS-CA_0,24,0.839403698,0.042994346,0.261323279,0.07856605,0.255850761,0.126104254,0.03709097,0.0
BT-BV-DSM-CH-BU-CS-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571
BT-BV-DSM-CH-BU-CS-DP_0,12,0.87964821,0.114830625,0.222011894,0.161537541,0.52040664,0.031488452,0.0,0.056743312
BT-BV-DSM-CH-BU-CS-DP_0,24,0.650796923,0.027637049,0.266119629,0.190669461,0.31255742,0.05002556,0.0,0.037360614
BT-BV-DSM-CH-CS-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571
BT-BV-DSM-CH-CS-CA-DP_0,12,1.108842269,0.186165684,0.282150634,0.126407964,0.0,0.044726941,0.031072291,0.07630086
BT-BV-DSM-CH-CS-CA-DP_0,24,1.087221295,0.069186742,0.428062245,0.093452461,0.0,0.089799211,0.03188087,0.083897151
BT-CA_0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0
BT-CA_0,12,1.715623174,0.0,0.0,0.0,0.0,0.0,0.048043501,0.0
BT-CA_0,24,1.44498783,0.0,0.0,0.0,0.0,0.0,0.046512166,0.0
BT-DSM-CH-BU-CS-CA-DP_0,0,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BT-DSM-CH-BU-CS-CA-DP_0,12,0.899312117,0.0,0.219256353,0.192559568,0.597459188,0.028895496,0.012783932,0.068066678
BT-DSM-CH-BU-CS-CA-DP_0,24,0.822059864,0.0,0.216018034,0.187882114,0.293084379,0.047671358,0.017631696,0.058985898
BU-BT_0,0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0
BU-BT_0,12,1.237538642,0.0,0.0,0.0,0.413294653,0.0,0.0,0.0
BU-BT_0,24,1.211940777,0.0,0.0,0.0,0.354559197,0.0,0.0,0.0
BU-BV_0,0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0
BU-BV_0,12,0.0,0.677923254,0.0,0.0,0.677910064,0.0,0.0,0.0
BU-BV_0,24,0.0,1.007333068,0.0,0.0,0.352166929,0.0,0.0,0.0
BU-CA_0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0
BU-CA_0,12,0.0,0.0,0.0,0.0,1.230954535,0.0,0.070045441,0.0
BU-CA_0,24,0.0,0.0,0.0,0.0,0.939759544,0.0,0.133907125,0.0
BV-BT_0,0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0
BV-BT_0,12,1.759245252,0.229921442,0.0,0.0,0.0,0.0,0.0,0.0
BV-BT_0,24,1.38862985,0.378203472,0.0,0.0,0.0,0.0,0.0,0.0
BV-CA_0,0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0
BV-CA_0,12,0.0,1.215768651,0.0,0.0,0.0,0.0,0.278398007,0.0
BV-CA_0,24,0.0,1.108138883,0.0,0.0,0.0,0.0,0.285361094,0.0
BV-DSM-CH-BU-CS-CA-DP_0,0,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BV-DSM-CH-BU-CS-CA-DP_0,12,0.0,0.142260464,0.34178926,0.124634505,0.756014893,0.061783554,0.022857665,0.080326348
BV-DSM-CH-BU-CS-CA-DP_0,24,0.0,0.28601368,0.361466557,0.082335114,0.347782909,0.197559357,0.056042461,0.057466558
CH-BT_0,0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0
CH-BT_0,12,1.848360128,0.0,0.0,0.114973217,0.0,0.0,0.0,0.0
CH-BT_0,24,1.238869079,0.0,0.0,0.036630937,0.0,0.0,0.0,0.0
CH-BU_0,0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0
CH-BU_0,12,0.0,0.0,0.0,0.15348373,1.235182956,0.0,0.0,0.0
CH-BU_0,24,0.0,0.0,0.0,0.227194306,0.937805652,0.0,0.0,0.0
CH-BV_0,0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0
CH-BV_0,12,0.0,0.851890082,0.0,0.491776636,0.0,0.0,0.0,0.0
CH-BV_0,24,0.0,0.904308544,0.0,0.357191483,0.0,0.0,0.0,0.0
CH-CA_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0
CH-CA_0,12,0.0,0.0,0.0,0.218695908,0.0,0.0,0.082304089,0.0
CH-CA_0,24,0.0,0.0,0.0,0.148478455,0.0,0.0,0.151354881,0.0
CH-CS_0,0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0
CH-CS_0,12,0.0,0.0,0.0,0.319806616,0.0,0.526860034,0.0,0.0
CH-CS_0,24,0.0,0.0,0.0,0.239503103,0.0,0.648996918,0.0,0.0
CH-DP_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005
CH-DP_0,12,0.0,0.0,0.0,0.057250103,0.0,0.0,0.0,0.277416585
CH-DP_0,24,0.0,0.0,0.0,0.046018517,0.0,0.0,0.0,0.291398143
CS-BT_0,0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0
CS-BT_0,12,1.974250319,0.0,0.0,0.0,0.0,0.320583,0.0,0.0
CS-BT_0,24,1.692240411,0.0,0.0,0.0,0.0,0.377759618,0.0,0.0
CS-BU_0,0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0
CS-BU_0,12,0.0,0.0,0.0,0.0,0.882400116,0.742933219,0.0,0.0
CS-BU_0,24,0.0,0.0,0.0,0.0,0.688211432,0.677121873,0.0,0.0
CS-BV_0,0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0
CS-BV_0,12,0.0,1.001307491,0.0,0.0,0.0,0.358525845,0.0,0.0
CS-BV_0,24,0.0,1.018079541,0.0,0.0,0.0,0.145087177,0.0,0.0
CS-CA_0,0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0
CS-CA_0,12,0.0,0.0,0.0,0.0,0.0,0.39072319,0.007776807,0.0
