Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP
BT-BV-CH-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BT-BV-CH-BU-CS-CA-DP_0,12,1.104770133,0.179777551,0.0,0.212015752,0.401490514,0.021472142,0.018853547,0.046787036
BT-BV-CH-BU-CS-CA-DP_0,24,1.04351902,0.026561931,0.0,0.191174923,0.303696177,0.039351074,0.028245874,0.059284295
BT-BV-MS008-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571
BT-BV-MS008-BU-CS-CA-DP_0,12,0.620965878,0.051688696,0.716357402,0.0,0.317193346,0.064475921,0.019695779,0.020789637
BT-BV-MS008-BU-CS-CA-DP_0,24,0.533461481,0.083184839,0.806973356,0.0,0.191836029,0.097406524,0.111149266,0.023821858
BT-BV-MS008-CH-BU-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571
BT-BV-MS008-CH-BU-CA-DP_0,12,0.593304849,0.076308162,0.614228508,0.106027283,0.372760447,0.0,0.013462371,0.029741717
BT-BV-MS008-CH-BU-CA-DP_0,24,0.675428481,0.023305986,0.745282779,0.129234917,0.34982781,0.0,0.018027764,0.032392272
BT-BV-MS008-CH-BU-CS-CA_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0
BT-BV-MS008-CH-BU-CS-CA_0,12,0.704108903,0.122795861,0.422412258,0.110329856,0.340430634,0.063948969,0.011806794,0.0
BT-BV-MS008-CH-BU-CS-CA_0,24,0.552668372,0.024212173,0.689997042,0.056191283,0.241267738,0.050884232,0.036445828,0.0
BT-BV-MS008-CH-BU-CS-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571
BT-BV-MS008-CH-BU-CS-DP_0,12,0.664136366,0.076122944,0.555583432,0.11809854,0.429682312,0.022726068,0.0,0.034150354
BT-BV-MS008-CH-BU-CS-DP_0,24,0.683514544,0.025201036,0.591663484,0.119147031,0.335286809,0.052764147,0.0,0.032422959
BT-BV-MS008-CH-CS-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571
BT-BV-MS008-CH-CS-CA-DP_0,12,1.001764805,0.123252584,0.551372173,0.09863051,0.0,0.023214608,0.024903187,0.049695411
BT-BV-MS008-CH-CS-CA-DP_0,24,1.014694372,0.045698535,0.719334107,0.110891271,0.0,0.045747008,0.064289051,0.05434563
BT-CA_0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0
BT-CA_0,12,1.715623174,0.0,0.0,0.0,0.0,0.0,0.048043501,0.0
BT-CA_0,24,1.44498783,0.0,0.0,0.0,0.0,0.0,0.046512166,0.0
BT-MS008-CH-BU-CS-CA-DP_0,0,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BT-MS008-CH-BU-CS-CA-DP_0,12,0.798590459,0.0,0.479032874,0.114648746,0.525544991,0.020326089,0.012259416,0.044930765
BT-MS008-CH-BU-CS-CA-DP_0,24,0.731420935,0.0,0.549851994,0.135784302,0.364330894,0.042528862,0.027148206,0.04193482
BU-BT_0,0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0
BU-BT_0,12,1.237538642,0.0,0.0,0.0,0.413294653,0.0,0.0,0.0
BU-BT_0,24,1.211940777,0.0,0.0,0.0,0.354559197,0.0,0.0,0.0
BU-BV_0,0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0
BU-BV_0,12,0.0,0.677923254,0.0,0.0,0.677910064,0.0,0.0,0.0
BU-BV_0,24,0.0,1.007333068,0.0,0.0,0.352166929,0.0,0.0,0.0
BU-CA_0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0
BU-CA_0,12,0.0,0.0,0.0,0.0,1.230954535,0.0,0.070045441,0.0
BU-CA_0,24,0.0,0.0,0.0,0.0,0.939759544,0.0,0.133907125,0.0
BV-BT_0,0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0
BV-BT_0,12,1.759245252,0.229921442,0.0,0.0,0.0,0.0,0.0,0.0
BV-BT_0,24,1.38862985,0.378203472,0.0,0.0,0.0,0.0,0.0,0.0
BV-CA_0,0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0
BV-CA_0,12,0.0,1.215768651,0.0,0.0,0.0,0.0,0.278398007,0.0
BV-CA_0,24,0.0,1.108138883,0.0,0.0,0.0,0.0,0.285361094,0.0
BV-MS008-CH-BU-CS-CA-DP_0,0,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BV-MS008-CH-BU-CS-CA-DP_0,12,0.0,0.075292864,0.572201297,0.064235891,0.594705949,0.035311059,0.015368293,0.046051305
BV-MS008-CH-BU-CS-CA-DP_0,24,0.0,0.024274506,0.606693168,0.096626964,0.50158355,0.24961974,0.060020781,0.049181308
CH-BT_0,0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0
CH-BT_0,12,1.848360128,0.0,0.0,0.114973217,0.0,0.0,0.0,0.0
CH-BT_0,24,1.238869079,0.0,0.0,0.036630937,0.0,0.0,0.0,0.0
CH-BU_0,0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0
CH-BU_0,12,0.0,0.0,0.0,0.15348373,1.235182956,0.0,0.0,0.0
CH-BU_0,24,0.0,0.0,0.0,0.227194306,0.937805652,0.0,0.0,0.0
CH-BV_0,0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0
CH-BV_0,12,0.0,0.851890082,0.0,0.491776636,0.0,0.0,0.0,0.0
CH-BV_0,24,0.0,0.904308544,0.0,0.357191483,0.0,0.0,0.0,0.0
CH-CA_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0
CH-CA_0,12,0.0,0.0,0.0,0.218695908,0.0,0.0,0.082304089,0.0
CH-CA_0,24,0.0,0.0,0.0,0.148478455,0.0,0.0,0.151354881,0.0
CH-CS_0,0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0
CH-CS_0,12,0.0,0.0,0.0,0.319806616,0.0,0.526860034,0.0,0.0
CH-CS_0,24,0.0,0.0,0.0,0.239503103,0.0,0.648996918,0.0,0.0
CH-DP_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005
CH-DP_0,12,0.0,0.0,0.0,0.057250103,0.0,0.0,0.0,0.277416585
CH-DP_0,24,0.0,0.0,0.0,0.046018517,0.0,0.0,0.0,0.291398143
CS-BT_0,0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0
CS-BT_0,12,1.974250319,0.0,0.0,0.0,0.0,0.320583,0.0,0.0
CS-BT_0,24,1.692240411,0.0,0.0,0.0,0.0,0.377759618,0.0,0.0
CS-BU_0,0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0
CS-BU_0,12,0.0,0.0,0.0,0.0,0.882400116,0.742933219,0.0,0.0
CS-BU_0,24,0.0,0.0,0.0,0.0,0.688211432,0.677121873,0.0,0.0
CS-BV_0,0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0
CS-BV_0,12,0.0,1.001307491,0.0,0.0,0.0,0.358525845,0.0,0.0
CS-BV_0,24,0.0,1.018079541,0.0,0.0,0.0,0.145087177,0.0,0.0
CS-CA_0,0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0
CS-CA_0,12,0.0,0.0,0.0,0.0,0.0,0.39072319,0.007776807,0.0
