Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP
BT-BV-CH-CS,0,0.0025,0.0025,0.0,0.0025,0.0,0.0025,0.0,0.0
BT-BV-CH-CS,24,,,,,,,,
BT-BV-BU-CS,0,0.0025,0.0025,0.0,0.0,0.0025,0.0025,0.0,0.0
BT-BV-BU-CS,24,,,,,,,,
BT-BV-BU-DP,0,0.0025,0.0025,0.0,0.0,0.0025,0.0,0.0,0.0025
BT-BV-BU-DP,24,,,,,,,,
BT-BV-CS-DP,0,0.0025,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0025
BT-BV-CS-DP,24,,,,,,,,
BT-CD-CH-BU-CS-CA,0,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0
BT-CD-CH-BU-CS-CA,24,,,,,,,,
BT-CD-CH-BU-CS-DP,0,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666
BT-CD-CH-BU-CS-DP,24,,,,,,,,
BT-CD-CH-BU-CS,0,0.002,0.0,0.002,0.002,0.002,0.002,0.0,0.0
BT-CD-CH-BU-CS,24,,,,,,,,
BT-BU-CS-DP,0,0.0025,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0025
BT-BU-CS-DP,24,,,,,,,,
BT-BU-CA-DP,0,0.0025,0.0,0.0,0.0,0.0025,0.0,0.0025,0.0025
BT-BU-CA-DP,24,,,,,,,,
BV-CD-CH-BU-CA,0,0.0,0.002,0.002,0.002,0.002,0.0,0.002,0.0
BV-CD-CH-BU-CA,24,,,,,,,,
BV-CD-CH-BU,0,0.0,0.0025,0.0025,0.0025,0.0025,0.0,0.0,0.0
BV-CD-CH-BU,24,,,,,,,,
BV-CD-CH-CS-DP,0,0.0,0.002,0.002,0.002,0.0,0.002,0.0,0.002
BV-CD-CH-CS-DP,24,,,,,,,,
BV-CD-CH-DP,0,0.0,0.0025,0.0025,0.0025,0.0,0.0,0.0,0.0025
BV-CD-CH-DP,24,,,,,,,,
BV-CD-CH,0,0.0,0.003333333333333333,0.003333333333333333,0.003333333333333333,0.0,0.0,0.0,0.0
BV-CD-CH,24,,,,,,,,
BV-CD-BU-CS-CA-DP,0,0.0,0.0016666666666666666,0.0016666666666666666,0.0,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666,0.0016666666666666666
BV-CD-BU-CS-CA-DP,24,,,,,,,,
BV-CD-BU-CS-DP,0,0.0,0.002,0.002,0.0,0.002,0.002,0.0,0.002
BV-CD-BU-CS-DP,24,,,,,,,,
BV-CD-BU-CS,0,0.0,0.0025,0.0025,0.0,0.0025,0.0025,0.0,0.0
BV-CD-BU-CS,24,,,,,,,,
BV-CD-BU-CA-DP,0,0.0,0.002,0.002,0.0,0.002,0.0,0.002,0.002
BV-CD-BU-CA-DP,24,,,,,,,,
BV-CD-CS-CA-DP,0,0.0,0.002,0.002,0.0,0.0,0.002,0.002,0.002
BV-CD-CS-CA-DP,24,,,,,,,,
BV-CD-CS-CA,0,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0025,0.0
BV-CD-CS-CA,24,,,,,,,,
BV-CD-CA-DP,0,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0025,0.0025
BV-CD-CA-DP,24,,,,,,,,
CD-CH-BU-CA,0,0.0,0.0,0.0025,0.0025,0.0025,0.0,0.0025,0.0
CD-CH-BU-CA,24,,,,,,,,
CD-CH-CS-DP,0,0.0,0.0,0.0025,0.0025,0.0,0.0025,0.0,0.0025
CD-CH-CS-DP,24,,,,,,,,
CD-CH-CA-DP,0,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0025,0.0025
CD-CH-CA-DP,24,,,,,,,,
CD-CH-CA,0,0.0,0.0,0.003333333333333333,0.003333333333333333,0.0,0.0,0.003333333333333333,0.0
CD-CH-CA,24,,,,,,,,
CD-BU-CS-DP,0,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0,0.0025
CD-BU-CS-DP,24,,,,,,,,
CD-BU-CS,0,0.0,0.0,0.003333333333333333,0.0,0.003333333333333333,0.003333333333333333,0.0,0.0
CD-BU-CS,24,,,,,,,,
CD-BU-DP,0,0.0,0.0,0.003333333333333333,0.0,0.003333333333333333,0.0,0.0,0.003333333333333333
CD-BU-DP,24,,,,,,,,
CD-CS-CA,0,0.0,0.0,0.003333333333333333,0.0,0.0,0.003333333333333333,0.003333333333333333,0.0
CD-CS-CA,24,,,,,,,,
CH-CS-CA-DP,0,0.0,0.0,0.0,0.0025,0.0,0.0025,0.0025,0.0025
CH-CS-CA-DP,24,,,,,,,,
BU-CS-CA-DP,0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0025,0.0025
BU-CS-CA-DP,24,,,,,,,,
