species,true,pred,stdv
BT,0.932000344,1.1596691608428955,0.3490884006023407
BV,0.089004374,0.14256000518798828,0.11148951947689056
CD,0.423802633,0.4893239140510559,0.10012171417474747
BU,0.291357674,0.22679957747459412,0.1772410124540329
CS,0.110835938,0.03702659159898758,0.07600315660238266
CA,0.023785905,0.006410468369722366,0.018321655690670013
DP,0.036213133,0.007306033279746771,0.04151945188641548
BT,0.70846961,1.2239727973937988,0.34795382618904114
BV,0.084416003,0.0073558613657951355,0.1069362610578537
CD,0.577070579,0.46793851256370544,0.09943651407957077
BU,0.197912986,0.19876766204833984,0.19114196300506592
CS,0.198545283,0.04480387270450592,0.08142794668674469
CA,0.083606545,0.000437824783148244,0.018142718821763992
DP,0.030812308,7.893916335888207e-05,0.041268907487392426
BT,0.899312117,1.0754308700561523,0.3523508608341217
CD,0.219256353,0.23330377042293549,0.09798908978700638
CH,0.192559568,0.11134704947471619,0.07014058530330658
BU,0.597459188,0.4124367833137512,0.1759689301252365
CS,0.028895496,0.10936139523983002,0.07846108824014664
CA,0.012783932,0.0049685086123645306,0.018208062276244164
DP,0.068066678,0.03502693027257919,0.04525274410843849
BT,0.822059864,1.175413727760315,0.35188722610473633
CD,0.216018034,0.26173171401023865,0.10128877311944962
CH,0.187882114,0.10186149924993515,0.07120697945356369
BU,0.293084379,0.3576327860355377,0.17780809104442596
CS,0.047671358,0.17429953813552856,0.0960899069905281
CA,0.017631696,0.003900782437995076,0.01848159171640873
DP,0.058985898,0.03286595642566681,0.050515007227659225
BV,0.142260464,0.8376821875572205,0.2573728561401367
CD,0.34178926,0.08236978948116302,0.11854216456413269
CH,0.124634505,0.08375117182731628,0.08122409135103226
BU,0.756014893,0.7748292088508606,0.21743270754814148
CS,0.061783554,0.0019269402837380767,0.07537262886762619
CA,0.022857665,0.20304545760154724,0.10910189896821976
DP,0.080326348,0.8913383483886719,0.17133964598178864
BV,0.28601368,1.172603964805603,0.28861889243125916
CD,0.361466557,0.0002968968765344471,0.0896996259689331
CH,0.082335114,0.004161215852946043,0.07079663127660751
BU,0.347782909,0.7005415558815002,0.30469927191734314
CS,0.197559357,5.05449547098585e-15,0.0753316730260849
CA,0.056042461,0.3199242651462555,0.12608058750629425
DP,0.057466558,0.8178311586380005,0.27340248227119446
CS,0.39072319,0.409756600856781,0.09207634627819061
CA,0.007776807,0.013624670915305614,0.020259687677025795
CS,0.796445552,0.5061852335929871,0.20095472037792206
CA,0.271721073,0.024694550782442093,0.05575508624315262
BT,0.819566081,0.7678216695785522,0.3356136381626129
BV,0.165307217,0.1195896789431572,0.10968726873397827
CD,0.144121451,0.28257954120635986,0.11430740356445312
CH,0.185107617,0.19184447824954987,0.065750353038311
BU,0.408795856,0.47376924753189087,0.17823828756809235
CS,0.074406986,0.04381231591105461,0.08083442598581314
CA,0.015861436,0.0327516607940197,0.028698250651359558
BT,0.839403698,0.17011956870555878,0.4807012677192688
BV,0.042994346,0.008130955509841442,0.1053844466805458
CD,0.261323279,0.17965500056743622,0.18401190638542175
CH,0.07856605,0.3147379755973816,0.16949987411499023
BU,0.255850761,0.9760382175445557,0.420730322599411
CS,0.126104254,0.14225229620933533,0.13260701298713684
CA,0.03709097,0.2106812298297882,0.11773262172937393
BT,1.759245252,1.4194453954696655,0.3292420208454132
BV,0.229921442,0.18863649666309357,0.14655998349189758
BT,1.38862985,1.4518440961837769,0.3250713348388672
BV,0.378203472,0.02977391891181469,0.12369164824485779
CH,0.319806616,0.35362517833709717,0.07209675014019012
CS,0.526860034,0.02810405008494854,0.08211570978164673
CH,0.239503103,0.30630943179130554,0.06626399606466293
CS,0.648996918,0.006104048807173967,0.08014488965272903
BT,1.074006217,0.8439655303955078,0.3313509523868561
BV,0.068793552,0.12718087434768677,0.10988764464855194
CD,0.208901129,0.2911984920501709,0.1137257069349289
CH,0.135341326,0.16195048391819,0.06435146182775497
BU,0.47285259,0.418748140335083,0.1746562123298645
CS,0.029410725,0.0424756295979023,0.08039779216051102
CA,0.013908409,0.02301284670829773,0.02794225700199604
DP,0.04461936,0.01729349046945572,0.07059551030397415
BT,0.879153222,0.4565492868423462,0.46267783641815186
BV,0.020816865,0.005024168640375137,0.10481662303209305
CD,0.233262654,0.22530780732631683,0.1433161348104477
CH,0.125018581,0.2272454798221588,0.09358911961317062
BU,0.247044154,0.7300891280174255,0.27720507979393005
CS,0.049355235,0.1053607165813446,0.10095305740833282
CA,0.034861456,0.13059252500534058,0.059141818434000015
DP,0.037821203,0.023665159940719604,0.08898694813251495
BT,1.104770133,0.7981613874435425,0.38307368755340576
BV,0.179777551,0.23111625015735626,0.12662123143672943
CH,0.212015752,0.20549775660037994,0.06880367547273636
BU,0.401490514,0.49683722853660583,0.16688482463359833
CS,0.021472142,0.1677456796169281,0.11394473910331726
CA,0.018853547,0.005384476389735937,0.0386463962495327
DP,0.046787036,0.150612473487854,0.18651781976222992
BT,1.04351902,0.0007269571069628,0.29753822088241577
BV,0.026561931,0.7675058245658875,0.37370628118515015
CH,0.191174923,0.17834465205669403,0.2157493531703949
BU,0.303696177,0.3627406358718872,0.29938000440597534
CS,0.039351074,3.647372295745299e-06,0.0888124480843544
CA,0.028245874,1.8506773002968657e-08,0.03844724968075752
DP,0.059284295,0.9780414700508118,0.4449678063392639
CH,0.057250103,0.23727275431156158,0.07878191024065018
DP,0.277416585,0.20094288885593414,0.2744145691394806
CH,0.046018517,0.1631186455488205,0.14618675410747528
DP,0.291398143,0.5255174040794373,0.27892550826072693
CD,0.477647703,0.572966992855072,0.09423461556434631
CA,0.01851895,0.1622621715068817,0.08009638637304306
CD,0.418003056,0.5939201712608337,0.10956844687461853
CA,0.010830291,0.24904076755046844,0.07873357832431793
CD,0.543361338,0.5691283941268921,0.09034755825996399
CS,0.143305311,0.018619762733578682,0.09012450277805328
CD,0.431201436,0.5846663117408752,0.09036410599946976
CS,0.2156319,0.0004295361286494881,0.08882007002830505
BT,0.813182263,1.090972900390625,0.3259696960449219
BV,0.09684879,0.13462111353874207,0.10084810853004456
CD,0.214570373,0.2537972331047058,0.0978517234325409
CH,0.221925337,0.1033664420247078,0.0688646137714386
BU,0.465839563,0.22538019716739655,0.2155417948961258
CA,0.014800791,0.010673447512090206,0.011294791474938393
DP,0.048166179,0.08186028897762299,0.048636797815561295
BT,0.916013137,0.9599213600158691,0.5443606972694397
BV,0.021785618,0.07514780014753342,0.1386605054140091
CD,0.268988464,0.1846286505460739,0.12123953551054001
CH,0.177654735,0.024933256208896637,0.06981626152992249
BU,0.395551563,0.27082186937332153,0.25518307089805603
CA,0.015594671,0.002476113149896264,0.011598053388297558
DP,0.054078452,0.2563951909542084,0.1446688324213028
CH,0.218695908,0.269742876291275,0.06967518478631973
CA,0.082304089,0.0017515122890472412,0.011178752407431602
CH,0.148478455,0.28706344962120056,0.06978319585323334
CA,0.151354881,4.309076757635921e-05,0.011144930496811867
CS,0.344121404,0.3552473187446594,0.11203847080469131
DP,0.145211948,0.0015143771888688207,0.04058636352419853
CS,0.189840092,0.6336339712142944,0.11180946230888367
DP,0.234493228,1.2012750169598796e-11,0.04054518789052963
BT,1.941975593,1.2663930654525757,0.3182297646999359
DP,0.067857769,0.019618699327111244,0.04126216471195221
BT,1.870548571,1.301592469215393,0.3182215690612793
DP,0.06045144,0.012279135175049305,0.0432070754468441
BT,1.108842269,1.3877147436141968,0.34127113223075867
BV,0.186165684,0.1709267646074295,0.0866558626294136
CD,0.282150634,0.25595834851264954,0.09868373721837997
CH,0.126407964,0.1670038402080536,0.07274718582630157
CS,0.044726941,0.03490406274795532,0.0932907909154892
CA,0.031072291,0.01681717112660408,0.03730589151382446
DP,0.07630086,0.002234515268355608,0.0562492311000824
BT,1.087221295,1.4112931489944458,0.3393952548503876
BV,0.069186742,0.045636363327503204,0.08551043272018433
CD,0.428062245,0.2249365746974945,0.10346978157758713
CH,0.093452461,0.13709329068660736,0.07432892173528671
CS,0.089799211,0.07993581146001816,0.10176078230142593
CA,0.03188087,0.019675809890031815,0.04014952853322029
DP,0.083897151,2.365022010053508e-05,0.056237246841192245
BV,1.413939791,0.7565833926200867,0.15157869458198547
DP,0.20789352,0.07466557621955872,0.06469376385211945
BV,1.188235427,0.17953599989414215,0.2547873556613922
DP,0.326731266,0.22547900676727295,0.07242827862501144
CA,0.002926229,0.01894904486835003,0.03714901953935623
DP,0.131907108,0.03373391926288605,0.05735032632946968
CA,0.005125868,0.040940266102552414,0.03931651636958122
DP,0.150374126,0.04096715897321701,0.07015357911586761
CD,0.602670904,0.5251083374023438,0.10050805658102036
