species,true,pred,stdv
BT,0.822059864,0.9154625535011292,0.30444446206092834
CD,0.216018034,0.364651620388031,0.2695555090904236
CH,0.187882114,0.060389935970306396,0.06329263001680374
BU,0.293084379,0.23432709276676178,0.14140170812606812
CS,0.047671358,0.08659546822309494,0.0978214368224144
CA,0.017631696,0.059012386947870255,0.07418344914913177
DP,0.058985898,0.01619529351592064,0.044004764407873154
CD,0.196983658,0.4648011326789856,0.2694544792175293
CH,0.183349663,0.06813813000917435,0.06324946135282516
CD,0.422388255,0.46571439504623413,0.269389271736145
CH,0.095945092,0.06742748618125916,0.06346192210912704
BT,0.916013137,0.8348652720451355,0.28645196557044983
BV,0.021785618,0.11204972863197327,0.13668355345726013
CD,0.268988464,0.29598456621170044,0.271962970495224
CH,0.177654735,0.12360717356204987,0.07038909941911697
BU,0.395551563,0.24591857194900513,0.13911443948745728
CA,0.015594671,0.04117200896143913,0.07774630934000015
DP,0.054078452,0.0722743570804596,0.04846102371811867
BT,1.238869079,1.3687914609909058,0.30774256587028503
CH,0.036630937,0.2197340875864029,0.07415939122438431
BT,1.870548571,0.8242133259773254,0.7406752705574036
DP,0.06045144,0.5756735801696777,0.1109081506729126
CH,0.148478455,0.0044829524122178555,0.06405965238809586
CA,0.151354881,0.08921732008457184,0.05513336881995201
CS,0.796445552,0.7762947678565979,0.1644066721200943
CA,0.271721073,1.2730846405029297,0.24164453148841858
BT,1.138484948,1.707430362701416,0.20072951912879944
CD,0.294181688,0.030285999178886414,0.18395882844924927
BU,0.688211432,0.5977636575698853,0.30585020780563354
CS,0.677121873,0.392941415309906,0.17357133328914642
BT,1.352309648,1.1897283792495728,0.2852463722229004
CD,0.006190332,0.5092864036560059,0.2395920306444168
CD,0.386810871,0.4476770758628845,0.2431182563304901
DP,0.201355799,0.24887628853321075,0.05816008523106575
BT,1.38862985,1.7155665159225464,0.30252864956855774
BV,0.378203472,0.07529079169034958,0.1547214239835739
CH,0.046018517,0.6695098280906677,0.22078998386859894
DP,0.291398143,0.3043285012245178,0.155507430434227
BV,1.018079541,1.1486129760742188,0.5579013228416443
CS,0.145087177,0.8013619184494019,0.2733297049999237
BT,1.04351902,0.9913914203643799,0.29579344391822815
BV,0.026561931,0.04808677360415459,0.1419820785522461
CH,0.191174923,0.18335962295532227,0.06450235843658447
BU,0.303696177,0.568701446056366,0.16104061901569366
CS,0.039351074,0.14009104669094086,0.15170402824878693
CA,0.028245874,6.919980933162151e-06,0.05324515327811241
DP,0.059284295,0.18255411088466644,0.08330108225345612
BV,0.28601368,0.8028585314750671,0.2716214954853058
CD,0.361466557,0.03473592922091484,0.28032398223876953
CH,0.082335114,0.24024975299835205,0.1082007959485054
BU,0.347782909,0.23064489662647247,0.22127963602542877
CS,0.197559357,5.116595147569569e-09,0.07436788827180862
CA,0.056042461,5.958998793074354e-20,0.05324511602520943
DP,0.057466558,0.7989805340766907,0.1702873706817627
CD,0.819892242,0.46798789501190186,0.2502385973930359
BU,0.464274389,0.457388311624527,0.15661317110061646
CA,0.005125868,2.747167510835924e-12,0.05522119626402855
DP,0.150374126,0.5910607576370239,0.05680468678474426
CD,0.44265096,0.5118044018745422,0.26471468806266785
CA,0.020349036,9.90382832242176e-05,0.05522198602557182
CD,0.309946765,0.33691614866256714,0.2872724235057831
DP,0.234386575,0.30123236775398254,0.062445033341646194
BT,1.085880208,0.8329936265945435,0.29476749897003174
BV,0.019347845,0.006495015230029821,0.13014911115169525
CD,0.008059489,0.39545705914497375,0.2568851411342621
CH,0.012207406,0.12345653772354126,0.06380446255207062
BU,0.357577603,0.2512526214122772,0.14742977917194366
CS,0.19024458,0.029058469459414482,0.08355496823787689
CA,0.132498384,0.00036888939212076366,0.05203057825565338
DP,0.008017855,0.02396981604397297,0.04660503938794136
CD,0.431201436,0.4985760748386383,0.25576987862586975
CS,0.2156319,0.1279314011335373,0.09102807939052582
CD,0.180305237,0.3639987111091614,0.2586142122745514
DP,0.287528099,0.18081167340278625,0.05609982833266258
BT,0.70846961,1.15617835521698,0.24012652039527893
BV,0.084416003,0.043595779687166214,0.12974213063716888
CD,0.577070579,0.454275518655777,0.22788949310779572
BU,0.197912986,0.08560923486948013,0.15344692766666412
CS,0.198545283,0.0020430604927241802,0.08168113976716995
CA,0.083606545,0.0023370401468127966,0.035471826791763306
DP,0.030812308,0.0754133090376854,0.06429129093885422
BT,1.242124183,1.12043035030365,0.22721458971500397
CD,0.465042455,0.48886406421661377,0.22616752982139587
BT,1.426782663,0.8733087182044983,0.22812482714653015
BV,0.001012411,0.0023260114248842,0.12575574219226837
CD,0.141202105,0.3779672384262085,0.22754104435443878
BU,0.040811966,0.2733610272407532,0.15712523460388184
CS,0.045216915,0.11538538336753845,0.09123621881008148
CA,0.065303099,0.047428980469703674,0.03809049353003502
DP,0.000504179,0.000555562088266015,0.0475575290620327
CS,0.189840092,3.5970252926405266e-13,0.07840640842914581
DP,0.234493228,0.7156440019607544,0.07114505022764206
