species,true,pred,stdv
BT,0.813182263,0.9969985485076904,0.28730854392051697
BV,0.09684879,0.21246398985385895,0.159302219748497
CD,0.214570373,0.29404202103614807,0.24057979881763458
CH,0.221925337,0.10658226162195206,0.054642803966999054
BU,0.465839563,0.2524908483028412,0.19775523245334625
CA,0.014800791,0.021589651703834534,0.057526007294654846
DP,0.048166179,0.04102466255426407,0.043203938752412796
BT,0.916013137,1.0240620374679565,0.28432077169418335
BV,0.021785618,0.03313134238123894,0.15618689358234406
CD,0.268988464,0.34444332122802734,0.24256877601146698
CH,0.177654735,0.08688197284936905,0.05532827973365784
BU,0.395551563,0.23600555956363678,0.20219860970973969
CA,0.015594671,0.03179750591516495,0.059199754148721695
DP,0.054078452,0.03230944648385048,0.048772282898426056
BT,0.899312117,1.0709774494171143,0.2948567271232605
CD,0.219256353,0.32912057638168335,0.2404952198266983
CH,0.192559568,0.05673454701900482,0.05355272442102432
BU,0.597459188,0.348339319229126,0.200325608253479
CS,0.028895496,0.08819932490587234,0.09259677678346634
CA,0.012783932,0.014662813395261765,0.057138822972774506
DP,0.068066678,0.04692394286394119,0.04541806876659393
BT,0.822059864,1.0424351692199707,0.28435632586479187
CD,0.216018034,0.4331357479095459,0.24103997647762299
CH,0.187882114,0.052859723567962646,0.055641964077949524
BU,0.293084379,0.18387892842292786,0.2000070959329605
CS,0.047671358,0.1080692857503891,0.09617862850427628
CA,0.017631696,0.08600189536809921,0.061315491795539856
DP,0.058985898,0.0011421528179198503,0.04144623130559921
BT,1.848360128,0.8580013513565063,0.3273440897464752
CH,0.114973217,0.2619902789592743,0.055579476058483124
BT,1.238869079,0.8060284852981567,0.3623276650905609
CH,0.036630937,0.30020904541015625,0.05562460422515869
BT,1.941975593,1.2044256925582886,0.28051891922950745
DP,0.067857769,0.009662896394729614,0.0416320376098156
BT,1.870548571,1.2448835372924805,0.2797430455684662
DP,0.06045144,0.0005146643379703164,0.04139403998851776
CD,0.225136881,0.3907126486301422,0.24304519593715668
CH,0.121029815,0.09539508819580078,0.055303387343883514
CD,0.196983658,0.4275224804878235,0.24372631311416626
CH,0.183349663,0.07707881927490234,0.06047716364264488
CD,0.38101904,0.39364030957221985,0.2435493767261505
CH,0.035480939,0.09899506717920303,0.0556979775428772
CD,0.422388255,0.42635515332221985,0.2441527396440506
CH,0.095945092,0.07810933142900467,0.06110009178519249
CH,0.218695908,0.2649911046028137,0.0682530552148819
CA,0.082304089,0.00016493145085405558,0.02221633307635784
CH,0.148478455,0.2952421009540558,0.0684710294008255
CA,0.151354881,4.064870662290332e-09,0.022215623408555984
BU,0.882400116,0.8022589087486267,0.1959480196237564
CS,0.742933219,0.3618544340133667,0.09733559191226959
BU,0.688211432,0.807002604007721,0.23558716475963593
CS,0.677121873,0.529469907283783,0.10045410692691803
CS,0.39072319,0.4531187415122986,0.09673430770635605
CA,0.007776807,0.7697891592979431,0.1612425297498703
CS,0.796445552,0.6576095223426819,0.1748000681400299
CA,0.271721073,1.2265102863311768,0.295194149017334
BT,1.560575242,1.3574767112731934,0.30445224046707153
CD,0.028591436,0.22249135375022888,0.17166146636009216
BT,1.352309648,1.363736867904663,0.3048529326915741
CD,0.006190332,0.21796539425849915,0.17387166619300842
BT,0.674494266,1.4269471168518066,0.30268093943595886
CD,1.104339035,0.02186199463903904,0.16618278622627258
BT,1.138484948,1.3952924013137817,0.3038312792778015
CD,0.294181688,0.13943828642368317,0.1852279007434845
CD,0.469494056,0.4119405448436737,0.168997123837471
DP,0.113505934,0.08195158839225769,0.050447411835193634
CD,0.386810871,0.2467019408941269,0.17806021869182587
DP,0.201355799,0.24020004272460938,0.05262739956378937
BT,1.104770133,0.848633885383606,0.3628469407558441
BV,0.179777551,0.14137907326221466,0.14811547100543976
CH,0.212015752,0.18858622014522552,0.06937327235937119
BU,0.401490514,0.6421664953231812,0.18973426520824432
