Treatments,species,true,pred,stdv
BT-BV-MS001-BU-CS-CA-DP_0,BT,0.64709308,0.907606303691864,0.322083979845047
BT-BV-MS001-BU-CS-CA-DP_0,BV,0.088616829,0.10066870599985123,0.10512685775756836
BT-BV-MS001-BU-CS-CA-DP_0,CD,0.64665243,0.7167031168937683,0.1368701159954071
BT-BV-MS001-BU-CS-CA-DP_0,BU,0.292826327,0.17046023905277252,0.15795274078845978
BT-BV-MS001-BU-CS-CA-DP_0,CS,0.067192825,0.019356969743967056,0.08060134202241898
BT-BV-MS001-BU-CS-CA-DP_0,CA,0.017417236,0.010345131158828735,0.01610332727432251
BT-BV-MS001-BU-CS-CA-DP_0,DP,0.021701213,0.011559885926544666,0.040730178356170654
BT-BV-MS001-BU-CS-CA-DP_0,BT,0.666666238,0.9482980370521545,0.3198874890804291
BT-BV-MS001-BU-CS-CA-DP_0,BV,0.026042711,0.0050655934028327465,0.1021452322602272
BT-BV-MS001-BU-CS-CA-DP_0,CD,0.72910913,0.629768431186676,0.13481131196022034
BT-BV-MS001-BU-CS-CA-DP_0,BU,0.217456601,0.1823103427886963,0.1639859974384308
BT-BV-MS001-BU-CS-CA-DP_0,CS,0.136722092,0.0025819602888077497,0.08008183538913727
BT-BV-MS001-BU-CS-CA-DP_0,CA,0.102708403,0.016663499176502228,0.017355524003505707
BT-BV-MS001-BU-CS-CA-DP_0,DP,0.023794824,0.00391292804852128,0.04067603126168251
BT-MS001-CH-BU-CS-CA-DP_0,BT,0.756708922,1.1387640237808228,0.3201286494731903
BT-MS001-CH-BU-CS-CA-DP_0,CD,0.461238003,0.42426952719688416,0.14867302775382996
BT-MS001-CH-BU-CS-CA-DP_0,CH,0.100994222,0.06864450871944427,0.06933525204658508
BT-MS001-CH-BU-CS-CA-DP_0,BU,0.477315436,0.2967197000980377,0.16050872206687927
BT-MS001-CH-BU-CS-CA-DP_0,CS,0.017373725,0.07975389808416367,0.08364209532737732
BT-MS001-CH-BU-CS-CA-DP_0,CA,0.011090124,0.005766216665506363,0.016002744436264038
BT-MS001-CH-BU-CS-CA-DP_0,DP,0.038112876,0.023861698806285858,0.041730497032403946
BT-MS001-CH-BU-CS-CA-DP_0,BT,0.68899837,0.9827952980995178,0.32021212577819824
BT-MS001-CH-BU-CS-CA-DP_0,CD,0.48956557,0.5905154943466187,0.1387327015399933
BT-MS001-CH-BU-CS-CA-DP_0,CH,0.096550713,0.0327601432800293,0.06959803402423859
BT-MS001-CH-BU-CS-CA-DP_0,BU,0.292102129,0.23384422063827515,0.16105026006698608
BT-MS001-CH-BU-CS-CA-DP_0,CS,0.042922601,0.01622784323990345,0.0832916796207428
BT-MS001-CH-BU-CS-CA-DP_0,CA,0.021419684,0.012004268355667591,0.01751379482448101
BT-MS001-CH-BU-CS-CA-DP_0,DP,0.025440925,0.026469256728887558,0.04472459480166435
BV-MS001-CH-BU-CS-CA-DP_0,BV,0.067700162,0.2927965819835663,0.12616772949695587
BV-MS001-CH-BU-CS-CA-DP_0,CD,0.540168901,0.8890385031700134,0.1615932136774063
BV-MS001-CH-BU-CS-CA-DP_0,CH,0.086380448,0.04499874636530876,0.06993940472602844
BV-MS001-CH-BU-CS-CA-DP_0,BU,0.499195846,0.4088152348995209,0.1737550050020218
BV-MS001-CH-BU-CS-CA-DP_0,CS,0.033567452,0.005128831136971712,0.08003957569599152
BV-MS001-CH-BU-CS-CA-DP_0,CA,0.013168218,0.02268783561885357,0.019816534593701363
BV-MS001-CH-BU-CS-CA-DP_0,DP,0.032485681,0.3747200071811676,0.10400673002004623
BV-MS001-CH-BU-CS-CA-DP_0,BV,0.026135882,0.2523123025894165,0.15649628639221191
BV-MS001-CH-BU-CS-CA-DP_0,CD,0.605188622,0.8875847458839417,0.1650637537240982
BV-MS001-CH-BU-CS-CA-DP_0,CH,0.070855828,3.2372070563724265e-05,0.06729495525360107
BV-MS001-CH-BU-CS-CA-DP_0,BU,0.447496495,0.3382098376750946,0.1821010857820511
BV-MS001-CH-BU-CS-CA-DP_0,CS,0.238162404,1.327420062757767e-09,0.07992754131555557
BV-MS001-CH-BU-CS-CA-DP_0,CA,0.053219813,0.0008977699326351285,0.016349541023373604
BV-MS001-CH-BU-CS-CA-DP_0,DP,0.037107641,0.4623072147369385,0.08839140087366104
CS-CA_0,CS,0.39072319,0.46768108010292053,0.0879906564950943
CS-CA_0,CA,0.007776807,0.0008732809219509363,0.0159548819065094
CS-CA_0,CS,0.796445552,0.5895938277244568,0.0856400802731514
CS-CA_0,CA,0.271721073,3.7444056744107e-08,0.015900034457445145
BT-BV-MS001-CH-BU-CS-CA_0,BT,0.677593379,0.6906723976135254,0.3042370080947876
BT-BV-MS001-CH-BU-CS-CA_0,BV,0.095470657,0.07137873023748398,0.0966709703207016
BT-BV-MS001-CH-BU-CS-CA_0,CD,0.595320826,0.5886728167533875,0.1557243913412094
BT-BV-MS001-CH-BU-CS-CA_0,CH,0.07542082,0.08478966355323792,0.050355736166238785
BT-BV-MS001-CH-BU-CS-CA_0,BU,0.316027569,0.3330301344394684,0.15740302205085754
BT-BV-MS001-CH-BU-CS-CA_0,CS,0.050727722,0.04766017198562622,0.08852755278348923
BT-BV-MS001-CH-BU-CS-CA_0,CA,0.010605657,0.03361153230071068,0.027204688638448715
BT-BV-MS001-CH-BU-CS-CA_0,BT,0.626334127,0.7950682044029236,0.3157651722431183
BT-BV-MS001-CH-BU-CS-CA_0,BV,0.021890674,5.6095519539667293e-05,0.09335662424564362
BT-BV-MS001-CH-BU-CS-CA_0,CD,0.617406845,0.5880938172340393,0.1573679894208908
BT-BV-MS001-CH-BU-CS-CA_0,CH,0.049638765,0.06668712943792343,0.056479014456272125
BT-BV-MS001-CH-BU-CS-CA_0,BU,0.203109957,0.31654003262519836,0.1621115654706955
BT-BV-MS001-CH-BU-CS-CA_0,CS,0.06841331,0.11249604821205139,0.09615857899188995
BT-BV-MS001-CH-BU-CS-CA_0,CA,0.026039669,0.08368417620658875,0.031109098345041275
BV-BT_0,BT,1.759245252,1.3457783460617065,0.3025663495063782
BV-BT_0,BV,0.229921442,0.13009171187877655,0.1349869817495346
BV-BT_0,BT,1.38862985,1.4353197813034058,0.2997933626174927
BV-BT_0,BV,0.378203472,0.001939674955792725,0.09370904415845871
CH-CS_0,CH,0.319806616,0.3976498246192932,0.07179507613182068
CH-CS_0,CS,0.526860034,0.03103860281407833,0.09176662564277649
CH-CS_0,CH,0.239503103,0.33088013529777527,0.056746285408735275
CH-CS_0,CS,0.648996918,0.004900042433291674,0.08826127648353577
MS001-CH-CS-DP-BU-BV-BT-CA_0,BT,0.842660721,0.6774781346321106,0.30411800742149353
MS001-CH-CS-DP-BU-BV-BT-CA_0,BV,0.042401965,0.08176567405462265,0.09711483865976334
MS001-CH-CS-DP-BU-BV-BT-CA_0,CD,0.501114472,0.5946218967437744,0.15540409088134766
MS001-CH-CS-DP-BU-BV-BT-CA_0,CH,0.098717379,0.07599183171987534,0.049813974648714066
MS001-CH-CS-DP-BU-BV-BT-CA_0,BU,0.402269348,0.323621541261673,0.15734313428401947
MS001-CH-CS-DP-BU-BV-BT-CA_0,CS,0.019037611,0.04337132349610329,0.08825375884771347
MS001-CH-CS-DP-BU-BV-BT-CA_0,CA,0.014389709,0.02245006524026394,0.026407543569803238
MS001-CH-CS-DP-BU-BV-BT-CA_0,DP,0.0257421,0.0048599555157125,0.06008128076791763
MS001-CH-CS-DP-BU-BV-BT-CA_0,BT,0.769346418,0.7888251543045044,0.3112863600254059
MS001-CH-CS-DP-BU-BV-BT-CA_0,BV,0.00830126,6.566203956026584e-05,0.0933566614985466
MS001-CH-CS-DP-BU-BV-BT-CA_0,CD,0.424920205,0.595312774181366,0.15500900149345398
MS001-CH-CS-DP-BU-BV-BT-CA_0,CH,0.076678711,0.057381123304367065,0.053890880197286606
MS001-CH-CS-DP-BU-BV-BT-CA_0,BU,0.209840355,0.3120431900024414,0.1604921668767929
MS001-CH-CS-DP-BU-BV-BT-CA_0,CS,0.041295032,0.10055434703826904,0.09430950880050659
MS001-CH-CS-DP-BU-BV-BT-CA_0,CA,0.039322753,0.07040511816740036,0.029604407027363777
MS001-CH-CS-DP-BU-BV-BT-CA_0,DP,0.031961932,1.0466261301189661e-05,0.06000790372490883
BT-BV-CH-BU-CS-CA-DP_0,BT,1.104770133,1.8425369262695312,0.5151465535163879
BT-BV-CH-BU-CS-CA-DP_0,BV,0.179777551,0.29612189531326294,0.1242695301771164
BT-BV-CH-BU-CS-CA-DP_0,CH,0.212015752,0.12127824872732162,0.06814099103212357
BT-BV-CH-BU-CS-CA-DP_0,BU,0.401490514,0.37122467160224915,0.18427711725234985
BT-BV-CH-BU-CS-CA-DP_0,CS,0.021472142,0.09063322097063065,0.08673819154500961
BT-BV-CH-BU-CS-CA-DP_0,CA,0.018853547,0.1114036962389946,0.05365000292658806
BT-BV-CH-BU-CS-CA-DP_0,DP,0.046787036,0.16778838634490967,0.11562453210353851
BT-BV-CH-BU-CS-CA-DP_0,BT,1.04351902,2.169869899749756,0.41295382380485535
BT-BV-CH-BU-CS-CA-DP_0,BV,0.026561931,0.0402991808950901,0.12525370717048645
BT-BV-CH-BU-CS-CA-DP_0,CH,0.191174923,0.03669874370098114,0.08685172349214554
BT-BV-CH-BU-CS-CA-DP_0,BU,0.303696177,0.17221203446388245,0.20643319189548492
BT-BV-CH-BU-CS-CA-DP_0,CS,0.039351074,0.08380966633558273,0.16798587143421173
BT-BV-CH-BU-CS-CA-DP_0,CA,0.028245874,0.10872851312160492,0.08119147270917892
BT-BV-CH-BU-CS-CA-DP_0,DP,0.059284295,0.18799404799938202,0.11502636969089508
CH-DP_0,CH,0.057250103,0.28149110078811646,0.06749282777309418
CH-DP_0,DP,0.277416585,0.06762668490409851,0.09756488353013992
