species,true,pred,stdv
BT,0.6889983415603638,0.8147147297859192,0.14264291524887085
CD,0.48956558108329773,0.6550455689430237,0.2228660136461258
CH,0.09655071049928665,0.08606324344873428,0.055143069475889206
BU,0.2921021282672882,0.18784263730049133,0.11403931677341461
CS,0.042922601103782654,0.03462795540690422,0.06881430000066757
CA,0.02141968347132206,0.008203547447919846,0.03298269212245941
DP,0.025440925732254982,0.04602738469839096,0.025204921141266823
CD,0.32395708560943604,0.6571399569511414,0.22326530516147614
CH,0.07037626206874847,0.2744138836860657,0.15390200912952423
CD,0.8238216042518616,0.5139244198799133,0.24436579644680023
CH,0.02734505385160446,0.0019628736190497875,0.04815812408924103
BT,0.9064112305641174,0.6600171327590942,0.15314170718193054
BV,0.01706892065703869,0.03766549751162529,0.05935611203312874
CD,0.7431465983390808,0.5777536630630493,0.25599393248558044
CH,0.11560370028018951,0.053621556609869,0.03390906751155853
BU,0.3117600083351135,0.23699820041656494,0.10097122192382812
CA,0.019143393263220787,0.013729464262723923,0.04072313755750656
DP,0.035699512809515,0.034287337213754654,0.04067039489746094
BT,1.238869071006775,1.3689560890197754,0.28220847249031067
CH,0.036630935966968536,0.3869146704673767,0.16834168136119843
BT,1.8705486059188843,1.6729073524475098,0.1816461980342865
DP,0.060451440513134,0.04730720445513725,0.04386429488658905
CH,0.1484784483909607,0.07415398955345154,0.04689357429742813
CA,0.15135487914085388,0.011083132587373257,0.027083516120910645
CS,0.7964455485343933,0.2771831154823303,0.10585188865661621
CA,0.2717210650444031,0.09198035299777985,0.0853893905878067
BT,1.1806070804595947,1.4373745918273926,0.2003568559885025
CD,0.27139291167259216,0.0012374956859275699,0.205837219953537
BU,0.6882114410400391,0.8086726069450378,0.2135971337556839
CS,0.6771218776702881,0.24387426674365997,0.18525071442127228
BT,1.4953585863113403,2.7514219284057617,1.2534008026123047
CD,0.01764138974249363,0.2891300320625305,0.30143144726753235
CD,0.6117838621139526,0.30634212493896484,0.2047235071659088
DP,0.20704950392246246,0.051077377051115036,0.03213939443230629
BT,1.3886297941207886,1.9218785762786865,0.6023238301277161
BV,0.37820348143577576,0.05838421359658241,0.04537058621644974
CH,0.04601851850748062,0.15920543670654297,0.08087578415870667
DP,0.29139813780784607,0.3963662087917328,0.1498974859714508
BV,1.0180795192718506,0.26858633756637573,0.34721291065216064
CS,0.14508718252182007,0.8744555711746216,0.3722659647464752
BT,1.0435190200805664,1.3991883993148804,0.31040292978286743
BV,0.026561930775642395,0.16079209744930267,0.07214190065860748
CH,0.1911749243736267,0.02305295318365097,0.024392535910010338
BU,0.3036961853504181,0.22314326465129852,0.1004231870174408
CS,0.039351072162389755,0.33990246057510376,0.2235337793827057
CA,0.028245873749256134,0.028221387416124344,0.03580491989850998
DP,0.05928429588675499,0.03208563104271889,0.043739911168813705
BV,0.02613588236272335,0.1111655905842781,0.08477857708930969
CD,0.6051886081695557,0.6168135404586792,0.22304509580135345
CH,0.07085582613945007,0.06593186408281326,0.04885756969451904
BU,0.4474965035915375,0.3327571153640747,0.07836591452360153
CS,0.23816239833831787,0.02431516721844673,0.044653065502643585
CA,0.053219813853502274,0.04405558109283447,0.04152635484933853
DP,0.037107642740011215,0.0961058959364891,0.06857773661613464
CD,0.6856392025947571,0.54261314868927,0.2966867983341217
BU,0.2011941373348236,0.30401164293289185,0.36207640171051025
CA,0.005125868134200573,0.12889178097248077,0.12988442182540894
DP,0.1503741294145584,0.38084742426872253,0.1274389624595642
CD,0.54465252161026,0.4765579104423523,0.3507848381996155
CA,0.019347475841641426,0.25186049938201904,0.5833799839019775
CD,0.9953125715255737,0.2961675822734833,0.2655050754547119
DP,0.46185410022735596,0.2058517336845398,0.16264766454696655
BT,1.6929666996002197,1.0850086212158203,0.21034778654575348
BV,0.020537426695227623,0.003659007139503956,0.057108309119939804
CD,0.005803877022117376,0.07590038329362869,0.23662647604942322
CH,0.010686283931136131,0.04561349377036095,0.09328543394804001
BU,0.36096858978271484,0.029343251138925552,0.07637197524309158
CS,0.13301055133342743,0.007752143312245607,0.057179782539606094
CA,0.12073232978582382,0.02650243230164051,0.04408257082104683
DP,0.00812762975692749,0.00683188671246171,0.026453139260411263
CD,0.49968671798706055,0.6996508836746216,0.2393558770418167
CS,0.04947996139526367,0.06648364663124084,0.06888164579868317
CD,0.24692212045192719,0.6683530807495117,0.23436467349529266
DP,0.19424454867839813,0.2777560353279114,0.2215438187122345
BT,0.6666662096977234,0.7045554518699646,0.14844748377799988
BV,0.02604271098971367,0.052858516573905945,0.0671902522444725
CD,0.7291091084480286,0.5365303754806519,0.27203404903411865
BU,0.21745659410953522,0.22047661244869232,0.12953534722328186
CS,0.13672208786010742,0.051608454436063766,0.08530838042497635
CA,0.10270839929580688,0.010513653978705406,0.027978628873825073
DP,0.02379482425749302,0.0424029566347599,0.06238490343093872
BT,1.1894088983535767,1.2296189069747925,0.22909437119960785
