species,true,pred,stdv
BT,0.6889983415603638,0.9269028902053833,0.28047752380371094
CD,0.48956558108329773,0.6933937072753906,0.769615113735199
CH,0.09655071049928665,0.06687147915363312,0.06224897503852844
BU,0.2921021282672882,0.24117685854434967,0.15571431815624237
CS,0.042922601103782654,0.08681957423686981,0.09023185819387436
CA,0.02141968347132206,0.014977989718317986,0.07853033393621445
DP,0.025440925732254982,0.030910048633813858,0.05068811774253845
CD,0.32395708560943604,0.4521144926548004,0.14499160647392273
CH,0.07037626206874847,0.10952804237604141,0.09569686651229858
CD,0.8238216042518616,0.41673004627227783,0.14829117059707642
CH,0.02734505385160446,0.004431357141584158,0.054986417293548584
BT,0.9064112305641174,0.7149679064750671,0.20250627398490906
BV,0.01706892065703869,0.05021929368376732,0.10292652249336243
CD,0.7431465983390808,0.5594857931137085,0.16720882058143616
CH,0.11560370028018951,0.03167940303683281,0.050167787820100784
BU,0.3117600083351135,0.22019211947917938,0.1119110956788063
CA,0.019143393263220787,0.018014797940850258,0.02256130427122116
DP,0.035699512809515,0.054296817630529404,0.04232742637395859
BT,1.238869071006775,1.4271752834320068,0.2313857525587082
CH,0.036630935966968536,0.13389454782009125,0.06871788948774338
BT,1.8705486059188843,1.2467681169509888,0.22072061896324158
DP,0.060451440513134,0.12246721237897873,0.061033621430397034
CH,0.1484784483909607,0.3006936311721802,0.05261128768324852
CA,0.15135487914085388,0.007512968964874744,0.03426003083586693
CS,0.7964455485343933,0.7002795934677124,0.10124998539686203
CA,0.2717210650444031,0.06125485897064209,0.1849626898765564
BT,1.1806070804595947,1.285605549812317,0.2612469792366028
CD,0.27139291167259216,0.08462169021368027,0.18141208589076996
BU,0.6882114410400391,0.8342002034187317,0.12205323576927185
CS,0.6771218776702881,0.641967236995697,0.18968717753887177
BT,1.4953585863113403,2.1095240116119385,0.8340898156166077
CD,0.01764138974249363,0.4537261128425598,0.7944366335868835
CD,0.6117838621139526,0.5116685032844543,0.22432684898376465
DP,0.20704950392246246,0.03874834254384041,0.027333762496709824
BT,1.3886297941207886,0.45405757427215576,0.18377400934696198
BV,0.37820348143577576,0.17892681062221527,0.07320143282413483
CH,0.04601851850748062,0.07608946412801743,0.06359945982694626
DP,0.29139813780784607,0.15799124538898468,0.025883354246616364
BV,1.0180795192718506,1.454818606376648,0.45380231738090515
CS,0.14508718252182007,0.6340811848640442,0.11748461425304413
BT,1.0435190200805664,1.440269947052002,0.21886153519153595
BV,0.026561930775642395,0.09122338145971298,0.0799686536192894
CH,0.1911749243736267,0.09548014402389526,0.04384597763419151
BU,0.3036961853504181,0.2806907296180725,0.09565610438585281
CS,0.039351072162389755,0.03728313744068146,0.056406889110803604
CA,0.028245873749256134,0.0070833065547049046,0.03392568975687027
DP,0.05928429588675499,0.039771221578121185,0.021917754784226418
BV,0.02613588236272335,0.1338275820016861,0.08699876070022583
CD,0.6051886081695557,0.6518468260765076,0.2083028256893158
CH,0.07085582613945007,0.08726061135530472,0.0441117063164711
BU,0.4474965035915375,0.25637152791023254,0.10566674172878265
CS,0.23816239833831787,0.041631925851106644,0.05811687186360359
CA,0.053219813853502274,0.0022005492355674505,0.0337931253015995
DP,0.037107642740011215,0.08121072500944138,0.034654028713703156
CD,0.6856392025947571,0.4412027597427368,0.2428843230009079
BU,0.2011941373348236,0.6883127689361572,0.4175701439380646
CA,0.005125868134200573,0.003084903582930565,0.03275541961193085
DP,0.1503741294145584,0.16533955931663513,0.015357350930571556
CD,0.54465252161026,0.5722616314888,0.16019205749034882
CA,0.019347475841641426,0.00012509386579040438,0.032728634774684906
CD,0.9953125715255737,0.36895495653152466,0.16598990559577942
DP,0.46185410022735596,0.09298676997423172,0.08122164756059647
BT,1.6929666996002197,1.7114512920379639,0.21411041915416718
BV,0.020537426695227623,0.00033755501499399543,0.09399271011352539
CD,0.005803877022117376,0.020447053015232086,0.1677214652299881
CH,0.010686283931136131,0.0057083615101873875,0.05683634802699089
BU,0.36096858978271484,0.0024095894768834114,0.07192341983318329
CS,0.13301055133342743,0.0034631567541509867,0.06493985652923584
CA,0.12073232978582382,0.0007287795306183398,0.07297873497009277
DP,0.00812762975692749,0.0023951600305736065,0.048361603170633316
CD,0.49968671798706055,0.5539895296096802,0.1684330254793167
CS,0.04947996139526367,0.12534157931804657,0.07271992415189743
CD,0.24692212045192719,0.5155410766601562,0.1720978021621704
DP,0.19424454867839813,0.04732084274291992,0.05022208392620087
BT,0.6666662096977234,0.6966282725334167,0.26503267884254456
BV,0.02604271098971367,0.07684329152107239,0.08571793138980865
CD,0.7291091084480286,0.5010741353034973,0.1928020864725113
BU,0.21745659410953522,0.28148919343948364,0.12025854736566544
CS,0.13672208786010742,0.026076659560203552,0.06693075597286224
CA,0.10270839929580688,0.0032912155147641897,0.030810629948973656
DP,0.02379482425749302,0.041587792336940765,0.03472670540213585
BT,1.1894088983535767,1.1621711254119873,0.3069953918457031
CD,0.7955910563468933,0.31946614384651184,0.2940724194049835
BT,1.2566940784454346,1.2308295965194702,0.3031996488571167
BV,0.0009346199803985655,0.10879543423652649,0.16122062504291534
CD,0.0300078634172678,0.112901970744133,0.20724232494831085
BU,0.03408963233232498,0.0321468822658062,0.12040211260318756
CS,0.0005359650240279734,0.1642596423625946,0.10966646671295166
CA,0.038782667368650436,0.0027031872887164354,0.030778128653764725
DP,0.00012181400234112516,0.016572577878832817,0.03672892972826958
CS,0.18984009325504303,0.6039279699325562,0.14253418147563934
DP,0.234493225812912,0.24617090821266174,0.1873403787612915
BV,1.1882354021072388,1.02293062210083,0.07291336357593536
DP,0.32673126459121704,0.04133865609765053,0.06520843505859375
CD,0.8454277515411377,0.5684330463409424,0.19019965827465057
BU,0.4582388997077942,0.5015373229980469,0.13855548202991486
BT,0.6263341307640076,0.6614536046981812,0.14950348436832428
BV,0.02189067378640175,0.04974859952926636,0.05503162741661072
CD,0.6174068450927734,0.48898664116859436,0.1594676524400711
CH,0.049638766795396805,0.07257558405399323,0.04432324692606926
BU,0.2031099498271942,0.24059326946735382,0.09792766720056534
CS,0.06841330975294113,0.056796785444021225,0.05556633695960045
CA,0.026039669290184975,0.015474685467779636,0.025822583585977554
BV,0.904308557510376,0.9342794418334961,0.09551192075014114
CH,0.3571914732456207,0.09684520959854126,0.0812394767999649
BU,0.3648040294647217,1.2362127304077148,0.16699300706386566
DP,0.8934876918792725,0.2175491452217102,0.08842892944812775
BT,1.4449877738952637,1.6252814531326294,0.2078831046819687
CA,0.046512164175510406,0.006840904243290424,0.042581528425216675
BV,0.9354038238525391,0.09895705431699753,0.096809983253479
CD,0.36259621381759644,0.7081224322319031,0.22930286824703217
CD,0.43209633231163025,0.48168957233428955,0.15097178518772125
CH,0.018736977130174637,0.0014383033849298954,0.040662117302417755
BT,0.9947970509529114,1.047650694847107,0.1862361878156662
BV,0.016398096457123756,0.05852968990802765,0.04686664044857025
CD,0.6270731687545776,0.5149006247520447,0.13624721765518188
CH,0.09226381778717041,0.06448163092136383,0.03978477790951729
CS,0.06136313080787659,0.037951283156871796,0.05561250075697899
CA,0.06592395901679993,0.0017127081518992782,0.03449137136340141
DP,0.05134745314717293,0.024024497717618942,0.030713940039277077
BV,1.108138918876648,1.007921814918518,0.047945331782102585
CA,0.28536108136177063,0.002685317536816001,0.03449121117591858
CH,0.23950310051441193,0.1325276643037796,0.04221681132912636
CS,0.648996889591217,0.6744629144668579,0.058059416711330414
BT,1.6922403573989868,1.1584421396255493,0.19769936800003052
CS,0.3777596056461334,0.06169282644987106,0.08121234178543091
CD,0.4353887140750885,0.4323351979255676,0.17864063382148743
CA,0.02111128345131874,0.0035121680703014135,0.06337486952543259
BV,0.3775155246257782,1.0537939071655273,0.3027539849281311
CD,0.7698178291320801,0.2537849247455597,3.347788095474243
CD,0.4660749137401581,0.44600868225097656,3.3448760509490967
CA,0.01025841012597084,0.022975070402026176,0.5757893323898315
BT,1.2119407653808594,0.7268103957176208,0.187727153301239
BU,0.35455918312072754,0.1985236257314682,0.0851629450917244
BT,0.7693464159965515,0.7321820259094238,0.1428803652524948
BV,0.008301259949803352,0.06720950454473495,0.053670380264520645
CD,0.4249202013015747,0.6551491022109985,0.17189431190490723
CH,0.07667870819568634,0.006098019890487194,0.06007358059287071
BU,0.20984035730361938,0.22602182626724243,0.06636333465576172
CS,0.04129503294825554,0.029067065566778183,0.06298390030860901
CA,0.03932275250554085,0.0020571581553667784,0.04056048020720482
DP,0.03196193277835846,0.01621117629110813,0.026364516466856003
BU,0.9397595524787903,0.8147850632667542,0.11320750415325165
CA,0.13390712440013885,0.8400874733924866,7.266826629638672
CD,0.5913326740264893,0.5594289898872375,0.20039363205432892
BU,0.06566730886697769,0.32335612177848816,0.44363802671432495
BV,0.1849217563867569,0.11055705696344376,0.08483726531267166
CD,0.7780782580375671,0.5080781579017639,0.14441463351249695
CD,0.4276866614818573,0.46554136276245117,0.15945039689540863
CS,0.002313318895176053,0.019471189007163048,0.06669862568378448
BT,0.6562875509262085,0.7134094834327698,0.7460871338844299
BV,0.011481231078505516,0.06690998375415802,0.23104248940944672
CD,0.5814717411994934,0.5428429245948792,0.27973929047584534
CH,0.08187215030193329,0.059939462691545486,0.08363229036331177
BU,0.29878050088882446,0.20493391156196594,0.5574899911880493
CS,0.08696521073579788,0.05502120405435562,0.15970541536808014
