species,true,pred,stdv
BT,0.767546868,0.7987915873527527,0.24856361746788025
CD,0.456697659,0.49311330914497375,0.2705306112766266
CH,0.080393679,0.03503260016441345,0.04415120184421539
BU,0.322703459,0.18813122808933258,0.179764062166214
CS,0.046312235,0.024922462180256844,0.08212248980998993
CA,0.021189204,0.043408434838056564,0.0549689456820488
DP,0.075656897,0.017332281917333603,0.03461267054080963
CD,0.300231445,0.5125158429145813,0.27014440298080444
CH,0.08860187,0.061854757368564606,0.0468859039247036
CD,0.457152446,0.5125675797462463,0.2700539827346802
CH,0.053514203,0.05824622884392738,0.04731046035885811
BT,0.744873311,0.7849746942520142,0.23558399081230164
BV,0.027299418,0.0989048033952713,0.21338295936584473
CD,0.593813813,0.3936629593372345,0.27762386202812195
CH,0.104757753,0.08896011859178543,0.045743733644485474
BU,0.380907414,0.23720517754554749,0.1870901882648468
CA,0.02287947,0.06637384742498398,0.056742653250694275
DP,0.041802164,0.055660147219896317,0.040161266922950745
BT,1.238869079,1.7686573266983032,0.231022447347641
CH,0.036630937,0.19586212933063507,0.05251329392194748
BT,1.870548571,1.7383813858032227,0.24733030796051025
DP,0.06045144,0.21375586092472076,0.0820646733045578
CH,0.148478455,0.1035812646150589,0.0382692813873291
CA,0.151354881,8.872225599598077e-14,0.04124714061617851
CS,0.796445552,0.7143955826759338,0.07643142342567444
CA,0.271721073,-1.3264370782577629e-15,0.04124714061617851
BT,1.233519487,1.4707080125808716,0.2620214521884918
CD,0.250480506,0.2659286856651306,0.2737732529640198
BU,0.688211432,0.2712371349334717,0.488446980714798
CS,0.677121873,0.3968590497970581,0.24838174879550934
BT,1.351466729,1.122538685798645,0.2261856496334076
CD,0.001533282,0.47519323229789734,0.2455584853887558
CD,0.398232218,0.2936120629310608,0.24911481142044067
DP,0.252101128,0.26364532113075256,0.036646805703639984
BT,1.38862985,0.7615572810173035,0.6319596171379089
BV,0.378203472,0.9510536789894104,0.4458416700363159
CH,0.046018517,0.6575355529785156,0.3797551095485687
DP,0.291398143,0.8298441767692566,0.28969135880470276
BV,1.018079541,1.4621208906173706,0.23311279714107513
CS,0.145087177,-2.4046648732563985e-14,0.061962198466062546
BT,1.04351902,1.3017783164978027,0.30742841958999634
BV,0.026561931,0.006028319243341684,0.20260319113731384
CH,0.191174923,0.13506995141506195,0.06149633601307869
BU,0.303696177,0.23672422766685486,0.1857781857252121
CS,0.039351074,0.6661408543586731,0.10373442620038986
CA,0.028245874,0.19620469212532043,0.0685558170080185
DP,0.059284295,0.0012090221280232072,0.04339485988020897
BV,0.035295356,1.0123692750930786,0.2591777741909027
CD,0.535175051,0.021784920245409012,0.2786090672016144
CH,0.076885229,0.12775427103042603,0.12338286638259888
BU,0.373051035,0.18663711845874786,0.1832897663116455
CS,0.171465873,6.592241697944701e-05,0.06347040832042694
CA,0.069321222,0.00893994327634573,0.06303957849740982
DP,0.069972913,0.5627267956733704,0.13272760808467865
CD,0.711599043,0.6183626651763916,0.2739526331424713
BU,0.310734293,0.40816769003868103,0.15391603112220764
CA,0.005125868,3.4769048751215337e-10,0.05231393873691559
DP,0.150374126,0.7714526057243347,0.045431870967149734
CD,0.437151492,0.5292945504188538,0.27184662222862244
CA,0.019515162,0.03681545332074165,0.05539221689105034
CD,0.232345505,0.40942370891571045,0.2774151861667633
DP,0.288321165,0.29595544934272766,0.03531890735030174
BT,1.117887009,0.7987239360809326,0.22594784200191498
BV,0.006213213,0.023315997794270515,0.2210824340581894
CD,0.001856264,0.5007163882255554,0.24508927762508392
CH,0.004452375,0.03387395292520523,0.05021209269762039
BU,0.380313894,0.1553446352481842,0.16246815025806427
CS,0.051686186,0.0005857862997800112,0.07686334103345871
CA,0.201340832,0.01247929222881794,0.032018352299928665
DP,0.012333518,0.018196752294898033,0.04048272222280502
CD,0.603053414,0.3806052803993225,0.3164221942424774
CS,0.106779921,0.19432730972766876,0.22163857519626617
CD,0.252746538,0.21519529819488525,0.24836912751197815
DP,0.269253463,0.2486076056957245,0.0460914708673954
BT,0.512601042,1.8389084339141846,0.24772338569164276
BV,0.121056219,0.04350443184375763,0.20704962313175201
CD,0.767450672,0.032136671245098114,0.21976807713508606
BU,0.222210273,0.0885453000664711,0.1523151993751526
CS,0.116417441,7.935211033327505e-05,0.06721480190753937
CA,0.107063495,5.829326619277708e-05,0.05192789062857628
DP,0.026867508,0.24826501309871674,0.11224757134914398
BT,0.97007931,1.2753151655197144,0.1969216912984848
CD,0.762920677,0.31978580355644226,0.21910184621810913
BT,1.314899763,1.0781735181808472,0.3064252436161041
BV,0.002286217,0.0019272275967523456,0.1987231969833374
CD,0.002274109,0.17876113951206207,0.3350920081138611
BU,0.037100559,0.42878350615501404,0.18279334902763367
CS,0.209739643,0.017288271337747574,0.07372592389583588
CA,0.083651625,0.01923512853682041,0.061914075165987015
DP,0.000548088,0.014754327945411205,0.09375303238630295
CS,0.189840092,1.1541666233849668e-10,0.0607522688806057
DP,0.234493228,0.43503376841545105,0.037779614329338074
BV,1.188235427,1.2954368591308594,0.273716002702713
DP,0.326731266,0.025813547894358635,0.09085942804813385
CD,0.692917518,0.6542441248893738,0.26294657588005066
BU,0.407915805,0.3819260895252228,0.18017619848251343
BT,0.617289003,0.8616880178451538,0.4180757701396942
BV,0.025576239,0.3040652573108673,0.2718604505062103
CD,0.623125181,-2.8365700223799764e-14,0.24021320044994354
CH,0.088544166,0.23210132122039795,0.11880059540271759
BU,0.215735466,0.0003910627565346658,0.11083407700061798
CS,0.079536375,0.2249525636434555,0.13018102943897247
CA,0.042026864,0.3802565038204193,0.10752461105585098
BV,0.904308544,0.897311806678772,0.5332719087600708
CH,0.357191483,0.9533704519271851,0.36592909693717957
BU,0.36480403,1.3718430995941162,0.17970407009124756
DP,0.893487665,5.059046088717878e-05,0.03371208906173706
BT,1.44498783,1.6445515155792236,0.3041703402996063
CA,0.046512166,0.24535660445690155,0.10275311768054962
BV,1.378304469,0.39369821548461914,0.11248936504125595
CD,0.18136218,0.8189734220504761,0.2430863380432129
CD,0.372533029,0.3817994296550751,0.2367900311946869
CH,0.012300293,0.03715372458100319,0.058230943977832794
BT,0.799922337,1.471097707748413,0.25173139572143555
BV,0.043153535,0.0995807871222496,0.21562346816062927
CD,0.680180568,0.08184211701154709,0.2671942710876465
CH,0.090525061,0.1506967842578888,0.05891546607017517
CS,0.056599766,4.3700780224753544e-05,0.056481558829545975
CA,0.05973959,0.04139663651585579,0.051368169486522675
DP,0.064545847,0.0021461788564920425,0.030335143208503723
BV,1.108138883,1.2359395027160645,0.5249011516571045
CA,0.285361094,0.04324434697628021,0.11759109795093536
CH,0.239503103,0.14437636733055115,0.04970691353082657
CS,0.648996918,0.0007971624727360904,0.05658262223005295
