Param name,Param value,Param stdv,Param p-value,BT,BV,CD,CH,BU,CS,CA,DP,BT*BT,BT*BV,BT*CD,BT*CH,BT*BU,BT*CS,BT*CA,BT*DP,BV*BT,BV*BV,BV*CD,BV*CH,BV*BU,BV*CS,BV*CA,BV*DP,CD*BT,CD*BV,CD*CD,CD*CH,CD*BU,CD*CS,CD*CA,CD*DP,CH*BT,CH*BV,CH*CD,CH*CH,CH*BU,CH*CS,CH*CA,CH*DP,BU*BT,BU*BV,BU*CD,BU*CH,BU*BU,BU*CS,BU*CA,BU*DP,CS*BT,CS*BV,CS*CD,CS*CH,CS*BU,CS*CS,CS*CA,CS*DP,CA*BT,CA*BV,CA*CD,CA*CH,CA*BU,CA*CS,CA*CA,CA*DP,DP*BT,DP*BV,DP*CD,DP*CH,DP*BU,DP*CS,DP*CA,DP*DP
BT,0.8281014091273217,0.054281726,1.5105266782592146e-52,0.002946506,0.00012152372,0.00021386262,0.00092619914,0.00053275155,3.1805637e-05,1.0068493e-05,1.1657721e-05,-0.002051508,-0.0008841497,-0.0013306725,-0.00045487145,-0.003912949,0.0007048131,0.0038272608,0.0008931256,0.00040605036,-0.00011511936,0.00023394734,0.00032958106,0.00084273855,0.00016887017,-1.2907981e-05,-0.0004246134,4.8204565e-06,0.0008402022,-0.0005103005,0.0005402232,6.396927e-05,0.0001225122,-0.00029814357,-0.00080465956,-0.00020358137,0.000701082,-0.0008871003,-0.0037360485,-6.622567e-05,-3.2267966e-05,-0.0015127617,-0.0017377551,-0.000621748,0.00011275963,-0.0002626695,0.00015870016,-0.00028243035,-0.00010661889,-0.0005985762,-8.42338e-05,0.00012514653,6.3323e-06,-0.00015331242,-1.6974429e-05,-5.419662e-05,-5.6459514e-05,3.2688506e-05,1.4259801e-05,0.00028706886,3.1668664e-05,-0.00021793752,-6.3061074e-05,-4.934841e-05,7.109787e-05,-0.00031370172,-0.002437666,0.0012410505,-2.8798022e-05,0.00074757886,-0.0027062078,-0.0005733061,-2.7569327e-05,-0.008119922,7.372463e-05
BV,0.8643459882660068,0.041137986,5.2140430616380815e-98,0.00012152372,0.0016923338,9.302738e-05,0.00029270674,0.0003098509,4.485788e-05,-9.791266e-05,-1.3503024e-05,-0.0001059418,-0.00012051029,-5.4591812e-05,-2.7430056e-05,1.912206e-05,9.3201634e-05,-6.953696e-05,1.0829699e-06,-0.0009958632,-0.0016903473,-0.0014585512,-0.00081507006,-0.0019183372,-4.3840177e-05,9.884068e-05,0.00077313685,-4.2363918e-05,-0.00019853908,-0.00016710829,-0.00019821517,-3.5851783e-06,-7.743592e-06,-9.309682e-05,-0.00074789417,-0.000119603865,0.00013670085,-0.00030127497,-0.0012522766,-2.6041456e-05,1.3425854e-05,-0.00069593475,-0.0014076058,-0.00016826062,-0.00032430768,-0.00017126821,0.0008822216,-0.00019945455,-3.6614932e-05,-0.0006137497,-0.00020551957,1.3713872e-05,8.9481706e-05,6.907982e-05,1.4372002e-05,1.3085343e-05,-0.00012074908,2.6970863e-06,-0.00022599414,0.00026239312,-0.0011130301,0.00016169748,-0.0015613493,-0.0002646689,-0.0010974582,0.004095039,0.0019574997,-4.7294478e-05,1.3925028e-05,-0.00026504503,0.0003753688,-0.00013772814,1.0256093e-05,0.0041680746,1.265938e-05
CD,0.6735164486604875,0.050293587,6.761848676904365e-41,0.00021386262,9.302738e-05,0.0025294449,0.001424116,-5.2665266e-05,6.366283e-05,-3.1814758e-05,2.277387e-05,-0.00014289824,0.0001221123,-2.8553834e-05,-8.933894e-06,-5.4433014e-05,-0.00013598849,-0.0004160638,-4.1096875e-05,0.00011486557,-0.00013192045,0.00023387,0.0004283418,0.00034944288,0.00029793745,1.0525808e-05,-3.5759123e-05,-0.00045512847,0.00028274045,-0.004887082,-0.008724214,-0.00013962734,-0.0004117885,0.0004271377,0.00014399705,-0.00051279995,0.0010262167,-0.0014522019,-0.005905706,1.6273285e-05,1.32999385e-05,-0.0015478191,-0.0031776063,0.0001285106,0.00022066414,1.1023019e-05,-0.0011263804,6.0797636e-05,3.0052968e-06,0.0002787461,3.0514846e-05,-6.130841e-05,-2.1691782e-05,0.00047039537,-1.8936227e-05,-1.9369392e-05,-0.000123131,-1.2539658e-05,7.89334e-05,-1.5536487e-05,-8.0130685e-06,0.00044514475,-0.00061964197,3.53492e-05,-2.4256104e-05,0.00029682668,-0.0001982421,0.00010838044,-2.120927e-06,0.0023377244,-0.0024609445,4.9840266e-05,6.598418e-06,-0.004932632,-7.328964e-05
CH,0.6335669610944848,0.06494351,1.7445724752834943e-22,0.00092619914,0.00029270674,0.001424116,0.004217659,-0.0002867246,3.1705855e-05,-1.8397288e-05,-2.2687084e-06,-0.0006789362,4.114045e-05,-0.0007282799,-7.015091e-05,-0.000876618,-7.2551593e-06,-0.00032957867,-8.358069e-05,0.00012853545,-0.00034005014,0.00057038123,0.00047875964,-0.00024958604,0.00045379857,5.5423843e-06,-7.1466515e-05,-0.00045693788,0.0029332426,-0.0031302893,0.0008836039,9.99177e-05,-4.2052303e-05,-0.0010894887,-0.0048065456,-0.001350866,0.00088126946,-0.003424802,-0.01633365,-0.00019771614,-6.3995976e-05,-0.0023235544,-0.008870712,0.00025834126,0.00013976368,0.00014397784,-0.0036890905,0.00024302387,3.6032604e-06,0.00064577814,0.00024742572,2.6436339e-05,1.6986e-05,0.00017819362,-6.688714e-06,-2.852069e-06,-6.617301e-05,-2.547302e-05,-0.00024923915,0.00033450045,-0.0003339115,-6.727906e-05,-0.0038482891,-0.00011680305,-0.00046637206,0.0016622472,-0.002460249,0.0006153553,-4.4079094e-05,-0.00034961617,-0.010418798,-9.971138e-05,-3.540402e-05,-0.003074224,0.0001470511
BU,0.8466194978483377,0.041570563,3.3602986372361075e-92,0.00053275155,0.0003098509,-5.2665266e-05,-0.0002867246,0.0017281116,-2.7925862e-06,1.1971085e-05,-4.364224e-05,-0.00038035362,-5.6863832e-06,-0.0005754269,-0.00013573238,0.00015885479,-0.00025868622,-0.0009727721,-0.00031117478,-6.3990745e-05,-0.0003129925,-0.00028839058,-2.6617252e-05,0.00045104368,7.210159e-05,1.484916e-05,-0.00023673318,8.601092e-06,-0.00013979568,0.00013387883,-4.418357e-05,8.300595e-06,1.4390313e-05,0.00015955028,0.0005215824,0.00016650344,-0.00012574322,0.0003006522,0.0011450025,9.087573e-06,-8.888042e-07,-0.00019963876,0.0014465705,-0.00086634594,-0.0017930097,-0.0014281063,-0.0021203344,-0.00094002817,-0.00024601325,-0.00037748236,-0.00041525328,1.6874468e-05,2.7790453e-05,-6.7198325e-06,3.5124117e-06,-7.841814e-05,-4.5403103e-06,1.872451e-05,-0.00017781233,3.4956276e-05,-8.310985e-05,-7.397097e-06,0.0004975827,-0.00016378942,-2.2262257e-07,-3.3160555e-05,-0.001770913,0.00033133122,-2.6118018e-05,0.0006521434,-0.00050534063,-0.0016361588,-3.912398e-06,0.0013922476,0.00028252797
CS,0.480012600043031,0.025039412,6.555202693161408e-82,3.1805637e-05,4.485788e-05,6.366283e-05,3.1705855e-05,-2.7925862e-06,0.0006269721,-2.6639842e-05,5.5918204e-06,-2.0817595e-05,-9.059802e-06,-2.2441262e-05,-7.6163196e-06,-3.9004488e-05,-4.980015e-05,-2.0444886e-05,1.5453681e-05,-9.845106e-06,-4.3642765e-05,-1.4564918e-05,4.6372884e-06,-7.107654e-07,3.9463757e-06,-7.6010856e-06,7.901705e-06,-1.6200036e-05,4.2791988e-05,-0.00012507674,-0.00019794701,-1.4584737e-06,-8.265828e-07,-2.2652224e-05,-8.153591e-05,-1.4623032e-05,3.390972e-05,-3.082881e-05,-0.0001421155,-1.2316633e-06,-1.4460801e-06,-6.531579e-05,-0.00012695325,-1.194261e-06,4.1738494e-05,3.339357e-06,3.8576207e-05,-1.0696826e-07,1.3216455e-05,9.559313e-06,3.2765954e-06,-0.00027763925,-0.00048774018,-0.0010632244,-0.00012518815,-0.00014528992,-0.0012909023,0.00071302854,-0.003283813,-2.153239e-05,-5.1891777e-05,2.7041355e-05,-4.3310523e-05,-8.192621e-06,-5.7355544e-05,0.00040485454,-7.116956e-05,-8.0238915e-06,5.233449e-06,-3.0766412e-05,4.0241728e-05,3.3991368e-05,-2.9863193e-05,-4.0272887e-05,-4.5197183e-05
CA,0.12613489562112137,0.023588605,8.928544609823048e-08,1.0068493e-05,-9.791266e-05,-3.1814758e-05,-1.8397288e-05,1.1971085e-05,-2.6639842e-05,0.00055642234,6.739918e-05,1.238761e-07,1.2971829e-05,-5.254802e-05,1.9778028e-07,-5.335162e-05,-3.577152e-05,3.5465262e-05,0.000102363236,5.1572984e-05,8.8548004e-05,9.744831e-05,7.513324e-05,0.00024656847,5.9807764e-05,5.8205194e-05,3.7301856e-05,7.248066e-06,-1.430827e-05,7.49338e-05,7.8215104e-05,-6.3193347e-06,-3.2053496e-05,1.2226581e-05,0.00056954165,1.6076161e-05,-1.0174691e-05,8.013131e-05,5.0721654e-05,6.6698462e-06,3.1236402e-06,0.00031329144,-0.00016127646,3.6337238e-07,4.779031e-05,-1.2391164e-05,-0.00011351197,-3.35971e-06,-3.4891202e-06,-0.00018857159,1.7117785e-05,7.336935e-06,2.2538317e-05,1.7746195e-05,6.1035826e-06,3.0193632e-06,5.7979923e-05,0.00011505427,0.0009253901,-8.835703e-06,-0.0005117891,-0.00020040621,-0.0026045644,-0.00057775824,-0.00063927163,-0.0008854882,0.0006313627,7.104825e-05,-5.5174594e-05,-0.00035406847,-0.0005066759,-0.00013326094,-2.934241e-05,0.0050944756,-3.3630626e-05
DP,0.25294550164208235,0.017077375,1.2302920847054734e-49,1.1657721e-05,-1.3503024e-05,2.277387e-05,-2.2687084e-06,-4.364224e-05,5.5918204e-06,6.739918e-05,0.00029163677,-1.115034e-05,-1.3547107e-05,5.1250314e-05,2.2281552e-06,-4.38906e-05,-6.1768064e-06,-5.561902e-05,-3.882807e-05,1.1388224e-05,1.7553484e-05,1.8673802e-05,-1.836767e-05,-1.7126855e-05,-5.009707e-05,1.4293865e-06,-1.9260753e-05,6.907223e-06,2.440755e-06,-3.5019322e-05,-0.00012220317,-1.3684419e-06,1.8852781e-05,3.452045e-06,-0.0004263432,2.234967e-05,4.9314895e-05,-3.6497942e-05,7.605946e-06,6.8700065e-06,4.17138e-06,0.00013098607,-6.486768e-05,1.5548258e-05,6.0740545e-05,5.3234357e-06,0.00021590751,1.1331538e-05,1.0272547e-05,7.673123e-05,0.00019694133,-2.3649365e-05,-2.0862715e-05,3.9791546e-05,-1.239275e-05,-1.7411872e-05,6.4496144e-06,-3.968537e-05,0.002296397,6.5202075e-05,-0.00012320404,-4.8032518e-05,-0.0005386165,-0.000116781164,-0.0001672604,0.0001724743,2.5362897e-05,6.959318e-05,-0.00012866089,3.3526e-05,-0.0017164105,-9.876123e-05,-0.00012582143,-0.0039960598,-0.0005596973
BT*BT,-0.5833727383232751,0.047564674,1.3990213303427776e-34,-0.002051508,-0.0001059418,-0.00014289824,-0.0006789362,-0.00038035362,-2.0817595e-05,1.238761e-07,-1.115034e-05,0.0022623981,0.00038447304,-0.00013005984,0.000103743325,0.0020291526,-0.0018167972,-0.003144944,-0.0009256525,0.00017737204,0.00012258878,-0.00025127505,-0.0003736324,-0.0008347603,-0.00030873233,-3.1885663e-06,0.00025170305,5.3179145e-05,-0.0006568133,0.0003361048,-0.0005737068,-4.9159316e-05,-0.000101091806,0.00025484202,0.0004880362,0.00024380801,-0.0004993026,0.00038388127,0.002777351,4.2445936e-05,1.2610689e-05,0.0009715138,0.001498051,0.0007922395,-0.00021269884,-0.00019744203,-0.00058729714,0.00021958206,5.7178826e-05,0.00039453086,6.648262e-05,1.7027589e-05,-2.4526908e-05,4.533336e-05,-3.4536513e-06,1.3588638e-05,5.3323034e-05,-8.440525e-05,-0.00014218532,-0.00020532755,-3.88583e-05,0.00016224696,-4.4067224e-06,1.4141694e-05,-6.47769e-05,0.00022130687,0.0021270886,-0.0008425547,2.882983e-05,-0.00080467446,0.0021100233,0.00041319683,2.0905227e-05,0.007853144,-6.6214554e-05
BT*BV,0.017387344396638242,0.081666104,0.8313989380033551,-0.0008841497,-0.00012051029,0.0001221123,4.114045e-05,-5.6863832e-06,-9.059802e-06,1.2971829e-05,-1.3547107e-05,0.00038447304,0.0066693523,-0.00017179284,-0.00030859082,0.00095338776,0.0002659748,-0.001214346,-0.0005589457,0.00080059905,0.00017990572,-3.2992462e-05,-0.00024577903,0.00019067671,-0.00044218684,-3.8256192e-05,-0.00019708689,-5.329185e-05,6.1311395e-05,-0.00025544307,-0.00044537403,3.6609204e-06,0.000104658844,3.873731e-05,-0.00020373087,1.4555471e-06,0.00030497965,-0.00018505762,-0.00032405616,-9.680283e-06,1.3539037e-05,0.00031690873,0.00014262459,0.00011766548,0.00029773457,-0.0002776774,0.0009187557,-6.20482e-05,6.9030557e-06,0.00010449238,6.496616e-05,-1.9237776e-05,-1.5060096e-05,0.00022526395,2.4744459e-05,4.527949e-05,-6.5435397e-06,6.7018314e-05,0.0001230126,-2.4855963e-05,-7.131367e-06,0.00018001611,-0.000114814626,7.3123592e-06,2.2212662e-05,-0.0001079771,0.00016231237,0.00015238923,2.1560201e-05,-0.0013644538,0.00020295475,1.2063826e-05,6.7916712e-06,0.00398551,2.0707344e-05
