Param name,Param value,Param stdv,Param p-value,BT,BV,CD,CH,BU,CS,CA,DP,BT*BT,BT*BV,BT*CD,BT*CH,BT*BU,BT*CS,BT*CA,BT*DP,BV*BT,BV*BV,BV*CD,BV*CH,BV*BU,BV*CS,BV*CA,BV*DP,CD*BT,CD*BV,CD*CD,CD*CH,CD*BU,CD*CS,CD*CA,CD*DP,CH*BT,CH*BV,CH*CD,CH*CH,CH*BU,CH*CS,CH*CA,CH*DP,BU*BT,BU*BV,BU*CD,BU*CH,BU*BU,BU*CS,BU*CA,BU*DP,CS*BT,CS*BV,CS*CD,CS*CH,CS*BU,CS*CS,CS*CA,CS*DP,CA*BT,CA*BV,CA*CD,CA*CH,CA*BU,CA*CS,CA*CA,CA*DP,DP*BT,DP*BV,DP*CD,DP*CH,DP*BU,DP*CS,DP*CA,DP*DP
BT,0.798778188764397,0.054118596,2.661754394408443e-49,0.0029288225,1.2517423e-05,0.000102829355,0.00071366417,0.00059732306,-9.8076935e-06,-5.535974e-06,7.3249143e-06,-0.0021137113,-0.0015484922,-0.0018162843,-0.0007211558,-0.0031849085,0.00095982564,0.0034377396,0.0023052697,0.00019555436,-2.782189e-05,0.0013121389,0.00033458887,0.0008475071,0.00013588973,9.877654e-06,3.0419492e-06,-1.6674327e-05,0.0012764541,-0.00014128193,-0.0003789211,-9.25528e-05,1.4984688e-06,-0.0004814797,-0.0002000393,-0.00017682777,0.000887434,-0.0007180413,-0.0033589513,-5.2746866e-05,8.011021e-06,-0.00018512011,-0.0033162641,-0.00044891282,0.00051727373,-0.00045874197,0.00052848575,-0.0005125213,-6.956417e-05,-0.0012400137,-2.1610176e-05,0.00010530512,5.9881604e-06,0.00011700204,2.2220058e-05,-5.369588e-05,3.070159e-07,0.00012136722,0.0009894053,1.6792565e-05,1.4429668e-05,0.00012476226,6.0395225e-05,-6.466508e-05,-2.7069867e-05,4.6218658e-05,0.0016524474,0.0007875872,2.7080676e-05,0.0006682731,-0.0016496833,-0.0005254769,3.2827476e-05,-0.0027167718,2.7152413e-05
BV,0.951483880761262,0.04960728,5.40391042035668e-82,1.2517423e-05,0.0024608823,-1.46765715e-05,-6.100131e-05,0.0001023228,4.4979064e-05,-0.000121890494,-3.7304596e-06,-1.2285143e-05,-4.6108533e-05,1.2428211e-05,1.8731977e-05,7.72819e-05,4.899304e-05,8.8935216e-05,3.4721532e-05,-0.0012999778,-0.0024164736,-0.0028186915,-0.00086813234,-0.0009975919,8.508171e-05,0.00012334531,0.00066510634,-4.9669554e-05,-0.00116571,8.079253e-05,-0.00037454028,-6.994947e-05,-2.8063128e-05,7.560688e-05,0.00010261148,-1.5403974e-05,-0.0003003525,-4.153588e-05,0.00035057278,-2.537712e-05,-9.047037e-06,-0.00019980936,-5.177645e-05,-3.9639663e-06,0.00029873694,2.4290905e-05,0.0004632712,-0.000115503324,-4.965877e-06,-0.00017960717,1.3131561e-05,1.809405e-05,0.00013901677,7.791637e-05,5.5680186e-05,4.2821757e-05,-0.00013699984,0.00014907913,-9.225577e-05,4.9958007e-06,-0.0011359724,0.00017311041,-0.001161474,-0.00019506385,-0.0010509755,0.0042625507,0.0013227552,-0.000119861936,-3.3810516e-05,0.00015301089,0.00036907342,-8.935366e-05,1.9952267e-06,-0.0007202091,2.7750686e-05
CD,0.5971779265055157,0.03558892,3.4250850563464576e-63,0.000102829355,-1.46765715e-05,0.0012665713,0.00029416953,-3.7105638e-05,4.363375e-05,1.6041904e-05,4.614759e-06,-6.842008e-05,5.4462933e-05,0.00015385865,-1.2335703e-06,-4.8887672e-05,2.4284383e-05,-0.00039417268,7.017943e-05,6.153157e-05,5.515877e-06,0.00055753323,9.820375e-05,9.103181e-05,2.7969494e-05,8.462559e-06,-4.506338e-06,-0.00022175872,-0.0013225426,-0.0014477476,-0.0035393913,-0.00031695262,-0.0009707095,0.00088833395,-0.0008681885,-8.999992e-05,0.00018039519,-0.00024889546,-0.0011767453,-4.4097105e-05,-2.0959324e-05,-0.0003743676,-0.0007600138,4.3586373e-05,4.014669e-05,0.00016574566,-0.00017838771,3.726643e-05,1.09615585e-05,-7.3900774e-05,-3.878568e-06,-3.1825646e-05,-5.1139883e-05,0.00029265723,-0.00010870905,-8.0515354e-05,-3.7181995e-05,-0.00018798112,-0.00019276468,-5.8193773e-06,2.1172948e-05,0.00011530506,-6.6986235e-05,-1.5132572e-05,3.4789246e-05,-0.00015030037,-0.0005464825,5.9890994e-05,2.4529795e-06,0.0008393606,-0.0014037427,2.9232424e-05,-2.9100122e-06,-0.001372904,-8.560657e-06
CH,0.5180266019189402,0.050492365,1.0725662107421106e-24,0.00071366417,-6.100131e-05,0.00029416953,0.0025494788,-6.330062e-05,-9.62357e-07,-3.0052948e-05,-2.4327016e-07,-0.0005436046,7.961441e-05,-0.0005643266,-6.80615e-05,-0.0004678838,0.00017182203,-0.00013014114,-0.00049467303,0.0002038787,4.6540565e-05,0.0014065413,0.00035466475,9.110031e-06,9.23007e-05,-1.3290198e-05,-5.7770135e-06,-7.610544e-05,0.0023413454,-0.00050970784,0.00063193304,-6.773572e-05,-2.009507e-05,-0.0011078899,0.00040717304,-0.00096005877,0.00064581464,-0.0026578915,-0.010502033,-0.0002637264,-0.00013040775,0.00060616474,-0.005847404,0.000100861806,-0.00028104187,-1.7229144e-05,-0.0019386029,0.00010195451,-2.2182064e-06,0.0003253395,-1.0195774e-05,-1.6088772e-05,-4.0490527e-06,0.00015995438,-9.264961e-05,-2.5297788e-05,2.1119626e-05,-5.889662e-05,-0.00041529236,3.7091604e-06,-4.431387e-05,0.00012325695,-0.00078730704,-3.12954e-05,-0.0001273383,0.00055073656,-0.0011272763,0.00056602724,-2.6722468e-05,0.0012159038,-0.012982242,-1.9942785e-05,-2.6962965e-05,0.0007189586,4.795737e-05
BU,0.7980537173605622,0.04379517,3.4269356228350548e-74,0.00059732306,0.0001023228,-3.7105638e-05,-6.330062e-05,0.0019180168,-2.3456792e-05,7.744692e-06,-5.1648552e-05,-0.00043915832,-2.4925166e-06,-0.0006469573,-0.00013452618,0.0001505941,-2.536733e-06,-0.00077089306,-0.00047463985,5.8387417e-05,-0.00010826639,0.000249584,8.190488e-05,0.00014834625,5.005204e-05,2.00838e-05,3.7824923e-06,4.64112e-06,-9.4551964e-05,9.277489e-05,-0.000106839616,-0.00019513576,-2.0748164e-05,0.00022260392,-0.00087884243,0.00010407716,3.152916e-05,0.00010586884,0.00023357116,3.030306e-05,1.6235e-05,5.61925e-05,0.0005279822,-0.0009634054,-0.0016883005,-0.0014337207,-0.0014549756,-0.0015141846,-0.0002604953,-0.00042513394,0.00014783816,1.1213597e-05,1.0135258e-05,6.016496e-05,-3.716547e-06,-0.00029728722,6.1696664e-05,-6.833418e-05,-0.00021769194,-2.0157042e-07,5.6669753e-05,-1.0517079e-05,0.0001984843,-8.801174e-05,9.893533e-05,-0.000380157,-0.0015457484,0.00031202845,-3.245416e-05,0.00066382135,2.2569555e-05,-0.0020441865,1.1039499e-05,0.0033680983,0.0003264905
CS,0.4754988630498098,0.023148471,9.213346004638366e-94,-9.8076935e-06,4.4979064e-05,4.363375e-05,-9.62357e-07,-2.3456792e-05,0.0005358517,-2.4664503e-05,9.3790095e-06,1.0651717e-05,-1.467166e-05,8.178452e-06,-1.0121035e-05,-3.2549593e-05,-0.00011873104,6.404792e-05,7.477173e-05,-1.5947304e-05,-4.334171e-05,-5.7627267e-06,-2.7453552e-06,5.241218e-06,-2.6889515e-05,-8.208303e-06,9.706328e-06,-1.2983759e-05,-1.3128237e-05,-5.248702e-05,-0.00015772939,-1.791714e-05,4.522674e-05,-5.022321e-05,5.954598e-05,-9.6481845e-06,3.3734902e-06,1.4604747e-05,-2.217479e-06,-2.850891e-06,7.4496223e-09,-6.5121945e-05,-0.00010026228,2.7621102e-06,4.304272e-05,2.7958176e-05,3.0786196e-05,1.7511553e-05,4.701915e-05,-2.064114e-05,7.2529315e-06,-0.00019631443,-0.00039653972,-0.0008400444,-0.00023114489,-3.9931492e-05,-0.0011461086,0.0009877089,-0.0025615173,2.9137561e-06,-3.0380395e-05,2.8986761e-07,5.832456e-06,5.1759503e-06,-6.194038e-05,0.000293342,-0.000591102,2.4288947e-05,-7.2970306e-07,1.8871793e-05,2.6062993e-05,2.7903876e-05,-3.8206505e-05,-0.00097198796,-3.233294e-05
CA,0.13715959649219545,0.022050222,4.961194091127813e-10,-5.535974e-06,-0.000121890494,1.6041904e-05,-3.0052948e-05,7.744692e-06,-2.4664503e-05,0.0004862123,1.1122439e-05,6.255314e-06,3.19772e-06,1.2262637e-05,1.2071084e-06,-1.8306966e-05,7.7157765e-06,2.9446635e-06,5.8830985e-05,6.313317e-05,0.00011850576,0.00019453806,3.83592e-05,6.900033e-05,-2.9012338e-06,8.936336e-05,-2.1568687e-05,1.2169123e-06,9.1877766e-05,-7.63971e-06,-9.524429e-05,-2.9691335e-05,-1.8331613e-05,2.7534963e-05,0.00014485921,7.1502413e-06,-2.4881373e-07,6.333656e-05,0.00010595798,6.794247e-06,1.3559663e-06,6.684072e-05,-3.201452e-05,-9.840838e-06,5.7201723e-06,-1.9311249e-06,1.56705e-05,-9.039338e-06,-1.5053206e-06,-6.879869e-05,2.6281807e-06,7.166146e-06,8.938255e-06,2.1081805e-05,4.3584046e-06,-9.836955e-06,5.681964e-05,-3.3023254e-05,0.00011713011,-0.00012782321,-0.00034441683,-0.00029312354,-0.0015951837,-0.00048186758,-0.00036257718,-0.0013770721,0.0003877084,-2.6266327e-05,-3.86769e-06,-0.00029466357,0.00013892546,-2.010951e-05,-1.5461303e-05,0.0012263787,-6.7975575e-06
DP,0.24273600396647918,0.014142499,4.974501896122793e-66,7.3249143e-06,-3.7304596e-06,4.614759e-06,-2.4327016e-07,-5.1648552e-05,9.3790095e-06,1.1122439e-05,0.00020001028,-4.1484277e-06,-4.929163e-06,1.7195765e-05,-1.1729646e-05,-4.904263e-05,-2.1274152e-05,6.376735e-06,-1.9141666e-05,9.832088e-06,2.4465862e-06,9.051439e-07,9.659953e-06,8.451144e-06,2.7254102e-06,3.4864731e-06,2.0800433e-05,-6.3503177e-07,1.0685456e-05,-2.879267e-06,-4.710312e-05,-1.5254125e-05,2.3546277e-06,2.2212917e-05,-6.107282e-05,1.470409e-05,2.3701854e-05,-4.9623072e-06,-9.28654e-06,6.5764343e-06,5.1989928e-06,4.5685665e-05,-0.00012248308,2.120712e-05,5.4131917e-05,4.3270364e-05,8.753151e-05,3.129352e-05,1.1592537e-05,1.7374236e-05,0.00018264637,-1.9726333e-05,-1.7527787e-05,1.5436242e-05,-3.2880613e-05,-1.6238999e-05,7.854533e-07,-7.837653e-05,0.001498314,-4.183936e-06,-9.999582e-06,1.0494861e-05,-5.5354012e-05,-9.8295195e-06,-6.855074e-06,-1.8868479e-05,0.00065351435,0.00030242337,-0.00012518378,0.00044437373,-0.0015936035,-0.00015502734,-0.0001870156,-0.0050972146,-0.00033192683
BT*BT,-0.559018967950915,0.04673148,5.5946169559850954e-33,-0.0021137113,-1.2285143e-05,-6.842008e-05,-0.0005436046,-0.00043915832,1.0651717e-05,6.255314e-06,-4.1484277e-06,0.002183831,0.0008878685,0.0009976304,0.00012688266,0.0018115871,-0.0026749114,-0.003352523,-0.0019129831,0.00024726102,4.387762e-05,-0.0010882814,-0.00036435341,-0.0008108898,-0.0002453228,-3.168205e-05,-0.00013430143,4.2931093e-05,-0.0010054769,9.990247e-05,0.00017831038,2.4866498e-05,-3.074311e-05,0.00035317126,0.00015738372,0.00019391376,-0.0006959877,0.0004709886,0.0025974726,3.661005e-05,-1.51647455e-05,0.000112576075,0.0025964016,0.0005907406,-0.0004949122,8.545125e-05,-0.0007049953,0.00040406626,3.681164e-05,0.00081740174,1.4062693e-05,-4.0662515e-05,-5.267109e-06,-0.00012693371,-1.2190689e-05,3.8280778e-05,-1.0002232e-05,-7.285056e-05,-0.00060071965,-1.1709341e-05,-1.8082745e-05,-9.990387e-05,-5.489939e-05,3.8581224e-05,1.8157236e-05,-4.4059627e-05,-0.0012735149,-0.000514229,-2.3310824e-05,-0.00039417742,0.0011476082,0.0003605709,-1.9401557e-05,0.0018156553,-1.7611732e-05
BT*BV,0.042336538340727675,0.091261335,0.6427162118965782,-0.0015484922,-4.6108533e-05,5.4462933e-05,7.961441e-05,-2.4925166e-06,-1.467166e-05,3.19772e-06,-4.929163e-06,0.0008878685,0.008328631,0.0007870161,-0.0008102597,0.00057512964,-0.00024565036,-0.0012269034,-0.001721545,0.0012939272,0.00010520287,0.00020582801,-0.00017992819,0.00013780847,-0.0003699261,-7.1727365e-05,-0.00040658785,-4.3512522e-05,0.00065401616,-0.00011685239,-0.00054936256,-5.785254e-05,3.769588e-05,-1.7661712e-05,3.0367976e-06,-2.7919541e-05,0.00034279577,-0.00018447082,-0.0005700661,-5.695336e-06,3.013193e-05,0.00042443446,0.00035476475,-1.853214e-05,0.0006779376,-0.0002869571,0.0015565443,-0.00012339829,4.6912504e-05,0.0007631301,0.0001031013,-4.694082e-05,1.5972939e-05,6.900121e-05,2.6729533e-05,1.527272e-05,2.5107487e-05,1.602568e-05,9.020239e-05,-1.3800843e-05,-1.6062802e-05,2.3989523e-05,-6.9234948e-06,9.618867e-07,-1.3003902e-05,-5.3297194e-06,-0.0036248178,0.0006181831,5.148364e-06,-0.00027028768,-0.0004429706,6.476696e-05,1.352279e-05,0.0008103385,-1.3598927e-05
