Treatments,Time,BT,BV,CD,CH,BU,CS,CA,DP
BT-BV-CH-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BT-BV-CH-BU-CS-CA-DP_0,12,1.104770133,0.179777551,0.0,0.212015752,0.401490514,0.021472142,0.018853547,0.046787036
BT-BV-CH-BU-CS-CA-DP_0,24,1.04351902,0.026561931,0.0,0.191174923,0.303696177,0.039351074,0.028245874,0.059284295
BT-BV-MS001-BU-CS-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571
BT-BV-MS001-BU-CS-CA-DP_0,12,0.64709308,0.088616829,0.64665243,0.0,0.292826327,0.067192825,0.017417236,0.021701213
BT-BV-MS001-BU-CS-CA-DP_0,24,0.666666238,0.026042711,0.72910913,0.0,0.217456601,0.136722092,0.102708403,0.023794824
BT-BV-MS001-CH-BU-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571
BT-BV-MS001-CH-BU-CA-DP_0,12,0.703554638,0.071733231,0.50624681,0.090608995,0.391390906,0.0,0.011245296,0.033053445
BT-BV-MS001-CH-BU-CA-DP_0,24,0.906411204,0.01706892,0.743146581,0.115603698,0.311760021,0.0,0.019143394,0.035699514
BT-BV-MS001-CH-BU-CS-CA_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0
BT-BV-MS001-CH-BU-CS-CA_0,12,0.677593379,0.095470657,0.595320826,0.07542082,0.316027569,0.050727722,0.010605657,0.0
BT-BV-MS001-CH-BU-CS-CA_0,24,0.626334127,0.021890674,0.617406845,0.049638765,0.203109957,0.06841331,0.026039669,0.0
BT-BV-MS001-CH-BU-CS-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571
BT-BV-MS001-CH-BU-CS-DP_0,12,0.683111669,0.086270688,0.543376968,0.108798586,0.375158092,0.02644671,0.0,0.026503928
BT-BV-MS001-CH-BU-CS-DP_0,24,0.656287565,0.011481231,0.581471762,0.081872147,0.298780492,0.086965211,0.0,0.020808276
BT-BV-MS001-CH-CS-CA-DP_0,0,0.001428571,0.001428571,0.001428571,0.001428571,0.0,0.001428571,0.001428571,0.001428571
BT-BV-MS001-CH-CS-CA-DP_0,12,1.07483369,0.098214733,0.536802196,0.079807893,0.0,0.029112614,0.020091681,0.045720534
BT-BV-MS001-CH-CS-CA-DP_0,24,0.994797034,0.016398097,0.62707319,0.092263819,0.0,0.061363129,0.065923958,0.051347453
BT-CA_0,0,0.005,0.0,0.0,0.0,0.0,0.0,0.005,0.0
BT-CA_0,12,1.715623174,0.0,0.0,0.0,0.0,0.0,0.048043501,0.0
BT-CA_0,24,1.44498783,0.0,0.0,0.0,0.0,0.0,0.046512166,0.0
BT-MS001-CH-BU-CS-CA-DP_0,0,0.001428571,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BT-MS001-CH-BU-CS-CA-DP_0,12,0.756708922,0.0,0.461238003,0.100994222,0.477315436,0.017373725,0.011090124,0.038112876
BT-MS001-CH-BU-CS-CA-DP_0,24,0.68899837,0.0,0.48956557,0.096550713,0.292102129,0.042922601,0.021419684,0.025440925
BU-BT_0,0,0.005,0.0,0.0,0.0,0.005,0.0,0.0,0.0
BU-BT_0,12,1.237538642,0.0,0.0,0.0,0.413294653,0.0,0.0,0.0
BU-BT_0,24,1.211940777,0.0,0.0,0.0,0.354559197,0.0,0.0,0.0
BU-BV_0,0,0.0,0.005,0.0,0.0,0.005,0.0,0.0,0.0
BU-BV_0,12,0.0,0.677923254,0.0,0.0,0.677910064,0.0,0.0,0.0
BU-BV_0,24,0.0,1.007333068,0.0,0.0,0.352166929,0.0,0.0,0.0
BU-CA_0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.005,0.0
BU-CA_0,12,0.0,0.0,0.0,0.0,1.230954535,0.0,0.070045441,0.0
BU-CA_0,24,0.0,0.0,0.0,0.0,0.939759544,0.0,0.133907125,0.0
BV-BT_0,0,0.005,0.005,0.0,0.0,0.0,0.0,0.0,0.0
BV-BT_0,12,1.759245252,0.229921442,0.0,0.0,0.0,0.0,0.0,0.0
BV-BT_0,24,1.38862985,0.378203472,0.0,0.0,0.0,0.0,0.0,0.0
BV-CA_0,0,0.0,0.005,0.0,0.0,0.0,0.0,0.005,0.0
BV-CA_0,12,0.0,1.215768651,0.0,0.0,0.0,0.0,0.278398007,0.0
BV-CA_0,24,0.0,1.108138883,0.0,0.0,0.0,0.0,0.285361094,0.0
BV-MS001-CH-BU-CS-CA-DP_0,0,0.0,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571,0.001428571
BV-MS001-CH-BU-CS-CA-DP_0,12,0.0,0.067700162,0.540168901,0.086380448,0.499195846,0.033567452,0.013168218,0.032485681
BV-MS001-CH-BU-CS-CA-DP_0,24,0.0,0.026135882,0.605188622,0.070855828,0.447496495,0.238162404,0.053219813,0.037107641
CH-BT_0,0,0.005,0.0,0.0,0.005,0.0,0.0,0.0,0.0
CH-BT_0,12,1.848360128,0.0,0.0,0.114973217,0.0,0.0,0.0,0.0
CH-BT_0,24,1.238869079,0.0,0.0,0.036630937,0.0,0.0,0.0,0.0
CH-BU_0,0,0.0,0.0,0.0,0.005,0.005,0.0,0.0,0.0
CH-BU_0,12,0.0,0.0,0.0,0.15348373,1.235182956,0.0,0.0,0.0
CH-BU_0,24,0.0,0.0,0.0,0.227194306,0.937805652,0.0,0.0,0.0
CH-BV_0,0,0.0,0.005,0.0,0.005,0.0,0.0,0.0,0.0
CH-BV_0,12,0.0,0.851890082,0.0,0.491776636,0.0,0.0,0.0,0.0
CH-BV_0,24,0.0,0.904308544,0.0,0.357191483,0.0,0.0,0.0,0.0
CH-CA_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.005,0.0
CH-CA_0,12,0.0,0.0,0.0,0.218695908,0.0,0.0,0.082304089,0.0
CH-CA_0,24,0.0,0.0,0.0,0.148478455,0.0,0.0,0.151354881,0.0
CH-CS_0,0,0.0,0.0,0.0,0.005,0.0,0.005,0.0,0.0
CH-CS_0,12,0.0,0.0,0.0,0.319806616,0.0,0.526860034,0.0,0.0
CH-CS_0,24,0.0,0.0,0.0,0.239503103,0.0,0.648996918,0.0,0.0
CH-DP_0,0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.005
CH-DP_0,12,0.0,0.0,0.0,0.057250103,0.0,0.0,0.0,0.277416585
CH-DP_0,24,0.0,0.0,0.0,0.046018517,0.0,0.0,0.0,0.291398143
CS-BT_0,0,0.005,0.0,0.0,0.0,0.0,0.005,0.0,0.0
CS-BT_0,12,1.974250319,0.0,0.0,0.0,0.0,0.320583,0.0,0.0
CS-BT_0,24,1.692240411,0.0,0.0,0.0,0.0,0.377759618,0.0,0.0
CS-BU_0,0,0.0,0.0,0.0,0.0,0.005,0.005,0.0,0.0
CS-BU_0,12,0.0,0.0,0.0,0.0,0.882400116,0.742933219,0.0,0.0
CS-BU_0,24,0.0,0.0,0.0,0.0,0.688211432,0.677121873,0.0,0.0
CS-BV_0,0,0.0,0.005,0.0,0.0,0.0,0.005,0.0,0.0
CS-BV_0,12,0.0,1.001307491,0.0,0.0,0.0,0.358525845,0.0,0.0
CS-BV_0,24,0.0,1.018079541,0.0,0.0,0.0,0.145087177,0.0,0.0
CS-CA_0,0,0.0,0.0,0.0,0.0,0.0,0.005,0.005,0.0
CS-CA_0,12,0.0,0.0,0.0,0.0,0.0,0.39072319,0.007776807,0.0
