Treatments,Time,CA,BT,BU,BV,CS,CD,DP,CH
BV-CH-CS,0,0,0,0,0.003333333,0.003333333,0,0,0.003333333
BV-CA-CH,0,0.003333333,0,0,0.003333333,0,0,0,0.003333333
BV-CH-DP,0,0,0,0,0.003333333,0,0,0.003333333,0.003333333
BU-BV-DP,0,0,0,0.003333333,0.003333333,0,0,0.003333333,0
BU-CA-CS,0,0.003333333,0,0.003333333,0,0.003333333,0,0,0
CA-CS-DP,0,0.003333333,0,0,0,0.003333333,0,0.003333333,0
BT-BV-CH-DP,0,0,0.0025,0,0.0025,0,0,0.0025,0.0025
BT-BU-CA-CH,0,0,0.0025,0.0025,0,0,0,0,0.0025
BT-BU-CH-DP,0,0,0.0025,0.0025,0,0,0,0.0025,0.0025
BU-BV-CH-CS,0,0,0,0.0025,0.0025,0.0025,0,0,0.0025
BU-BV-CA-CH,0,0.0025,0,0.0025,0.0025,0,0,0,0.0025
BV-CA-CH-CS,0,0.0025,0,0,0.0025,0.0025,0,0,0.0025
BV-CH-CS-DP,0,0,0,0,0.0025,0.0025,0,0.0025,0.0025
BU-BV-CA-CS,0,0.0025,0,0.0025,0.0025,0.0025,0,0,0
BU-BV-CS-DP,0,0,0,0.0025,0.0025,0.0025,0,0.0025,0
BU-BV-CA-DP,0,0.0025,0,0.0025,0.0025,0,0,0.0025,0
BV-CA-CS-DP,0,0.0025,0,0,0.0025,0.0025,0,0.0025,0
BU-CA-CH-CS,0,0.0025,0,0.0025,0,0.0025,0,0,0.0025
BU-CA-CH-DP,0,0.0025,0,0.0025,0,0,0,0.0025,0.0025
BU-CA-CS-DP,0,0.0025,0,0.0025,0,0.0025,0,0.0025,0
BT-BU-BV-CA-DP,0,0.002,0.002,0.002,0.002,0,0,0.002,0
BT-BV-CA-CS-DP,0,0.002,0.002,0,0.002,0.002,0,0.002,0
BT-BU-CA-CH-CS,0,0.002,0.002,0.002,0,0.002,0,0,0.002
BT-CA-CH-CS-DP,0,0.002,0.002,0,0,0.002,0,0.002,0.002
BT-BU-CA-CS-DP,0,0.002,0.002,0.002,0,0.002,0,0.002,0
BU-BV-CA-CH-CS,0,0.002,0,0.002,0.002,0.002,0,0,0.002
BU-BV-CA-CH-DP,0,0.002,0,0.002,0.002,0,0,0.002,0.002
BV-CA-CH-CS-DP,0,0.002,0,0,0.002,0.002,0,0.002,0.002
BT-BU-BV-CA-CS-DP,0,0.001666667,0.001666667,0.001666667,0.001666667,0.001666667,0,0.001666667,0
BU-BV-CA-CH-CS-DP,0,0.001666667,0,0.001666667,0.001666667,0.001666667,0,0.001666667,0.001666667
BV-CH-CS,12,0,0,0,0.782450824,0.058986959,0,0,0.071395554
BV-CA-CH,12,0.019150565,0,0,0.864128514,0,0,0,0.288554248
BV-CH-DP,12,0,0,0,0.422196061,0,0,0.25214487,0.222825699
BU-BV-DP,12,0,0,0.5192192,0.833483453,0,0,0.163963958,0
BU-CA-CS,12,0.006058609,0,0.435314629,0,0.428626737,0,0,0
CA-CS-DP,12,0.000846487,0,0,0,0.124805113,0,0.100015061,0
BT-BV-CH-DP,12,0,1.440273149,0,0.169505055,0,0,0.038982025,0.05907313
