Treatments,species,true,pred,stdv
BT-BV-DSM-CH-BU-CA-DP_0,CA,0.014800791,0.009018736891448498,0.04896136745810509
BT-BV-DSM-CH-BU-CA-DP_0,BT,0.813182263,0.9725000262260437,0.2008156180381775
BT-BV-DSM-CH-BU-CA-DP_0,BU,0.465839563,0.35807234048843384,0.19225870072841644
BT-BV-DSM-CH-BU-CA-DP_0,BV,0.09684879,0.13019855320453644,0.15253694355487823
BT-BV-DSM-CH-BU-CA-DP_0,CD,0.214570373,0.16389435529708862,0.10194479674100876
BT-BV-DSM-CH-BU-CA-DP_0,DP,0.048166179,0.030287966132164,0.15503430366516113
BT-BV-DSM-CH-BU-CA-DP_0,CH,0.221925337,0.09944114089012146,0.1015496775507927
BT-BV-DSM-CH-BU-CA-DP_0,CA,0.015594671,0.007922204211354256,0.04915845766663551
BT-BV-DSM-CH-BU-CA-DP_0,BT,0.916013137,0.9833422303199768,0.20444999635219574
BT-BV-DSM-CH-BU-CA-DP_0,BU,0.395551563,0.34398356080055237,0.19411420822143555
BT-BV-DSM-CH-BU-CA-DP_0,BV,0.021785618,0.006591670215129852,0.1508444845676422
BT-BV-DSM-CH-BU-CA-DP_0,CD,0.268988464,0.27422136068344116,0.10708075761795044
BT-BV-DSM-CH-BU-CA-DP_0,DP,0.054078452,0.09097690135240555,0.160025492310524
BT-BV-DSM-CH-BU-CA-DP_0,CH,0.177654735,0.07140900939702988,0.10261368751525879
BU-CA-DSM-CS,CA,0.0142734,0.01306734886020422,0.049016159027814865
BU-CA-DSM-CS,BU,0.559675899,0.5969698429107666,0.19267301261425018
BU-CA-DSM-CS,CS,0.078618431,0.12967830896377563,0.1099429801106453
BU-CA-DSM-CS,CD,0.458098913,0.48861992359161377,0.10449197888374329
BU-CA-DSM-CS,CA,0.029564252,0.029836468398571014,0.05158470943570137
BU-CA-DSM-CS,BU,0.430147929,0.5935149192810059,0.19559819996356964
BU-CA-DSM-CS,CS,0.100594504,0.16020359098911285,0.12240716814994812
BU-CA-DSM-CS,CD,0.665026579,0.5436962842941284,0.10413265228271484
BV-CA-CS-DP,CA,0.005655896,0.06466632336378098,0.05182604119181633
BV-CA-CS-DP,BV,1.124030962,1.032986044883728,0.15567252039909363
BV-CA-CS-DP,CS,0.236289962,0.13373975455760956,0.10978689789772034
BV-CA-CS-DP,DP,0.068356505,0.04940033331513405,0.15566879510879517
BV-CA-CS-DP,CA,0.261264344,0.10838888585567474,0.07105674594640732
BV-CA-CS-DP,BV,0.498980025,0.8675508499145508,0.17461036145687103
BV-CA-CS-DP,CS,0.675408325,0.126364603638649,0.12604372203350067
BV-CA-CS-DP,DP,0.121347288,0.30170100927352905,0.1791423112154007
BV-DSM-CH-CS-DP,BV,0.552906288,0.5644673705101013,0.15542447566986084
BV-DSM-CH-CS-DP,CS,0.023714614,0.08492366969585419,0.10831791907548904
BV-DSM-CH-CS-DP,CD,0.02982499,0.17768815159797668,0.10319849848747253
BV-DSM-CH-CS-DP,DP,0.2834124,0.051622048020362854,0.15551641583442688
BV-DSM-CH-CS-DP,CH,0.066475038,0.14391985535621643,0.10222550481557846
BV-DSM-CH-CS-DP,BV,0.36590288,0.4414484202861786,0.16161362826824188
BV-DSM-CH-CS-DP,CS,0.053052957,0.11847557127475739,0.11453144252300262
BV-DSM-CH-CS-DP,CD,0.055509042,0.18897417187690735,0.12239759415388107
BV-DSM-CH-CS-DP,DP,0.708372901,0.17876514792442322,0.16544091701507568
BV-DSM-CH-CS-DP,CH,0.07932882,0.14866307377815247,0.10591237246990204
CH-BT_0,BT,1.848360128,1.4509003162384033,0.20301270484924316
CH-BT_0,CH,0.114973217,0.15350502729415894,0.10239366441965103
CH-BT_0,BT,1.238869079,1.4668357372283936,0.20286023616790771
CH-BT_0,CH,0.036630937,0.15158995985984802,0.10294025391340256
CH-DP_0,DP,0.277416585,0.20620329678058624,0.16076251864433289
CH-DP_0,CH,0.057250103,0.23693273961544037,0.10220742970705032
CH-DP_0,DP,0.291398143,0.3854190409183502,0.16185647249221802
CH-DP_0,CH,0.046018517,0.23454515635967255,0.10272285342216492
CS-BT_0,BT,1.974250319,1.3653167486190796,0.20079176127910614
CS-BT_0,CS,0.320583,0.20281176269054413,0.11181994527578354
CS-BT_0,BT,1.692240411,1.3460773229599,0.20928262174129486
CS-BT_0,CS,0.377759618,0.32503724098205566,0.12158504873514175
DP-BV_0,BV,1.413939791,1.0860260725021362,0.15637126564979553
DP-BV_0,DP,0.20789352,0.05086521431803703,0.15614710748195648
DP-BV_0,BV,1.188235427,1.0933746099472046,0.16063369810581207
DP-BV_0,DP,0.326731266,0.056012410670518875,0.1631595939397812
DSM-DP_0,CD,0.469494056,0.5639024376869202,0.10298152267932892
DSM-DP_0,DP,0.113505934,0.15742270648479462,0.15911947190761566
DSM-DP_0,CD,0.386810871,0.5869356989860535,0.104072205722332
DSM-DP_0,DP,0.201355799,0.3012467324733734,0.16371026635169983
BU-BV-CA-DSM-CS,CA,0.024470807,0.0006785219884477556,0.03787359595298767
BU-BV-CA-DSM-CS,BU,0.533302807,0.4517418146133423,0.15765884518623352
BU-BV-CA-DSM-CS,BV,0.286887916,0.5108844637870789,0.16863179206848145
BU-BV-CA-DSM-CS,CS,0.062426725,0.0671844631433487,0.10630356520414352
BU-BV-CA-DSM-CS,CD,0.411911721,0.4490429759025574,0.09041576832532883
BU-BV-CA-DSM-CS,CA,0.175153788,1.2231741663981666e-07,0.037864480167627335
BU-BV-CA-DSM-CS,BU,0.23294533,0.5622485280036926,0.1611011028289795
BU-BV-CA-DSM-CS,BV,0.117419544,0.335428386926651,0.18951912224292755
BU-BV-CA-DSM-CS,CS,0.140287402,0.07869372516870499,0.11182946711778641
BU-BV-CA-DSM-CS,CD,0.645193876,0.49337083101272583,0.08996168524026871
BU-BV-DSM-CH-CS,BU,1.268392776,0.7318490743637085,0.15528228878974915
BU-BV-DSM-CH-CS,BV,0.403375091,0.3125137984752655,0.15464967489242554
BU-BV-DSM-CH-CS,CS,0.120671738,0.08268287777900696,0.10595621913671494
BU-BV-DSM-CH-CS,CD,0.040232365,0.1544404774904251,0.08662375807762146
BU-BV-DSM-CH-CS,CH,0.106744681,0.1558348387479782,0.10540124773979187
BU-BV-DSM-CH-CS,BU,0.835891228,0.7166149020195007,0.15846554934978485
BU-BV-DSM-CH-CS,BV,0.087881231,0.16798552870750427,0.15980398654937744
BU-BV-DSM-CH-CS,CS,0.175300889,0.2012077271938324,0.1107158213853836
BU-BV-DSM-CH-CS,CD,0.118195971,0.172227144241333,0.09205005317926407
BU-BV-DSM-CH-CS,CH,0.162980662,0.1563793271780014,0.10622415691614151
BU-CA-CH-CS,CA,0.002409447,0.00016954675083979964,0.0378650426864624
BU-CA-CH-CS,BU,0.723322159,0.8545668721199036,0.15653596818447113
BU-CA-CH-CS,CS,0.103264786,0.16709044575691223,0.10816086828708649
BU-CA-CH-CS,CH,0.05567025,0.21270136535167694,0.10562040656805038
BU-CA-CH-CS,CA,0.009955042,4.898965855204551e-08,0.037864480167627335
BU-CA-CH-CS,BU,0.530220954,0.6771738529205322,0.16598564386367798
BU-CA-CH-CS,CS,0.440239499,0.37062957882881165,0.11354320496320724
BU-CA-CH-CS,CH,0.113584497,0.21575883030891418,0.10626789182424545
BU-CA-CH-DP,CA,0.004527958,3.800061313086189e-05,0.03786452114582062
BU-CA-CH-DP,BU,0.712456931,0.9315106868743896,0.15588802099227905
BU-CA-CH-DP,DP,0.122212659,0.1933172345161438,0.15885703265666962
BU-CA-CH-DP,CH,0.046802474,0.2052992731332779,0.10563001036643982
BU-CA-CH-DP,CA,0.003691967,1.485859937692957e-12,0.037864480167627335
BU-CA-CH-DP,BU,0.539385805,0.8508373498916626,0.15995977818965912
BU-CA-CH-DP,DP,0.822359182,0.388228178024292,0.15996357798576355
BU-CA-CH-DP,CH,0.027729727,0.19545325636863708,0.10604188591241837
BV-CA-CH-CS,CA,0.00618934,0.08146099001169205,0.0421767421066761
BV-CA-CH-CS,BV,0.705599567,0.6226705312728882,0.15589012205600739
BV-CA-CH-CS,CS,0.067331493,0.15569551289081573,0.10760682821273804
BV-CA-CH-CS,CH,0.097379636,0.20845575630664825,0.10550309717655182
BV-CA-CH-CS,CA,0.099487508,0.4035150706768036,0.05704643204808235
BV-CA-CH-CS,BV,0.670641938,0.31867271661758423,0.17929193377494812
BV-CA-CH-CS,CS,0.261246094,0.6029734015464783,0.15372154116630554
BV-CA-CH-CS,CH,0.271291075,0.2160094678401947,0.11315060406923294
CA-CS-DP,CA,0.000846487,0.00786476768553257,0.03798350691795349
CA-CS-DP,CS,0.124805113,0.31699660420417786,0.11069159209728241
CA-CS-DP,DP,0.100015061,0.19912372529506683,0.1583820879459381
CA-CS-DP,CA,0.000597377,0.0008212615502998233,0.03789781406521797
CA-CS-DP,CS,0.206912091,0.35683590173721313,0.11726751178503036
CA-CS-DP,DP,0.236823862,0.40086543560028076,0.1632915884256363
CS-BU_0,BU,0.882400116,0.461744487285614,0.15898370742797852
CS-BU_0,CS,0.742933219,0.38395705819129944,0.11105252057313919
CS-BU_0,BU,0.688211432,0.20694591104984283,0.17275947332382202
CS-BU_0,CS,0.677121873,0.6034837365150452,0.1120329275727272
DSM-BU_0,BU,0.718495757,0.6967055201530457,0.15704648196697235
DSM-BU_0,CD,0.602670904,0.5190185308456421,0.08891855925321579
DSM-BU_0,BU,0.455803879,0.7229077219963074,0.15727537870407104
DSM-BU_0,CD,0.654529481,0.5284788012504578,0.08975493162870407
DSM-BV_0,BV,0.548462136,0.7485581636428833,0.17394936084747314
DSM-BV_0,CD,0.940871181,0.4465981125831604,0.09101549535989761
DSM-BV_0,BV,0.353927163,0.7326863408088684,0.18247078359127045
DSM-BV_0,CD,0.597906196,0.4585212171077728,0.09158611297607422
BT-BU-CA-CH,BT,1.139664297,0.9650385975837708,0.22062543034553528
BT-BU-CA-CH,BU,0.358277937,0.5483084321022034,0.17018266022205353
BT-BU-CA-CH,CH,0.036391094,0.12761762738227844,0.10985264182090759
BT-BU-CA-CH,BT,1.012235522,0.9035720229148865,0.2522892355918884
BT-BU-CA-CH,BU,0.224113412,0.6234986782073975,0.18324795365333557
BT-BU-CA-CH,CH,0.049817724,0.12372063100337982,0.11030925065279007
BT-CA_0,CA,0.048043501,0.017034389078617096,0.04290693253278732
BT-CA_0,BT,1.715623174,1.4021241664886475,0.21347929537296295
BT-CA_0,CA,0.046512166,0.043421484529972076,0.046794481575489044
BT-CA_0,BT,1.44498783,1.3572747707366943,0.22726652026176453
BU-BV-DSM-CH-DP,BU,0.772685094,0.8550310134887695,0.16729333996772766
BU-BV-DSM-CH-DP,BV,0.371349208,0.27167588472366333,0.14987751841545105
BU-BV-DSM-CH-DP,CD,0.070549296,0.15775202214717865,0.09446387737989426
BU-BV-DSM-CH-DP,DP,0.20093471,0.09851093590259552,0.16559603810310364
BU-BV-DSM-CH-DP,CH,0.071148342,0.1808655560016632,0.10980004072189331
BU-BV-DSM-CH-DP,BU,0.879126155,0.7056121826171875,0.17078657448291779
BU-BV-DSM-CH-DP,BV,0.068449047,0.04667145013809204,0.14940476417541504
BU-BV-DSM-CH-DP,CD,0.106669658,0.21872283518314362,0.09822693467140198
BU-BV-DSM-CH-DP,DP,0.245189493,0.35927242040634155,0.1699129194021225
BU-BV-DSM-CH-DP,CH,0.116565626,0.13505318760871887,0.11052954196929932
BU-BV_0,BU,0.677910064,0.5830685496330261,0.17207030951976776
BU-BV_0,BV,0.677923254,0.8082334399223328,0.15500907599925995
BU-BV_0,BU,0.352166929,0.6840060353279114,0.17354975640773773
BU-BV_0,BV,1.007333068,0.7043499946594238,0.16133256256580353
BU-CA-DSM-CH-CS,CA,0.010714421,0.009218230843544006,0.04279158636927605
BU-CA-DSM-CH-CS,BU,0.583501499,0.8726701736450195,0.1676994413137436
BU-CA-DSM-CH-CS,CS,0.070973789,0.1150183230638504,0.11176078021526337
BU-CA-DSM-CH-CS,CD,0.170861871,0.14479577541351318,0.09559662640094757
BU-CA-DSM-CH-CS,CH,0.071281813,0.16368141770362854,0.11002663522958755
BU-CA-DSM-CH-CS,CA,0.031205182,0.035769589245319366,0.04395023733377457
BU-CA-DSM-CH-CS,BU,0.623317283,0.7735900282859802,0.16990244388580322
BU-CA-DSM-CH-CS,CS,0.29077001,0.25713056325912476,0.11790716648101807
BU-CA-DSM-CH-CS,CD,0.13689682,0.18446968495845795,0.10243439674377441
BU-CA-DSM-CH-CS,CH,0.070977396,0.15552103519439697,0.11052203923463821
BV-CA-CH-CS-DP,CA,0.013298362,0.01769052818417549,0.04287032037973404
BV-CA-CH-CS-DP,BV,0.223978198,0.6322963237762451,0.15130877494812012
BV-CA-CH-CS-DP,CS,0.052859305,0.1083751767873764,0.1117987409234047
BV-CA-CH-CS-DP,DP,0.278030354,0.09489638358354568,0.16588959097862244
BV-CA-CH-CS-DP,CH,0.105333782,0.23250706493854523,0.11054559797048569
BV-CA-CH-CS-DP,CA,0.03667622,0.07642648369073868,0.05370255932211876
BV-CA-CH-CS-DP,BV,0.368751716,0.4439546465873718,0.1602172553539276
BV-CA-CH-CS-DP,CS,0.204280997,0.11199769377708435,0.11910509318113327
BV-CA-CH-CS-DP,DP,0.495385623,0.3240774869918823,0.174547478556633
BV-CA-CH-CS-DP,CH,0.139738715,0.2025044709444046,0.11066167801618576
BV-CA-DSM-DP,CA,0.007062962,0.02158334106206894,0.042935363948345184
BV-CA-DSM-DP,BV,0.567801963,0.5627260208129883,0.16089840233325958
BV-CA-DSM-DP,CD,0.20820663,0.625732958316803,0.10219571739435196
BV-CA-DSM-DP,DP,0.117761779,0.04967644810676575,0.16495943069458008
BV-CA-DSM-DP,CA,0.008001326,0.13492563366889954,0.05940035730600357
BV-CA-DSM-DP,BV,0.526314192,0.40574750304222107,0.1745673269033432
BV-CA-DSM-DP,CD,0.536953337,0.6015603542327881,0.10124137997627258
BV-CA-DSM-DP,DP,0.147564423,0.14326058328151703,0.1815032660961151
BV-CA_0,CA,0.278398007,0.047049734741449356,0.043942030519247055
BV-CA_0,BV,1.215768651,1.1291364431381226,0.15376825630664825
BV-CA_0,CA,0.285361094,0.24240528047084808,0.05834149941802025
BV-CA_0,BV,1.108138883,1.0730589628219604,0.16454336047172546
CS-BV_0,BV,1.001307491,1.0317485332489014,0.15521422028541565
CS-BV_0,CS,0.358525845,0.3297160863876343,0.11734558641910553
CS-BV_0,BV,1.018079541,0.9286164045333862,0.16779394447803497
CS-BV_0,CS,0.145087177,0.5514717102050781,0.11927378177642822
BU-BV-CA-CH-CS,CA,0.004258164,0.019559284672141075,0.039640508592128754
BU-BV-CA-CH-CS,BU,0.57410633,0.814805269241333,0.18072949349880219
BU-BV-CA-CH-CS,BV,0.321803137,0.3544749915599823,0.15942952036857605
BU-BV-CA-CH-CS,CS,0.136334483,0.14470703899860382,0.11975842714309692
BU-BV-CA-CH-CS,CH,0.072831272,0.1834038645029068,0.09494194388389587
BU-BV-CA-CH-CS,CA,0.023035228,0.034552186727523804,0.041747964918613434
BU-BV-CA-CH-CS,BU,0.561833369,0.7585368752479553,0.18538227677345276
BU-BV-CA-CH-CS,BV,0.127546768,0.15738576650619507,0.16388821601867676
BU-BV-CA-CH-CS,CS,0.298582341,0.3720566928386688,0.12566117942333221
BU-BV-CA-CH-CS,CH,0.43116896,0.18958643078804016,0.09519370645284653
BU-BV-CA-DSM-CH-DP,CA,0.011005731,0.01222879346460104,0.03955114260315895
BU-BV-CA-DSM-CH-DP,BU,0.825105242,0.7608399987220764,0.17994645237922668
BU-BV-CA-DSM-CH-DP,BV,0.279026817,0.304689884185791,0.15816788375377655
BU-BV-CA-DSM-CH-DP,CD,0.120709184,0.15839742124080658,0.10035045444965363
BU-BV-CA-DSM-CH-DP,DP,0.171094158,0.09155412018299103,0.16306032240390778
BU-BV-CA-DSM-CH-DP,CH,0.085225535,0.14093329012393951,0.09496601670980453
BU-BV-CA-DSM-CH-DP,CA,0.007199075,0.000935035350266844,0.03949831798672676
BU-BV-CA-DSM-CH-DP,BU,0.992746699,0.6640624403953552,0.1839844286441803
BU-BV-CA-DSM-CH-DP,BV,0.08204293,0.08010077476501465,0.15890981256961823
BU-BV-CA-DSM-CH-DP,CD,0.205839186,0.19732511043548584,0.10641880333423615
BU-BV-CA-DSM-CH-DP,DP,0.257916688,0.3553524315357208,0.16722877323627472
BU-BV-CA-DSM-CH-DP,CH,0.111255457,0.11971618235111237,0.09595157951116562
BU-DSM-CH-DP,BU,0.723803737,0.8107464909553528,0.17963653802871704
BU-DSM-CH-DP,CD,0.07849953,0.1744326949119568,0.101167231798172
BU-DSM-CH-DP,DP,0.199420421,0.17916752398014069,0.1656586229801178
BU-DSM-CH-DP,CH,0.018109649,0.13751383125782013,0.0950254499912262
BU-DSM-CH-DP,BU,0.711119475,0.6312723159790039,0.1866711676120758
BU-DSM-CH-DP,CD,0.086312183,0.22324997186660767,0.11295174807310104
BU-DSM-CH-DP,DP,0.586218257,0.38541972637176514,0.1663498878479004
BU-DSM-CH-DP,CH,0.061516752,0.11027687788009644,0.09721159934997559
BV-BT_0,BT,1.759245252,1.3871510028839111,0.21552276611328125
BV-BT_0,BV,0.229921442,0.24943622946739197,0.1665709912776947
BV-BT_0,BT,1.38862985,1.4614708423614502,0.2140323966741562
BV-BT_0,BV,0.378203472,0.06935913115739822,0.16708311438560486
CH-BV_0,BV,0.851890082,0.6164306998252869,0.1619616448879242
CH-BV_0,CH,0.491776636,0.21743381023406982,0.09558255225419998
CH-BV_0,BV,0.904308544,0.573639988899231,0.16643409430980682
CH-BV_0,CH,0.357191483,0.22462129592895508,0.095697320997715
CS-CA_0,CA,0.007776807,0.011475935578346252,0.03964386507868767
CS-CA_0,CS,0.39072319,0.4649682343006134,0.12312224507331848
CS-CA_0,CA,0.271721073,0.005458795931190252,0.03984193131327629
CS-CA_0,CS,0.796445552,0.6492173075675964,0.12445609271526337
DSM-CA_0,CA,0.01851895,0.035690367221832275,0.040395114570856094
DSM-CA_0,CD,0.477647703,0.5828344225883484,0.10114933550357819
DSM-CA_0,CA,0.010830291,0.1654491424560547,0.05420364439487457
DSM-CA_0,CD,0.418003056,0.6104760766029358,0.10454472154378891
DSM-CS_0,CS,0.143305311,0.13238468766212463,0.12494204193353653
DSM-CS_0,CD,0.543361338,0.5690795183181763,0.10228359699249268
DSM-CS_0,CS,0.2156319,0.10020896047353745,0.142684668302536
DSM-CS_0,CD,0.431201436,0.6088824272155762,0.10171864181756973
BT-BU-CA-CH-CS,CA,0.001343611,0.006304365117102861,0.039948515594005585
BT-BU-CA-CH-CS,BT,1.270747779,1.0353363752365112,0.21784625947475433
BT-BU-CA-CH-CS,BU,0.461787571,0.39713308215141296,0.17133721709251404
BT-BU-CA-CH-CS,CS,0.047855163,0.10520435124635696,0.12354074418544769
BT-BU-CA-CH-CS,CH,0.087265923,0.12073501199483871,0.10155374556779861
BT-BU-CA-CH-CS,CA,0.001950231,0.015569709241390228,0.04082392528653145
BT-BU-CA-CH-CS,BT,0.977195438,1.1384533643722534,0.2242254614830017
BT-BU-CA-CH-CS,BU,0.185898014,0.3104873597621918,0.17725233733654022
BT-BU-CA-CH-CS,CS,0.048784681,0.22823959589004517,0.12956765294075012
BT-BU-CA-CH-CS,CH,0.089504928,0.10808602720499039,0.10230977833271027
