Treatments,species,true,pred,stdv
BT-BU-CA-CH-CS,CA,0.001343611,0.0064379372633993626,0.04299718141555786
BT-BU-CA-CH-CS,BT,1.270747779,1.0703169107437134,0.24139200150966644
BT-BU-CA-CH-CS,BU,0.461787571,0.39836153388023376,0.15859320759773254
BT-BU-CA-CH-CS,CS,0.047855163,0.1057496964931488,0.1262652426958084
BT-BU-CA-CH-CS,CH,0.087265923,0.13184991478919983,0.10935314744710922
BT-BU-CA-CH-CS,CA,0.001950231,0.011066528968513012,0.04345615580677986
BT-BU-CA-CH-CS,BT,0.977195438,1.1814063787460327,0.247174933552742
BT-BU-CA-CH-CS,BU,0.185898014,0.2972598969936371,0.16606688499450684
BT-BU-CA-CH-CS,CS,0.048784681,0.23499414324760437,0.1347544938325882
BT-BU-CA-CH-CS,CH,0.089504928,0.12548033893108368,0.10982400923967361
BT-BV-DSM-CH-BU-CA-DP_0,CA,0.014800791,0.0070017194375395775,0.04299379885196686
BT-BV-DSM-CH-BU-CA-DP_0,BT,0.813182263,0.9453325867652893,0.23790815472602844
BT-BV-DSM-CH-BU-CA-DP_0,BU,0.465839563,0.39024192094802856,0.1580437272787094
BT-BV-DSM-CH-BU-CA-DP_0,BV,0.09684879,0.12956774234771729,0.1594158113002777
BT-BV-DSM-CH-BU-CA-DP_0,CD,0.214570373,0.15368053317070007,0.09685560315847397
BT-BV-DSM-CH-BU-CA-DP_0,DP,0.048166179,0.045606955885887146,0.15330533683300018
BT-BV-DSM-CH-BU-CA-DP_0,CH,0.221925337,0.12264348566532135,0.10921153426170349
BT-BV-DSM-CH-BU-CA-DP_0,CA,0.015594671,0.005189096089452505,0.04308536276221275
BT-BV-DSM-CH-BU-CA-DP_0,BT,0.916013137,0.9783685803413391,0.24415507912635803
BT-BV-DSM-CH-BU-CA-DP_0,BU,0.395551563,0.36791613698005676,0.1603584885597229
BT-BV-DSM-CH-BU-CA-DP_0,BV,0.021785618,0.010881996713578701,0.15765590965747833
BT-BV-DSM-CH-BU-CA-DP_0,CD,0.268988464,0.22007107734680176,0.10289660096168518
BT-BV-DSM-CH-BU-CA-DP_0,DP,0.054078452,0.10969389230012894,0.16011305153369904
BT-BV-DSM-CH-BU-CA-DP_0,CH,0.177654735,0.09806546568870544,0.11016890406608582
BT-BV-DSM-CH-BU-CS-CA_0,CA,0.015861436,0.008823531679809093,0.04300761967897415
BT-BV-DSM-CH-BU-CS-CA_0,BT,0.819566081,0.9670934677124023,0.24070875346660614
BT-BV-DSM-CH-BU-CS-CA_0,BU,0.408795856,0.37470903992652893,0.15820248425006866
BT-BV-DSM-CH-BU-CS-CA_0,BV,0.165307217,0.1257219761610031,0.15939462184906006
BT-BV-DSM-CH-BU-CS-CA_0,CS,0.074406986,0.05997303128242493,0.12532030045986176
BT-BV-DSM-CH-BU-CS-CA_0,CD,0.144121451,0.15299232304096222,0.0968150943517685
BT-BV-DSM-CH-BU-CS-CA_0,CH,0.185107617,0.1221514642238617,0.1092187836766243
BT-BV-DSM-CH-BU-CS-CA_0,CA,0.03709097,0.016329970210790634,0.043688464909791946
BT-BV-DSM-CH-BU-CS-CA_0,BT,0.839403698,1.0463303327560425,0.24919085204601288
BT-BV-DSM-CH-BU-CS-CA_0,BU,0.255850761,0.3241235315799713,0.16374969482421875
BT-BV-DSM-CH-BU-CS-CA_0,BV,0.042994346,0.009291456080973148,0.1576140820980072
BT-BV-DSM-CH-BU-CS-CA_0,CS,0.126104254,0.11680115014314651,0.13011257350444794
BT-BV-DSM-CH-BU-CS-CA_0,CD,0.261323279,0.21794337034225464,0.10365813970565796
BT-BV-DSM-CH-BU-CS-CA_0,CH,0.07856605,0.09719564765691757,0.11029583215713501
BT-BV-DSM-CH-CS-CA-DP_0,CA,0.031072291,0.008981605060398579,0.0430145226418972
BT-BV-DSM-CH-CS-CA-DP_0,BT,1.108842269,1.250929832458496,0.23945249617099762
BT-BV-DSM-CH-CS-CA-DP_0,BV,0.186165684,0.14804881811141968,0.1607205718755722
BT-BV-DSM-CH-CS-CA-DP_0,CS,0.044726941,0.05183921009302139,0.12527212500572205
