Comms,Richness,Objective
CD+,1,0.0
CD+DP,2,1.286549888475209
CD+CA,2,1.1279134441699323
CD+CA-DP,3,1.947850459540378
CD+CS,2,0.24742507812928238
CD+CS-DP,3,1.1366814223631323
CD+CS-CA,3,1.030786207515975
CD+CS-CA-DP,4,1.686543707640805
CD+BU,2,-1.8711091004768186
CD+BU-DP,3,-0.08625628890431614
CD+BU-CA,3,-1.2281895698029164
CD+BU-CA-DP,4,0.1309880367195131
CD+BU-CS,3,-1.5884721096681087
CD+BU-CS-DP,4,-0.2392849824866463
CD+BU-CS-CA,4,-1.0978839557085696
CD+BU-CS-CA-DP,5,-0.014892056432303846
CD+CH,2,5.538748042315854
CD+CH-DP,3,7.096955581131031
CD+CH-CA,3,6.223154600329546
CD+CH-CA-DP,4,7.457140671279358
CD+CH-CS,3,5.395555422698358
CD+CH-CS-DP,4,6.875011814568117
CD+CH-CS-CA,4,5.937893375678331
CD+CH-CS-CA-DP,5,7.1827421924289405
CD+CH-BU,3,1.7961948615099725
CD+CH-BU-DP,4,5.361707354230541
CD+CH-BU-CA,4,2.2720419769840596
CD+CH-BU-CA-DP,5,5.5989747625604585
CD+CH-BU-CS,4,2.029105214820227
CD+CH-BU-CS-DP,5,5.2785919374425205
CD+CH-BU-CS-CA,5,2.416034172688212
CD+CH-BU-CS-CA-DP,6,5.483666203459916
CD+BV,2,-5.067192553865665
CD+BV-DP,3,-4.463577346154013
CD+BV-CA,3,-3.56957072536556
CD+BV-CA-DP,4,-3.2935499310949616
CD+BV-CS,3,-4.671045646679643
CD+BV-CS-DP,4,-4.2165228833957595
CD+BV-CS-CA,4,-3.4545201662623732
CD+BV-CS-CA-DP,5,-3.2167942689693696
CD+BV-BU,3,-4.479007560911835
CD+BV-BU-DP,4,-3.969255791140757
CD+BV-BU-CA,4,-4.1676321969348535
CD+BV-BU-CA-DP,5,-3.7697905634662927
CD+BV-BU-CS,4,-4.227727447313313
CD+BV-BU-CS-DP,5,-3.813316934304881
CD+BV-BU-CS-CA,5,-3.9780445273737524
CD+BV-BU-CS-CA-DP,6,-3.639401050512584
CD+BV-CH,3,3.030618092843465
CD+BV-CH-DP,4,4.142507256749943
CD+BV-CH-CA,4,4.359740702549415
CD+BV-CH-CA-DP,5,4.986795645891405
CD+BV-CH-CS,4,3.217133350024115
CD+BV-CH-CS-DP,5,4.2582274236317215
CD+BV-CH-CS-CA,5,4.356033046368738
CD+BV-CH-CS-CA-DP,6,4.999052514759255
CD+BV-CH-BU,4,1.175588061995045
CD+BV-CH-BU-DP,5,3.462786568860923
CD+BV-CH-BU-CA,5,1.5252142897902097
CD+BV-CH-BU-CA-DP,6,3.629521145922494
CD+BV-CH-BU-CS,5,1.385470505955876
CD+BV-CH-BU-CS-DP,6,3.566777868956632
CD+BV-CH-BU-CS-CA,6,1.6823882725165813
CD+BV-CH-BU-CS-CA-DP,7,3.713749483531836
CD+BT,2,-0.9682640246286667
CD+BT-DP,3,-0.4944489842318749
CD+BT-CA,3,-0.5793028420635622
CD+BT-CA-DP,4,-0.22909862205994358
CD+BT-CS,3,-0.7678728258731411
CD+BT-CS-DP,4,-0.402467335327243
CD+BT-CS-CA,4,-0.4780695390108285
CD+BT-CS-CA-DP,5,-0.18555449287654113
CD+BT-BU,3,-1.3798772569517688
CD+BT-BU-DP,4,-0.957701280599041
CD+BT-BU-CA,4,-1.0184302906676805
CD+BT-BU-CA-DP,5,-0.6903315121117881
CD+BT-BU-CS,4,-1.1953271554440867
CD+BT-BU-CS-DP,5,-0.8521858908388094
CD+BT-BU-CS-CA,5,-0.9050272672760222
CD+BT-BU-CS-CA-DP,6,-0.6243835265691171
CD+BT-CH,3,3.0548373422756496
CD+BT-CH-DP,4,3.365394816334759
CD+BT-CH-CA,4,3.3240152997325882
CD+BT-CH-CA-DP,5,3.572307618715022
CD+BT-CH-CS,4,3.1919104632522393
CD+BT-CH-CS-DP,5,3.4533064558493853
CD+BT-CH-CS-CA,5,3.407290587923965
CD+BT-CH-CS-CA-DP,6,3.62717660113561
CD+BT-CH-BU,4,1.9899342595694627
CD+BT-CH-BU-DP,5,2.452182758143362
CD+BT-CH-BU-CA,5,2.287186279778883
CD+BT-CH-BU-CA-DP,6,2.672702650900704
CD+BT-CH-BU-CS,5,2.1698588041626685
CD+BT-CH-BU-CS-DP,6,2.571960277855398
CD+BT-CH-BU-CS-CA,6,2.418981255545301
CD+BT-CH-BU-CS-CA-DP,7,2.764245378537751
CD+BT-BV,3,-2.4886340012355728
CD+BT-BV-DP,4,-2.121488674030619
CD+BT-BV-CA,4,-2.235174957852884
CD+BT-BV-CA-DP,5,-1.9359154368237572
CD+BT-BV-CS,4,-2.2863684732238845
