Param name,Param value,Param stdv,Param p-value,CA,BT,BU,BV,CS,CD,DP,CH,CA*CA,CA*BT,CA*BU,CA*BV,CA*CS,CA*CD,CA*DP,CA*CH,BT*CA,BT*BT,BT*BU,BT*BV,BT*CS,BT*CD,BT*DP,BT*CH,BU*CA,BU*BT,BU*BU,BU*BV,BU*CS,BU*CD,BU*DP,BU*CH,BV*CA,BV*BT,BV*BU,BV*BV,BV*CS,BV*CD,BV*DP,BV*CH,CS*CA,CS*BT,CS*BU,CS*BV,CS*CS,CS*CD,CS*DP,CS*CH,CD*CA,CD*BT,CD*BU,CD*BV,CD*CS,CD*CD,CD*DP,CD*CH,DP*CA,DP*BT,DP*BU,DP*BV,DP*CS,DP*CD,DP*DP,DP*CH,CH*CA,CH*BT,CH*BU,CH*BV,CH*CS,CH*CD,CH*DP,CH*CH
CA,0.16391007230502058,0.021837743,6.104729771409111e-14,0.00047688698,-2.1078104e-05,-3.465946e-05,-0.00011695516,-1.00561565e-05,1.7914789e-06,6.804597e-06,1.8160012e-05,-0.0008349561,-0.00010449662,0.00012951528,-0.0005214601,-0.0006350147,-0.0002510458,-0.00027659992,-0.00043256916,3.3486253e-05,1.6281681e-05,5.0791277e-06,-1.5599268e-06,1.4234923e-06,1.4402445e-05,6.16616e-07,4.8080124e-06,9.663132e-05,1.8899385e-05,4.6288227e-05,2.0932326e-05,5.5730714e-05,1.13191045e-05,1.2994042e-05,-4.631751e-05,0.0002034444,6.567988e-05,9.498763e-05,0.0001167261,4.7376143e-05,8.586025e-05,-6.4485925e-05,0.0002842668,-2.6677475e-05,2.1664318e-06,1.0530044e-05,-1.268211e-06,8.745434e-06,1.0952283e-05,-4.3717595e-05,4.8450853e-05,0.0001758633,-1.1296231e-06,-2.2408614e-05,8.12575e-05,8.933983e-06,1.4055423e-05,-6.3200714e-06,0.00035302926,-0.00042560798,3.9924707e-06,-1.8169838e-05,-5.7915084e-05,-0.00010625634,2.0209194e-05,6.4035457e-06,0.0001211924,-3.5990633e-05,-8.123538e-06,-9.666362e-06,-2.7402428e-05,-4.6603403e-05,5.366407e-05,-2.3577155e-05,2.2992068e-05
BT,0.8117209629565192,0.036099292,5.717897181145385e-112,-2.1078104e-05,0.0013031589,0.0007267999,0.00034402774,7.412108e-05,4.172148e-05,-1.970873e-06,8.2177656e-05,0.00051171554,2.518099e-05,0.00089991867,-0.00015685838,-3.1821673e-05,-1.4406816e-06,0.00016058287,6.6904406e-08,-0.0013427413,-0.0009434618,-0.0015197378,-0.00048690382,-5.811084e-05,-0.0008446106,0.00031391904,-0.00032869328,0.0008364057,-0.00042267065,-0.00091091625,-0.00040002374,-0.000647455,-0.0005132249,-0.00022264813,-5.773627e-05,1.1739471e-05,0.0001323967,-1.8493727e-06,-0.0003287109,-0.000119943965,-0.00028751275,-0.0003168721,-0.0006593079,7.213463e-05,1.0318567e-05,-1.37152e-05,-4.3288273e-06,-0.00016447682,-0.00012041362,-9.486626e-05,-0.00015126857,3.1419877e-05,-9.315498e-05,-0.00010348522,-7.904224e-05,2.9385674e-06,-2.9425304e-05,5.8732345e-05,-0.00046211167,-2.342293e-05,0.00011093015,-7.580908e-05,2.916431e-05,-1.7394517e-05,3.19733e-05,1.7472219e-05,-3.858175e-05,1.565781e-05,-2.5939864e-05,1.3262168e-05,7.482757e-06,7.3512856e-05,-0.00018371815,-2.3836488e-05,-0.00041250626
BU,0.7325589290186767,0.042224012,1.9950828158922255e-67,-3.465946e-05,0.0007267999,0.0017828671,0.0005079268,0.00012597322,-0.000161652,-2.375561e-05,-0.00023269217,0.00096788455,1.9418214e-05,0.0012079553,-0.00027318622,-8.88138e-05,-5.9115423e-06,0.00016520698,8.410201e-06,0.00022494089,-0.00055376295,-9.063512e-05,-5.3480868e-05,1.2507602e-06,-0.0006331671,-0.00014726506,-0.000257918,-0.004478122,-0.0009445517,-0.0022761968,-0.0012772471,-0.0015718401,-0.0012555043,-0.00028022818,-3.263848e-05,7.9942154e-05,-0.0001043811,1.4095573e-05,-0.0004999367,-0.00021121335,-0.0006057956,-0.0005226251,-0.0011672603,0.00019752183,-4.3985056e-05,-3.0787196e-05,-4.7760564e-05,-0.00025734253,-0.0003050717,-7.2860705e-05,-0.00044116372,0.0001785849,-9.939202e-05,-0.00021451469,-0.00038438253,-2.7026983e-05,0.00038892694,0.000108776876,-6.7440305e-05,-7.061245e-05,2.7410046e-05,-0.0001633803,6.2055944e-05,-9.847075e-06,3.0972336e-05,7.635073e-05,-7.765246e-05,-0.00024227015,5.075754e-05,0.000105504274,-0.00012907587,-2.690815e-05,9.5604904e-05,-8.3358784e-05,0.0017463182
BV,0.8025310412439806,0.04246744,1.1944929632618417e-79,-0.00011695516,0.00034402774,0.0005079268,0.0018034836,0.0001342034,6.405253e-05,2.5622849e-05,0.00037630854,0.002816745,2.2367964e-05,0.0017051632,-0.0007937083,-0.0002354123,4.6084846e-05,0.00050411007,5.370254e-05,0.00011268584,-0.0002670015,-0.00012193408,-3.4803086e-06,6.4045735e-06,-0.00021564554,6.615506e-07,-4.634583e-05,4.1136842e-05,-0.00023797671,-0.0006491392,-9.2805945e-05,-0.0004959744,-0.0002974037,-0.00021110347,-6.629542e-05,0.00018159118,-0.0011940434,-0.0011801781,-0.0018726176,-0.00034589716,-0.0021760035,-0.0002298438,-0.004194509,0.000116191964,-4.2348955e-05,-5.77531e-05,2.583586e-05,-0.00032424266,-0.00014407978,-0.00011768394,-0.0002041765,0.0002198844,-4.917514e-05,-5.689443e-05,-0.00076772587,-0.00014309041,-7.786717e-05,3.130133e-06,7.046098e-05,0.00015543876,4.2437673e-06,-8.413503e-05,5.4428547e-05,5.239424e-05,-3.0764961e-06,-3.786833e-05,3.685384e-05,-6.631919e-06,-2.2172682e-05,-5.7513513e-05,-2.2102487e-05,0.00015867368,-0.00051239884,0.000102473634,-0.002499654
CS,0.4664990726323565,0.019301891,4.764006140509319e-129,-1.00561565e-05,7.412108e-05,0.00012597322,0.0001342034,0.00037256302,4.65699e-05,2.2986602e-05,0.00012340954,0.00016321082,3.9355396e-07,-3.4027908e-05,-4.9493417e-05,-2.7419133e-05,1.0677271e-06,0.00016062742,4.63455e-06,2.3633158e-05,-5.2813968e-05,-1.1966215e-05,-1.379545e-06,-2.002935e-05,-5.3387823e-05,-2.0330092e-05,-2.716567e-05,0.00041210547,-4.8580572e-05,-0.00010856594,-4.0354447e-05,-8.2202205e-05,-9.194096e-05,-0.00011593759,-0.00014104319,-2.5477684e-05,-5.5902183e-05,-5.5550354e-05,-0.000114278024,-8.285359e-05,-0.000102475344,-0.00011472673,-0.00014663706,0.00026609568,-0.00017148755,-0.00022344216,-0.00016336855,-0.00073102524,-0.00051280885,-0.00052299735,-0.00067436934,-3.9329516e-05,-4.631901e-06,-3.081972e-05,-1.8059458e-05,-0.00014707966,-7.281733e-05,3.0912054e-07,-3.5771733e-05,-7.9631056e-05,-5.379059e-06,-5.2521005e-05,-2.3216187e-05,-7.289095e-05,-7.726736e-06,-1.2315688e-05,-3.2593187e-05,7.551303e-05,-1.2193423e-05,-3.0441694e-05,8.3314435e-06,-0.00013806987,-0.00015547268,3.3161778e-06,-0.0006035433
CD,0.6124262666060601,0.034876935,5.019658033152837e-69,1.7914789e-06,4.172148e-05,-0.000161652,6.405253e-05,4.65699e-05,0.0012164005,2.4484212e-05,0.0005989883,-6.483359e-06,-1.3365751e-06,-0.00015282178,-3.4146135e-05,-9.83399e-06,-4.1287327e-05,0.00027293453,-4.8119353e-05,1.9302224e-05,-2.8827468e-05,-5.1612806e-05,1.20691375e-05,1.3458511e-05,7.672591e-05,-3.4019645e-06,6.328093e-05,-0.0003869602,0.000110456196,0.00023220673,0.00013455312,0.00018276242,0.00028860796,3.283089e-05,-0.00053435063,-0.000106847096,-7.528926e-06,5.2970932e-05,-5.2282867e-05,-5.7002304e-05,0.00011524489,-0.0002504903,0.0002021995,-5.893318e-05,-6.1648275e-06,-3.3863438e-05,-1.4606009e-05,-9.069528e-05,6.484179e-05,-9.443106e-05,8.1380225e-05,0.0005360703,-0.0003057852,-0.0004882471,-0.00064454693,-0.0008786686,-0.0016455256,0.00010496156,-0.007230994,-9.3165254e-05,-1.1138843e-05,-7.434482e-05,-1.1608208e-05,-5.2709263e-05,0.00012442388,-8.125307e-06,-3.1268744e-05,0.00034217877,-6.6476845e-05,-9.024139e-05,-0.00023989157,3.3612538e-05,-0.0015891311,-3.0777577e-05,-0.0027346537
DP,0.32562042632843735,0.02117156,2.2265093309421183e-53,6.804597e-06,-1.970873e-06,-2.375561e-05,2.5622849e-05,2.2986602e-05,2.4484212e-05,0.000448235,-1.3729779e-05,-8.0295984e-05,6.3659954e-06,-3.789495e-05,6.235472e-07,4.4963144e-07,3.2775745e-06,0.0007897097,4.572349e-07,-2.6912712e-05,4.6844134e-06,-1.9619398e-05,-5.7979403e-08,-9.901268e-08,8.445496e-06,-7.5468656e-06,2.821789e-06,-7.8710764e-05,1.5567728e-05,2.62552e-05,4.145839e-05,3.1968222e-05,2.8260572e-05,4.318571e-05,6.208889e-05,-2.3853238e-05,-5.6222507e-06,-2.1224336e-05,-5.646806e-06,-3.8860333e-05,-2.3291599e-05,7.712413e-05,-8.1124526e-05,1.6941953e-05,4.4719513e-07,-2.9829382e-05,-1.1359842e-05,-2.1052536e-05,-7.4900877e-06,0.0003083422,-6.219151e-05,2.0465443e-05,-8.954668e-06,-3.7706046e-05,-3.55274e-05,2.1127473e-05,-1.6602587e-05,1.4345524e-06,-0.00018304378,-9.7819626e-05,-0.00021618891,-0.0004125135,-0.00032175405,-0.00062871235,-0.00045607274,-0.00029492832,-0.0009954494,9.40722e-07,2.406849e-06,1.2130996e-05,2.658235e-06,-1.6877902e-05,1.2107761e-05,4.7862486e-05,8.89174e-06
CH,0.5668574639073543,0.045290917,6.109639742388629e-36,1.8160012e-05,8.2177656e-05,-0.00023269217,0.00037630854,0.00012340954,0.0005989883,-1.3729779e-05,0.0020512673,-2.6468477e-05,-1.5192044e-05,-0.0003698827,-0.00011359569,-4.055336e-05,4.6314875e-05,0.0007221561,-2.358458e-05,2.522627e-05,-5.780811e-05,-7.992179e-05,-1.3703261e-05,1.6201055e-05,3.1448228e-05,-3.690609e-05,-4.5593788e-05,-0.0007495836,0.00016387575,0.00038115078,0.00015074023,0.0004116523,8.589054e-05,0.00021248736,-0.0021800746,-0.00016573808,-0.00017741858,-2.3415478e-05,-0.0003685349,-0.00019833424,0.000155005,-0.0007070472,5.0018818e-05,-3.3092296e-05,-2.5500169e-05,-6.601571e-05,-4.2986067e-05,-0.00029407794,7.829611e-05,-0.0001775409,0.00034098513,-0.0017564493,0.0001863655,0.00022386308,0.00039428138,-0.00018418743,-0.0012566466,-0.00027085788,0.0023022306,-0.00018341643,-1.3034396e-05,-8.835597e-05,3.3516222e-05,-3.6400623e-05,5.4726264e-05,4.7199777e-05,0.00019879456,0.0013803702,-0.00024645287,-0.00029964215,-0.00070362113,0.00060429005,-0.0020621237,0.00013624429,-0.010901169
CA*CA,-1.6901692377577577,0.27290824,5.896317738934729e-10,-0.0008349561,0.00051171554,0.00096788455,0.002816745,0.00016321082,-6.483359e-06,-8.0295984e-05,-2.6468477e-05,0.0744789,0.00059588766,0.037622362,-0.012559712,-0.011884028,0.00036217095,0.020408863,-0.0023729678,-0.00035316957,-0.00040543306,-3.555445e-05,-1.6229338e-05,-6.516669e-05,-0.00034681903,-1.2693311e-05,-5.490488e-05,-0.0038633011,-0.00044000373,-0.0012139608,-0.0004167897,-0.0013871059,-0.0004381262,-0.00028651475,0.0005989938,-0.0055872295,-0.0017654919,-0.0020223535,-0.0027857465,-4.662609e-05,-0.0031335424,0.0004924523,-0.0077772597,0.001027065,-3.6312347e-05,-0.00011147611,0.00013395237,-0.00036598035,-0.00019470401,0.0004336402,-0.0006279971,0.000934354,-0.00018048577,-0.0001239066,-0.0016058416,-0.00070981466,0.0001901883,-8.291161e-05,-0.0018357222,0.004299232,4.0346586e-06,0.00025863602,0.0006269585,0.001227393,-0.00010833541,-4.9496535e-05,-0.0020146044,0.0020081217,4.6344325e-05,-1.1602462e-05,-3.9496877e-05,-0.00012412161,-0.0006029615,5.309182e-05,0.00019586073
CA*BT,-0.08694186547909398,0.03544976,0.014185254630424316,-0.00010449662,2.518099e-05,1.9418214e-05,2.2367964e-05,3.9355396e-07,-1.3365751e-06,6.3659954e-06,-1.5192044e-05,0.00059588766,0.0012566855,0.00042496223,3.3457184e-06,-5.3937933e-05,5.5110046e-05,-0.00048998697,0.00012977901,0.0003206548,-1.8353e-05,-5.379455e-05,-2.7617025e-06,2.172007e-05,-1.4662916e-05,1.559943e-05,2.1434164e-06,-0.00012232392,-1.713625e-05,-2.5220828e-05,-8.504558e-06,-2.3420605e-05,-6.914467e-06,-8.021013e-06,2.1612464e-05,-4.063524e-05,-0.00010830926,-4.0165096e-06,-1.711516e-05,-2.5587722e-05,-6.45077e-06,-1.9441848e-05,-4.337391e-05,3.3445067e-05,-4.924351e-06,-7.9416196e-07,-6.275124e-06,9.374178e-06,3.3249066e-07,-7.173112e-06,-6.892652e-07,-4.1297997e-05,1.0198428e-05,3.8327204e-07,-2.228546e-05,-7.836207e-06,1.8969131e-06,-3.6652148e-07,-0.00011828941,-5.2151794e-05,7.534981e-05,-1.6234108e-05,5.5468186e-06,-1.7544979e-05,-2.1236522e-06,7.099429e-06,-0.00015941613,-6.4215214e-06,-2.5893894e-06,7.636312e-06,9.089094e-06,-5.1685265e-06,-1.3276787e-06,9.797236e-06,7.101164e-05
