Treatment,Time,Replicate,Toxin,BA,BO,BU,PJ,ER,AC,CC,CD,DP,EL,BY,CG,CH,BL,BF,BT,BV,DL,BH,RI,BP,PC,DF,CA,BC,CS
CA-DP-CH-CS-BT-BU-BV-EL-BO-PC-BH-ER-PJ-AC-DL-BP-CG-RI-BA-BC-BY-BL-CC-DF-BF,0,1,0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
CA-DP-CH-CS-BT-BU-BV-EL-BO-PC-BH-ER-PJ-AC-DL-BP-CG-RI-BA-BC-BY-BL-CC-DF-BF,0,2,0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
CA-DP-CH-CS-BT-BU-BV-EL-BO-PC-BH-ER-PJ-AC-DL-BP-CG-RI-BA-BC-BY-BL-CC-DF-BF,0,3,0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004,0.0004
CA-DP-CH-CS-BT-BU-BV-EL-BO-PC-BH-ER-PJ-AC-DL-BP-CG-RI-BA-BC-BY-BL-CC-DF-BF,12,1,0,0.056369953,0.081191567,0.077760937,0.002959759,0.012848044,0.210411948,0.01123363,0,0.003497897,0.013587984,0.001883483,0.009350147,0.204021559,0.015269665,0.129354915,0.134601761,0.135947106,0.092896068,0.000269069,0,0.010628225,0.000807207,0.111125491,0.000201802,0.473292348,0.017489484
CA-DP-CH-CS-BT-BU-BV-EL-BO-PC-BH-ER-PJ-AC-DL-BP-CG-RI-BA-BC-BY-BL-CC-DF-BF,12,2,0,0.063973464,0.076990147,0.079008237,0.004944321,0.015236582,0.282129031,0.015438391,0,0.004137085,0.018667336,0.004036181,0.011805829,0.281624508,0.022299898,0.158621901,0.177188333,0.107160598,0.112407632,0.000100905,0,0.015034773,0.00110995,0.144091651,0.000302714,0.566175248,0.024015275
CA-DP-CH-CS-BT-BU-BV-EL-BO-PC-BH-ER-PJ-AC-DL-BP-CG-RI-BA-BC-BY-BL-CC-DF-BF,12,3,0,0.047748536,0.069070209,0.075256498,0.003003053,0.011651844,0.197901165,0.010630806,0,0.002402442,0.017297583,0.001801832,0.007747876,0.219042655,0.013393615,0.11249435,0.121503507,0.105527268,0.087448891,0.000300305,0,0.010991172,0.000660672,0.09651811,0,0.404451122,0.016156423
CA-DP-CH-CS-BT-BU-BV-EL-BO-PC-BH-ER-PJ-AC-DL-BP-CG-RI-BA-BC-BY-BL-CC-DF-BF,24,1,0,0.071245553,0.053234036,0.05383442,0.003602303,0.058637491,0.608388988,0.012407933,0,0.003602303,0.006404095,0.000800512,0.004402815,0.333213048,0.015209725,0.092258988,0.104867049,0.018211644,0.160102365,0,0,0.011407294,0.000400256,0.377641454,0.007604862,0.41626615,0.036423288
CA-DP-CH-CS-BT-BU-BV-EL-BO-PC-BH-ER-PJ-AC-DL-BP-CG-RI-BA-BC-BY-BL-CC-DF-BF,24,2,0,0.070318745,0.060611443,0.051851196,0.003077925,0.058243809,0.664121477,0.011127882,0,0.005682323,0.004498506,0.001183817,0.00615585,0.394684671,0.015389624,0.093048036,0.116014091,0.029595431,0.140163962,0.000473527,0,0.011601409,0.000947054,0.396578779,0.010180828,0.474473954,0.0466424
CA-DP-CH-CS-BT-BU-BV-EL-BO-PC-BH-ER-PJ-AC-DL-BP-CG-RI-BA-BC-BY-BL-CC-DF-BF,24,3,0,0.068135196,0.061877882,0.05283954,0.00393979,0.051449026,0.534420961,0.013441637,0,0.003708038,0.002781028,0.002317524,0.005562057,0.383086664,0.012282876,0.106606089,0.133257612,0.027346779,0.177522314,0.000231752,0,0.009038342,0.000463505,0.340675981,0.011355866,0.498962848,0.049363254
BC,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012700001,0
